nation,cls,date,rb_br,rb_lower_br,rb_battles_sum,rb_battles_mean,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death
France,Aviation,2021-11-18,1.0 ~ 11.3,1.0,33429.0,1358.9888719375392,68.93696221843311,1.196036674743486,1.300892937270035,2.224243919949744,2.1974109306290943
France,Aviation,2021-11-15,1.0 ~ 11.3,1.0,33697.0,1368.9397621944586,69.05114342523073,1.186982520699172,1.299186871234828,2.230266789328427,2.2213464106597023
France,Aviation,2021-11-12,1.0 ~ 11.3,1.0,33718.0,1370.904396267078,68.88968117919214,1.1816335488463134,1.3036568005219764,2.2394658639302447,2.251252150186844
France,Aviation,2021-11-09,1.0 ~ 11.3,1.0,33384.0,1353.7328974958064,68.49163521447399,1.163608315360652,1.306267074047448,2.23339803498682,2.285159657320872
France,Aviation,2021-11-06,1.0 ~ 11.3,1.0,32567.0,1303.607809541356,67.94920932232013,1.1513111431817484,1.3113409279331838,2.2146884883471,2.3157235852243065
France,Aviation,2021-11-03,1.0 ~ 11.3,1.0,31508.0,1238.4337882442555,67.11862352418433,1.1334705471626252,1.3156144471245397,2.1829608353434047,2.3329154500444327
France,Aviation,2021-10-27,1.0 ~ 11.3,1.0,26933.0,1075.660784168121,65.52608584264658,1.1131667471132067,1.3344759217317046,2.114095347714699,2.3386314187056767
France,Aviation,2021-10-24,1.0 ~ 11.3,1.0,25265.0,996.1640563361699,64.84028854146052,1.10592360973679,1.3380478923411836,2.0707749851573327,2.3092705323570155
France,Aviation,2021-10-21,1.0 ~ 11.3,1.0,24207.0,951.2898617479793,64.207705209237,1.1058937497418102,1.344673854670137,2.0325670260668405,2.260832403850126
France,Aviation,2021-10-18,1.0 ~ 11.3,1.0,23361.0,924.8655986473182,64.10099696074654,1.1079007747955996,1.3375108086126448,2.000394246821626,2.2079003467317326
France,Aviation,2021-10-15,1.0 ~ 11.3,1.0,22819.0,911.2253263258061,64.11429904903808,1.1081274376615977,1.31378675665016,1.9696437179543362,2.165665892458039
