name,ab_battles,ab_win_rate,ab_air_frags_per_battle,ab_air_frags_per_death,ab_ground_frags_per_battle,ab_ground_frags_per_death,rb_battles,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death,sb_battles,sb_win_rate,sb_air_frags_per_battle,sb_air_frags_per_death,sb_ground_frags_per_battle,sb_ground_frags_per_death,alt_name
mirage_f1ct,15.0,,1.0,1.0,,,77.0,76.99,1.14,1.18,1.27,1.33,11.0,,,,,,Mirage_F1CT
etndard_4m,,,,,,,442.0,63.81,1.48,1.63,2.05,2.35,,,,,,,Etendard_IVM
f-100d,54.0,41.18,1.88,1.0,2.29,2.05,491.0,63.11,1.76,2.41,1.17,1.65,,,,,,,F-100D
mig-19pt,44.0,100.0,2.73,1.35,0.8,0.37,746.0,45.36,1.25,1.47,0.13,0.15,38.0,,2.29,2.29,,,MiG-19PT
javelin_fmk9,,,,,,,118.0,45.7,2.48,3.11,0.45,0.62,7.0,,,2.0,,,Javelin_F.(A.W.)_Mk.9
md_454_mystere_4a,,,,,,,83.0,56.52,0.82,1.09,,,,,,,,,M.D.454_IVA
f-86k_late,11.0,,,,,,14.0,61.11,0.97,1.5,0.62,0.5,,,,,,,F-86K
hunter_f6,24.0,,,0.33,,0.67,80.0,55.07,1.61,2.51,1.6,2.57,,,,,,,Hunter_F.6
md_450b_barougan,8.0,,,,,,178.0,79.59,1.05,1.48,1.7,2.19,,,,,,,M.D.450B_Barougan
me-262c-2b,,,,,,,93.0,59.72,5.63,6.23,0.48,0.54,,,,,,,Me_262_C-2b
mig-15bis_ish,,,,,,,217.0,64.05,1.14,1.03,2.06,1.84,,,,,,,MiG-15bis_ISH
f-86f-35,,,,,,,133.0,76.14,2.97,1.53,3.41,1.17,,,,,,,F-86F-35
meteor_fmk8_reaper,,,,,,,623.0,58.32,0.43,0.59,1.58,2.23,,,,,,,Meteor_F_Mk.8_Reaper
