name,ab_battles,ab_win_rate,ab_air_frags_per_battle,ab_air_frags_per_death,ab_ground_frags_per_battle,ab_ground_frags_per_death,rb_battles,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death,sb_battles,sb_win_rate,sb_air_frags_per_battle,sb_air_frags_per_death,sb_ground_frags_per_battle,sb_ground_frags_per_death,alt_name
mirage_f1ct,23.0,100.0,3.0,2.37,0.6,0.58,269.0,48.73,1.26,1.67,0.4,0.56,14.0,,,,,,Mirage_F1CT
etndard_4m,28.0,94.4,0.9039130434782608,,5.224695652173914,,448.0,63.47130434782609,1.2716521739130435,1.8181739130434782,1.319391304347826,1.8559999999999999,10.0,,,,,,Etendard_IVM
f-100d,208.0,51.17941176470588,1.7711764705882354,1.5370588235294118,1.1558823529411766,0.9352941176470588,428.0,50.01294117647059,0.8899999999999999,0.9376470588235294,0.49411764705882355,0.5341176470588236,,,,,,,F-100D
mig-19pt,211.0,78.19652173913043,2.0760869565217392,2.2117391304347827,0.3217391304347826,0.3065217391304348,1111.0,56.36608695652174,1.155217391304348,1.346521739130435,0.33260869565217394,0.3726086956521739,45.0,,,2.5347826086956524,,,MiG-19PT
javelin_fmk9,106.0,89.17470588235294,2.4570588235294117,2.2652941176470587,0.032352941176470584,0.11647058823529412,408.0,73.13941176470588,2.3958823529411766,5.386470588235294,1.8211764705882354,4.201176470588235,,,,,,,Javelin_F.(A.W.)_Mk.9
md_454_mystere_4a,26.0,,1.0,0.62,2.0,1.23,92.0,84.0,2.34,2.3,1.2,1.16,,,,,,,M.D.454_IVA
f-86k_late,26.0,,1.0,0.83,,0.33,43.0,50.0,0.85,1.68,,,,,,,,,F-86K
hunter_f6,41.0,100.0,4.38,2.38,1.75,0.6,203.0,57.2,5.1,3.23,2.6,1.59,12.0,,,,,,Hunter_F.6
md_450b_barougan,11.0,100.0,1.18,1.18,1.0,1.0,95.0,81.25,1.58,1.39,1.94,2.67,,,,,,,M.D.450B_Barougan
me-262c-2b,,,,,,,231.0,92.32,5.21,7.36,0.97,1.56,,,,,,,Me_262_C-2b
mig-15bis_ish,2.0,,,,,1.0,483.0,91.12,1.31,1.07,2.3,1.92,2.0,,,,,,MiG-15bis_ISH
f-86f-35,32.0,56.67,1.87,1.89,6.1,5.24,280.0,59.91,1.46,1.33,1.59,1.3,,,,,,,F-86F-35
meteor_fmk8_reaper,,,,,,,459.0,65.31,1.08,1.55,2.78,3.87,,,,,,,Meteor_F_Mk.8_Reaper
canberra_bmk2,9.0,,,,,10.295,6.0,100.0,,,,,,,,,,,Canberra_B_Mk_2
yak-17,104.0,64.29470588235294,1.6676470588235295,1.6411764705882355,0.9311764705882353,0.8176470588235294,32.0,,,,,,,,,,,,Yak-17
f-86f-30_japan,,,,,,,324.0,82.52230769230769,2.063076923076923,2.5176923076923075,1.5446153846153847,1.6007692307692307,,,,,,,F-86F-30_
yak-30d,136.0,48.57,1.97,2.53,2.04,2.31,6.0,100.0,4.17,,,,9.0,,,,,,Yak-30
hunter_f1,31.0,,2.13,1.94,1.0,0.89,120.0,62.26,2.42,3.22,1.58,2.07,,,,,,,Hunter_F_1
me-163b,,,,,,,385.0,70.97,3.15,5.32,0.55,0.93,,,,,,,Me_163_B
vampire_fb52_finland,57.0,50.0,2.5,1.63,6.45,3.38,49.0,100.0,2.56,2.56,1.94,1.94,,,,,,,Vampire_FB_52A
f-86f-40_japan,27.0,,1.0,0.7,3.0,2.45,522.0,55.48,1.35,1.64,0.54,0.59,,,,,,,F-86F-40_
yak-23,38.0,,4.0,4.0,,,26.0,44.44,2.11,2.0,1.11,2.0,19.0,,,,,,Yak-23
f9f-8,199.0,62.08,1.74,1.56,1.66,1.47,246.0,35.65,1.48,1.33,1.34,1.25,11.0,,,1.45,,,F9F-8
f-86a-5,94.0,59.33,2.46,2.33,2.11,1.97,194.0,49.93,1.91,1.05,3.18,1.75,,,,,,,F-86A-5
f3d_1,154.0,88.26,1.9,1.14,6.52,4.12,618.0,47.72,0.45,0.35,1.95,1.5,24.0,,,1.0,,,F3D-1
r2y2_kai,2.0,,,,,,429.0,69.21,1.59,2.0,2.54,3.2,,,,,,,R2Y2_Kai_V3
r2y2_v1,20.0,,,0.35,,3.76,196.0,76.97,3.42,1.75,5.82,2.88,11.0,,,6.6,,,R2Y2_Kai_V1
r2y2_v2,,,,,,,90.0,55.15,1.98,2.28,2.44,2.68,3.0,,,,,,R2Y2_Kai_V2
me-262a-1a,,,,,,,228.0,59.705,1.88875,1.83125,1.94875,1.5775000000000001,,,,,,,Me_262_A-1a
f-86f-2,190.0,52.17,1.97,1.69,1.88,1.65,378.0,55.14,1.62,1.98,0.96,1.16,,,,,,,F-86F-2
f-86_canadair_german,72.0,80.44,1.94,1.84,0.56,0.69,180.0,84.32,3.14,3.35,3.9,4.03,1.0,,,,,,CL-13A_Mk_5
f-84g,94.0,53.65,2.42,2.65,6.34,6.65,165.0,49.89,0.9,1.23,2.3,2.75,,,,,,,F-84G-21-RE
la_200_toriy,119.0,76.57,3.8,2.33,1.06,0.62,536.0,66.83,1.77,2.45,1.22,1.67,,,,,,,La-200
md_452_mystere_2c_preproduction,15.0,,,,,,378.0,76.44,1.65,2.76,1.07,1.81,,,,,,,M.D.452_IIC
sea_hawk_fga6,26.0,,,,,,247.0,68.18,1.54,1.86,2.05,2.63,,,,,,,sea_hawk_fga6_shop
sea_venom_faw20,16.0,100.0,2.77,2.5,1.0,1.0,43.0,94.87,2.26,3.63,1.38,2.25,,,,,,,Sea_Venom_FAW_20
arado-234,38.0,100.0,,,11.63,9.63,1226.0,73.96,,,4.65,6.68,,,,,,,Ar_234_B-2
