name,ab_battles,ab_win_rate,ab_air_frags_per_battle,ab_air_frags_per_death,ab_ground_frags_per_battle,ab_ground_frags_per_death,rb_battles,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death,sb_battles,sb_win_rate,sb_air_frags_per_battle,sb_air_frags_per_death,sb_ground_frags_per_battle,sb_ground_frags_per_death,alt_name
saab_jas39c_hungary,,,,,,,60.0,60.95,0.91,1.27,0.73,0.95,2.0,,,3.0,,,◔JAS39EBS_HU_C
mig_29_9_12b_hungary,,,,,,,91.0,43.11,1.12,1.91,,,,,,,,,◔MiG-29
su_27sm,201.0,85.19,4.12,4.24,0.23,0.26,1078.0,52.97,1.31,1.54,0.06,0.07,5.0,,,2.8,,,Su-27SM
f_15c_msip2,382.0,74.42,3.73,3.81,0.24,0.23,451.0,53.59,1.87,2.56,,,24.0,,,1.91,,,F-15C_MSIP_II
f_15j_kai,189.0,77.64,3.31,2.75,,,993.0,52.71,1.73,2.13,0.07,0.12,11.0,,,2.27,,,F-15J(M)
saab_jas39c,65.0,89.29,3.84,3.66,,,809.0,67.96,0.97,1.31,0.98,1.3,46.0,,,2.63,,,JAS39C
mig-21_bison,3.0,,,,,,947.0,70.91,1.38,1.61,0.24,0.28,14.0,,,0.5,,,MiG-21_Bison
f-4f_kws_lv,3.0,100.0,6.0,6.0,,,283.0,50.87,1.23,1.39,0.33,0.44,,,,,,,◄F-4F_KWS_LV
j_11a,,,,,,,78.0,49.33,1.27,1.72,,,,,,,,,J-11A
f_15c_baz_msip,110.0,92.26,4.01,5.5,0.76,1.08,129.0,50.23,1.96,3.05,,,,,,,,,Baz_Meshupar
av_8b_plus,309.0,75.07,4.29,4.67,0.37,0.37,82.0,55.0,1.38,1.09,1.08,1.07,,,,,,,AV-8B_Plus
f_16a_block_15_belgium,10.0,,,,,,100.0,55.07,0.85,0.96,0.49,0.76,,,,,,,F-16A
f_16am_block_15_mlu_belgium,20.0,50.0,1.5,3.0,,,31.0,94.74,0.55,1.29,,,,,,,,,F-16AM
f_16a_block_15_adf_italy,,,,,,,38.0,50.0,0.86,1.68,0.36,0.63,,,,,,,F-16A_ADF
tornado_f3_late,43.0,17.11,0.42,0.42,0.11,0.11,20.0,,,3.0,,,,,,,,,Tornado_F.3_Late
mig_29_9_13,31.0,100.0,2.2,1.27,,,200.0,50.59,1.23,1.44,0.03,0.02,68.0,,,0.57,,,MiG-29
sea_harrier_fa2,38.0,17.5,1.3,1.3,,,,,,,,,,,,,,,Sea_Harrier_FA_2
f_16a_block_15_adf,1.0,,,1.0,,,10.0,,1.0,1.0,,,12.0,,,0.83,,,F-16A_ADF
f_16a_block_10,112.0,64.3,1.25,1.41,0.41,0.48,461.0,52.44,1.4,1.61,0.36,0.44,6.0,,,,,,F-16A
f-4ej_kai,27.0,50.0,3.0,3.0,1.0,1.0,123.0,48.32,1.1,1.41,0.14,0.16,,,,,,,F-4EJ_Kai_Phantom_II
tornado_ids_de_mfg,7.0,,,0.43,,2.0,147.0,76.18,0.01,0.01,1.26,1.09,,,,,,,◄Tornado_IDS_MFG
