name,ab_battles,ab_win_rate,ab_air_frags_per_battle,ab_air_frags_per_death,ab_ground_frags_per_battle,ab_ground_frags_per_death,rb_battles,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death,sb_battles,sb_win_rate,sb_air_frags_per_battle,sb_air_frags_per_death,sb_ground_frags_per_battle,sb_ground_frags_per_death,alt_name
saab_jas39c_hungary,42.0,100.0,7.38,7.38,0.23,0.23,1025.0,70.4,1.62,2.43,0.93,1.36,44.0,,,1.38,,,◔JAS39EBS_HU_C
mig_29_9_12b_hungary,19.0,100.0,1.12,1.12,0.12,0.12,260.0,52.14,1.1,1.63,0.05,0.05,76.0,,,1.33,,,◔MiG-29
su_27sm,879.0,78.02,5.36,5.85,0.6,0.64,6963.0,56.93,1.47,1.68,0.08,0.09,684.0,48.83,9.44,1.81,0.35,0.07,Su-27SM
f_15c_msip2,1879.0,76.01,4.39,4.0,0.25,0.25,7893.0,60.06,1.85,2.45,,,535.0,100.0,17.78,2.34,,,F-15C_MSIP_II
f_15j_kai,20.0,80.0,8.0,3.64,1.2,0.27,1818.0,68.9,2.53,3.14,0.05,0.08,68.0,,14.0,2.32,,,F-15J(M)
saab_jas39c,63.0,70.83,5.05,3.74,,,1507.0,64.55,1.59,1.87,0.26,0.31,139.0,100.0,8.79,3.11,,,JAS39C
mig-21_bison,20.0,50.0,2.33,3.67,0.33,0.67,1838.0,57.36,1.65,2.27,0.05,0.09,75.0,100.0,7.13,1.09,,,MiG-21_Bison
f-4f_kws_lv,,,,,,,889.0,58.94,1.71,1.74,0.16,0.18,33.0,,,0.33,,,◄F-4F_KWS_LV
j_11a,,,,,,,663.0,64.1,1.83,2.3,0.03,0.03,25.0,,,0.15,,,J-11A
f_15c_baz_msip,3.0,100.0,5.0,5.0,1.0,1.0,266.0,62.8,2.43,3.45,0.07,0.1,,,,,,,Baz_Meshupar
av_8b_plus,807.0,67.0,2.26,2.72,0.64,0.77,2736.0,56.57,1.61,1.87,0.45,0.51,390.0,43.29,3.6,1.91,0.96,0.68,AV-8B_Plus
f_16a_block_15_belgium,6.0,,,2.0,,,106.0,47.95,1.18,1.2,0.24,0.25,62.0,,,1.32,,,F-16A
f_16am_block_15_mlu_belgium,,,,,,,892.0,66.46,1.42,1.81,0.72,0.96,22.0,,,1.73,,,F-16AM
f_16a_block_15_adf_italy,,,,,,,94.0,48.01,1.44,1.75,,,18.0,,,1.0,,,F-16A_ADF
tornado_f3_late,133.0,60.39,2.92,3.41,0.17,0.21,74.0,51.59,0.77,1.36,,,,,,,,,Tornado_F.3_Late
mig_29_9_13,146.0,57.53,2.19,2.65,0.38,0.47,1428.0,56.07,1.88,2.12,0.13,0.14,430.0,,16.05,1.97,,,MiG-29
sea_harrier_fa2,43.0,23.08,2.56,2.79,,,346.0,59.81,1.19,1.56,,,12.0,,,,,,Sea_Harrier_FA_2
f_16a_block_15_adf,265.0,46.73,0.87,1.03,0.22,0.25,106.0,85.42,1.92,1.86,,,3.0,,,,,,F-16A_ADF
f_16a_block_10,180.0,52.41,0.59,0.72,2.54,2.66,665.0,56.76,0.92,0.96,0.42,0.44,189.0,100.0,7.31,2.78,0.06,0.08,F-16A
f-4ej_kai,61.0,50.0,3.5,4.92,0.24,0.14,483.0,59.81,2.05,2.64,0.21,0.26,42.0,,4.67,1.3,,,F-4EJ_Kai_Phantom_II
tornado_ids_de_mfg,33.0,75.0,4.75,8.0,7.58,14.13,174.0,62.64,0.29,0.35,0.74,0.9,12.0,,,,,,◄Tornado_IDS_MFG
f_16a_block_20_mlu,12.0,100.0,2.33,2.33,3.33,3.33,424.0,68.89,1.27,1.01,0.45,0.37,15.0,,,1.27,,,F-16A_MLU_(China)
f_14a_iriaf,93.0,90.7,8.39,7.56,0.36,0.49,11761.0,54.85,1.62,1.96,,,231.0,100.0,9.24,1.87,,,F-14A_IRIAF
saab_ja37d,,,,,,,197.0,66.45,2.31,3.14,0.18,0.22,1.0,,,,,,JA37D
jf_17,,,,,,,354.0,71.74,1.52,1.77,0.34,0.41,,,,,,,JF-17
j_10a,,,,,,,1469.0,64.32,2.01,3.04,0.04,0.07,16.0,,,5.25,,,J-10A
f_16c_block_40_barak_2,,,,,,,80.0,60.2,0.96,1.42,0.16,0.24,,,,,,,F-16C_Barak_II
tornado_ids_de_assta1,3.0,100.0,1.0,1.0,11.0,11.0,227.0,69.93,0.07,0.1,1.18,1.38,8.0,,,1.0,,,◄Tornado_IDS_ASSTA1
mirage_2000d_r1,10.0,,,1.0,,3.0,146.0,90.91,0.54,1.18,3.54,6.92,,,,,,,Mirage_2000D-R1
f_16a_block_10_iaf,,,,,,,40.0,43.33,0.92,1.13,0.83,1.23,,,,,,,Netz
tornado_ids_it_mod95,,,,,,,82.0,80.77,0.07,0.07,2.22,2.3,19.0,,,,,,Tornado_IDS_(1995)
tornado_gr1,118.0,81.39,0.44,0.67,6.78,9.86,126.0,49.73,0.08,0.12,1.89,2.75,35.0,,,,,0.27,Tornado_GR.1
f_16aj,,,,,,,592.0,60.17,1.21,1.28,0.37,0.39,79.0,,,1.09,,,F-16AJ
mig_29_9_12_germany,30.0,,,1.0,,,891.0,57.64,1.33,1.59,0.01,0.02,144.0,,,2.29,,,◊MiG-29
f-4e_kurnass_2000,,,,,,,194.0,77.42,1.88,2.05,2.18,2.36,8.0,,,,,,Kurnass_2000
yak_141,36.0,69.23,1.42,2.46,0.31,0.31,708.0,65.24,1.61,1.84,0.03,0.04,130.0,,20.0,2.88,0.07,,Yak-141
tornado_f3,107.0,57.84,2.01,2.37,0.18,0.26,415.0,82.13,4.68,6.33,0.47,0.75,43.0,100.0,11.29,7.15,,,Tornado_F.3
f_14b,64.0,67.74,1.08,1.21,0.92,1.44,2315.0,60.64,1.97,2.29,0.12,0.15,426.0,100.0,18.06,2.99,,,F-14B
mirage_2000_5f,18.0,,,,,,4242.0,69.76,2.16,2.73,0.1,0.12,193.0,,,2.27,,,Mirage_2000-5F
j_8f,31.0,100.0,7.14,4.83,0.43,0.31,1092.0,55.71,1.81,1.97,0.01,0.01,164.0,,,1.57,,,J-8F
tornado_adv,13.0,,,,,,151.0,83.76,3.18,3.83,0.04,0.05,31.0,,,5.92,,,Tornado_ADV
mig_29smt_9_19,754.0,78.76,4.92,5.64,0.34,0.38,2862.0,58.69,1.49,1.73,0.07,0.08,419.0,46.5,6.55,1.67,0.21,0.06,MiG-29SMT
