name,ab_battles,ab_win_rate,ab_air_frags_per_battle,ab_air_frags_per_death,ab_ground_frags_per_battle,ab_ground_frags_per_death,rb_battles,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death,sb_battles,sb_win_rate,sb_air_frags_per_battle,sb_air_frags_per_death,sb_ground_frags_per_battle,sb_ground_frags_per_death,alt_name
etndard_4m,129.0,73.66,0.85,0.74,2.1,1.88,1550.0,58.42,1.41,1.98,0.27,0.39,,,,,,,Etendard_IVM
f-100d,508.0,65.56,1.05,0.96,1.56,1.41,1402.0,50.96,0.49,0.49,0.41,0.41,28.0,,,,,,F-100D
mig-19pt,440.0,44.43,2.54,2.49,0.13,0.15,743.0,55.64,0.69,0.74,0.04,0.05,92.0,100.0,5.25,4.04,,,MiG-19PT
javelin_fmk9,109.0,61.83,1.81,1.29,0.09,0.08,525.0,54.62,1.24,1.53,0.08,0.12,40.0,,,2.15,,,Javelin_F.(A.W.)_Mk.9
f-86k_late,100.0,80.4,1.88,1.32,,,359.0,60.26,1.57,2.19,,,27.0,,,,,,F-86K
hunter_f6,135.0,84.79,1.22,1.01,2.22,1.9,417.0,56.4,1.06,1.22,0.55,0.62,,,,,,,Hunter_F.6
md_450b_barougan,77.0,50.0,0.69,0.82,0.81,0.89,594.0,57.4,0.75,0.82,0.75,0.84,228.0,100.0,3.56,1.16,5.53,2.13,M.D.450B_Barougan
me-262c-2b,49.0,70.84,1.67,3.43,0.12,0.07,199.0,88.76,2.06,2.7,0.09,0.1,25.0,,,1.29,,,Me_262_C-2b
mig-15bis_ish,19.0,20.0,1.2,1.09,1.53,1.51,900.0,65.71,0.68,0.71,0.47,0.52,,,,,,,MiG-15bis_ISH
f-86f-35,111.0,62.88,1.15,0.68,2.48,1.76,2487.0,50.51,0.67,0.79,0.42,0.49,14.0,,,,,,F-86F-35
meteor_fmk8_reaper,25.0,,,0.25,,1.55,764.0,56.43,0.61,0.62,1.15,1.15,279.0,100.0,8.43,1.61,0.79,0.19,Meteor_F_Mk.8_Reaper
canberra_bmk2,66.0,43.55,,,9.11,7.47,139.0,58.98,,,1.09,1.11,166.0,100.0,1.0,0.18,1.0,0.3,Canberra_B_Mk_2
yak-17,54.0,20.0,5.4,4.62,,,33.0,78.57,1.0,1.43,,,,,,,,,Yak-17
f-86f-30_japan,64.0,93.33,0.67,0.67,3.47,3.47,794.0,61.55,0.91,1.02,0.55,0.62,18.0,100.0,1.82,1.82,,,F-86F-30_
yak-30d,316.0,72.67,3.24,4.34,0.05,0.07,190.0,41.72,1.23,1.38,0.22,0.15,48.0,100.0,7.67,5.18,,,Yak-30
hunter_f1,80.0,100.0,2.42,1.76,0.73,0.5,724.0,62.48,1.98,2.95,0.23,0.34,2.0,,,,,,Hunter_F_1
me-163b,130.0,47.31,1.83,2.25,0.08,0.1,524.0,64.14,2.25,1.85,0.2,0.18,227.0,,8.18,2.43,,,Me_163_B
f-86f-40_japan,62.0,85.71,1.62,1.13,3.48,1.94,1263.0,57.87,1.07,1.4,0.36,0.48,72.0,100.0,7.71,5.91,,,F-86F-40_
yak-23,232.0,79.79,4.71,3.76,0.03,0.04,242.0,54.81,1.04,2.08,0.06,0.1,5.0,,,,,,Yak-23
f9f-8,294.0,65.69,1.45,1.37,0.72,0.65,1304.0,55.54,1.64,2.03,0.3,0.37,259.0,100.0,10.44,3.72,0.11,0.06,F9F-8
f-86a-5,420.0,65.54,1.11,0.96,2.38,2.39,2121.0,54.53,0.83,0.84,0.29,0.29,,,,,,,F-86A-5
f3d_1,307.0,65.93,1.26,0.8,2.71,1.65,778.0,57.92,0.94,1.28,1.0,1.39,172.0,77.63,2.14,1.06,1.19,0.55,F3D-1
r2y2_kai,19.0,100.0,1.18,1.0,3.82,3.18,916.0,66.15,2.14,3.1,0.66,0.95,27.0,,,5.32,,0.2,R2Y2_Kai_V3
r2y2_v1,38.0,89.29,1.25,1.16,4.38,4.18,391.0,51.48,2.31,1.69,0.82,0.59,115.0,,10.29,3.41,2.29,0.61,R2Y2_Kai_V1
r2y2_v2,40.0,100.0,0.4,0.22,2.53,1.91,283.0,89.03,2.86,6.79,0.7,1.47,37.0,87.5,3.75,3.43,,0.24,R2Y2_Kai_V2
me-262a-1a,99.0,45.7,2.87,2.97,0.58,0.55,646.0,45.84,1.98,2.11,0.71,0.7,12.0,,,2.5,,,Me_262_A-1a
f-86f-2,255.0,75.11,2.33,2.47,1.25,1.42,4033.0,62.63,1.47,1.96,0.27,0.35,6.0,,,,,,F-86F-2
f-86_canadair_german,199.0,52.26,1.61,1.21,1.36,1.02,727.0,56.42,1.14,1.24,0.27,0.29,10.0,,,1.0,,,CL-13A_Mk_5
f-84g,232.0,73.13,1.43,1.27,3.35,2.95,328.0,41.89,0.94,0.91,0.95,0.87,111.0,100.0,1.7,1.21,1.27,1.32,F-84G-21-RE
la_200_toriy,257.0,71.48,2.21,1.42,0.22,0.14,465.0,52.35,0.55,0.68,0.2,0.26,73.0,,3.0,1.43,,0.36,La-200
md_452_mystere_2c_preproduction,117.0,97.85,1.72,0.83,4.33,2.02,649.0,60.87,1.86,2.19,0.49,0.57,,,,,,,M.D.452_IIC
sea_hawk_fga6,9.0,50.0,0.5,1.0,0.5,1.0,658.0,57.82,0.5,0.66,1.42,1.81,12.0,,,0.08,,0.42,sea_hawk_fga6_shop
sea_venom_faw20,,,,,,,58.0,25.4,1.99,2.0,0.74,0.74,36.0,,,1.83,,,Sea_Venom_FAW_20
arado-234,243.0,93.65,,,13.81,5.1,3307.0,62.59,,,2.45,3.81,101.0,,,,,,Ar_234_B-2
fj_4b,92.0,100.0,0.9,0.99,5.14,6.33,258.0,53.12,1.06,0.92,1.55,0.93,,,,,,,FJ-4B
f-84g_france,80.0,64.45,0.89,1.08,1.49,1.27,422.0,56.54,0.89,1.08,0.46,0.55,352.0,43.75,4.49,1.03,0.94,0.12,F-84G-26-RE
tu_14t,350.0,75.28,0.37,0.38,5.16,5.13,339.0,53.22,0.1,0.07,0.37,0.22,85.0,50.0,1.13,0.34,1.63,0.4,Tu-14T
il_28sh,513.0,70.73,0.44,0.36,4.93,4.08,3654.0,67.47,0.21,0.21,0.88,0.85,1146.0,52.44,8.46,0.57,4.17,0.31,IL-28Sh
mig-15bis_nr23_german,444.0,55.59,4.13,4.47,1.21,1.31,3868.0,64.32,1.12,1.58,0.18,0.23,10.0,,,1.2,,,MiG-15bis
attaker_fb1,17.0,,,1.0,,2.0,291.0,68.5,1.0,1.41,1.02,1.42,5.0,,,,,,Attacker_FB_1
f-86f-25,305.0,70.38,1.37,1.5,1.47,1.62,700.0,58.94,1.01,1.41,0.55,0.78,6.0,,,1.0,,,F-86F-25
me-262a-2a,25.0,100.0,2.0,2.31,2.32,2.31,288.0,79.62,1.99,2.28,1.56,1.67,30.0,,,1.7,,,Me_262_A-2a
fj_4b_agm_12b,50.0,100.0,1.15,1.34,8.35,5.55,5153.0,60.31,0.41,0.42,1.84,1.98,30.0,100.0,2.0,2.5,1.0,0.88,FJ-4B_VMF-232
la-15,307.0,79.12,2.6,2.97,0.51,0.58,1129.0,65.17,0.86,1.19,0.14,0.22,103.0,46.08,2.2,3.6,,,La-15
he-162a-2,249.0,66.86,3.04,3.66,,,307.0,33.81,2.28,2.78,,,73.0,,,2.42,,,He_162_A-2
yak-15_early,114.0,53.7,1.0,1.22,,,204.0,52.54,0.73,1.51,,,,,,,,,Yak-15P
me-163b-0,125.0,69.36,5.06,6.7,0.71,0.98,208.0,80.75,4.45,7.03,0.13,0.26,,,,,,,Me_163_B-0
f-84b,434.0,63.77,2.57,1.69,1.49,1.04,787.0,55.47,0.82,1.11,0.94,1.25,95.0,,,0.41,,,F-84B-26
f-80a,252.0,68.4,3.36,1.6,1.01,0.53,1840.0,69.75,1.49,2.37,0.94,1.49,47.0,100.0,1.0,1.67,,,F-80A-5
kitsuka,4.0,,,,,,578.0,57.84,2.14,3.39,0.52,0.82,38.0,,,,,,Kikka
f9f-5,220.0,51.47,1.46,1.17,1.37,1.09,143.0,31.18,4.26,3.04,1.47,1.15,10.0,,,,,1.0,F9F-5
go229_v3,100.0,45.7,2.75,2.6,0.24,0.23,657.0,42.14,1.25,1.3,0.98,1.0,12.0,,,2.0,,,Ho_229_V3
il_28,437.0,69.71,0.45,0.35,4.76,3.72,756.0,60.67,0.26,0.26,0.46,0.43,293.0,50.0,6.5,0.87,2.5,0.26,IL-28
mig-9_ussr,120.0,56.58,1.82,1.12,0.03,0.02,375.0,76.71,1.88,3.03,0.15,0.24,3.0,,,,,,MiG-9_/L
