name,ab_battles,ab_win_rate,ab_air_frags_per_battle,ab_air_frags_per_death,ab_ground_frags_per_battle,ab_ground_frags_per_death,rb_battles,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death,sb_battles,sb_win_rate,sb_air_frags_per_battle,sb_air_frags_per_death,sb_ground_frags_per_battle,sb_ground_frags_per_death,alt_name
etndard_4m,77.0,87.1,0.34,0.52,2.32,3.29,1341.0,63.7,1.33,2.0,0.5,0.75,11.0,,5.6,5.6,4.0,4.0,Etendard_IVM
f-100d,1277.0,68.71,1.24,1.08,1.8,1.58,3973.0,49.73,0.6,0.64,0.53,0.55,352.0,74.78,9.08,5.7,0.45,0.31,F-100D
mig-19pt,461.0,57.59,3.75,2.91,0.1,0.09,2806.0,53.21,0.82,0.96,0.07,0.07,76.0,65.79,3.47,1.72,,,MiG-19PT
javelin_fmk9,326.0,62.33,2.18,1.62,0.16,0.11,1855.0,53.76,1.13,1.34,0.07,0.08,115.0,100.0,9.35,5.31,0.26,0.27,Javelin_F.(A.W.)_Mk.9
f-86k_late,85.0,96.77,3.73,3.93,1.97,1.52,330.0,53.76,2.22,1.88,0.25,0.15,8.0,100.0,1.0,1.0,,,F-86K
hunter_f6,826.0,60.61,2.55,1.94,1.65,1.25,2974.0,60.19,1.75,2.44,0.32,0.44,127.0,63.89,13.91,13.09,0.46,1.12,Hunter_F.6
md_450b_barougan,98.0,68.18,0.89,0.23,1.8,0.78,822.0,60.41,0.56,0.62,1.05,1.15,,,,,,,M.D.450B_Barougan
me-262c-2b,350.0,54.46,2.27,2.55,0.42,0.44,606.0,64.56,2.02,3.75,0.47,0.75,53.0,,5.67,3.74,,,Me_262_C-2b
mig-15bis_ish,20.0,78.13,0.5,1.0,2.66,2.94,1866.0,50.0,0.44,0.5,0.3,0.35,21.0,,,,,,MiG-15bis_ISH
f-86f-35,90.0,38.6,1.24,0.98,1.94,1.28,5142.0,52.65,0.66,0.78,0.44,0.51,73.0,81.82,1.82,1.08,0.82,0.47,F-86F-35
meteor_fmk8_reaper,92.0,66.86,0.78,0.69,5.33,4.61,1521.0,55.02,0.55,0.6,1.26,1.37,216.0,100.0,8.75,2.07,3.0,0.53,Meteor_F_Mk.8_Reaper
canberra_bmk2,181.0,89.32,,,6.35,6.17,419.0,53.72,,,0.72,1.91,23.0,,,,,0.25,Canberra_B_Mk_2
yak-17,14.0,,,1.27,,,102.0,58.82,1.18,2.43,0.07,0.14,,,,,,,Yak-17
f-86f-30_japan,214.0,54.89,1.07,1.06,1.85,1.78,3401.0,57.45,0.96,1.18,0.51,0.62,126.0,80.65,6.6,7.47,0.45,0.85,F-86F-30_
yak-30d,632.0,50.18,2.27,2.92,0.08,0.11,461.0,67.03,1.18,1.62,0.46,0.6,15.0,,3.0,1.75,,,Yak-30
hunter_f1,430.0,66.84,2.94,3.15,0.33,0.37,2519.0,63.56,1.62,2.6,0.34,0.55,16.0,,,,,,Hunter_F_1
