name,ab_battles,ab_win_rate,ab_air_frags_per_battle,ab_air_frags_per_death,ab_ground_frags_per_battle,ab_ground_frags_per_death,rb_battles,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death,sb_battles,sb_win_rate,sb_air_frags_per_battle,sb_air_frags_per_death,sb_ground_frags_per_battle,sb_ground_frags_per_death,alt_name
saab_jas39c_hungary,,,,,,,254.0,39.4,1.13,1.4,0.15,0.2,,,,,,,◔JAS39EBS_HU_C
mig_29_9_12b_hungary,,,,,,,20.0,,,1.0,,,,,,,,,◔MiG-29
su_27sm,3.0,83.33,4.0,4.67,0.83,1.0,938.0,62.09,1.82,2.1,0.07,0.08,156.0,,,1.05,,,Su-27SM
f_15c_msip2,125.0,70.55,4.07,3.83,0.02,0.03,637.0,60.51,1.68,1.97,0.11,0.12,24.0,,,2.0,,,F-15C_MSIP_II
f_15j_kai,,,,,,,320.0,56.24,2.03,1.86,0.1,0.11,10.0,,,1.0,,,F-15J(M)
saab_jas39c,,,,,,,587.0,53.36,1.5,1.58,0.32,0.33,,,,,,,JAS39C
mig-21_bison,,,,,,,935.0,59.74,1.3,1.55,0.15,0.18,1.0,,,,,,MiG-21_Bison
f-4f_kws_lv,70.0,64.81,8.35,7.06,,,371.0,51.49,1.23,1.41,0.16,0.19,26.0,,,1.0,,,◄F-4F_KWS_LV
j_11a,12.0,,,,,,85.0,56.9,2.19,2.47,,,,,,,,,J-11A
f_15c_baz_msip,216.0,66.13,4.52,4.0,0.15,0.09,17.0,,,,,,,,,,,,Baz_Meshupar
av_8b_plus,15.0,,,1.72,,,166.0,47.39,1.32,1.59,0.63,0.63,,,,,,,AV-8B_Plus
f_16a_block_15_belgium,,,,,,,18.0,50.0,1.0,1.0,,,,,,,,,F-16A
f_16am_block_15_mlu_belgium,34.0,100.0,2.71,2.72,,,18.0,100.0,2.33,,,,,,,,,,F-16AM
f_16a_block_15_adf_italy,,,,,,,67.0,51.58,1.55,2.99,,,47.0,100.0,5.0,4.77,,,F-16A_ADF
tornado_f3_late,6.0,100.0,4.0,4.0,,,52.0,54.0,1.5,1.52,,,,,,,,,Tornado_F.3_Late
mig_29_9_13,67.0,72.58,1.31,1.18,,,265.0,53.25,1.46,1.53,0.13,0.13,4.0,,,2.5,,,MiG-29
sea_harrier_fa2,8.0,,,,,,6.0,50.0,0.5,1.0,,,,,,,,,Sea_Harrier_FA_2
f_16a_block_15_adf,135.0,46.59,4.12,5.96,0.24,0.36,438.0,56.14,1.5,2.26,0.12,0.14,21.0,,,1.6,,,F-16A_ADF
f_16a_block_10,3.0,50.0,2.0,2.5,2.0,1.5,272.0,44.32,1.51,1.49,0.58,0.56,,,,,,,F-16A
f-4ej_kai,,,,,,,43.0,73.33,0.73,0.55,5.67,3.18,,,,,,,F-4EJ_Kai_Phantom_II
tornado_ids_de_mfg,65.0,69.67,0.37,0.61,4.1,5.51,38.0,27.78,0.16,0.16,0.44,0.44,,,,,,,◄Tornado_IDS_MFG
f_16a_block_20_mlu,,,,,,,117.0,61.67,1.27,1.48,0.01,0.01,14.0,,,,,,F-16A_MLU_(China)
f_14a_iriaf,322.0,57.67,3.68,3.2,0.39,0.32,1447.0,54.31,1.59,1.84,,,27.0,,,0.17,,,F-14A_IRIAF
saab_ja37d,15.0,100.0,1.0,1.4,,,59.0,50.0,1.54,1.66,,,,,,,,,JA37D
jf_17,40.0,100.0,14.89,14.89,3.89,3.89,314.0,56.79,2.08,2.02,0.35,0.36,14.0,,,0.36,,,JF-17
j_10a,,,,,,,346.0,63.78,2.31,2.13,0.07,0.07,32.0,,,2.6,,,J-10A
f_16c_block_40_barak_2,93.0,80.65,2.79,3.53,0.13,0.21,29.0,,,1.83,,,,,,,,,F-16C_Barak_II
tornado_ids_de_assta1,83.0,70.56,1.16,0.76,6.77,4.77,47.0,42.59,,,0.32,0.45,,,,,,,◄Tornado_IDS_ASSTA1
mirage_2000d_r1,,,,,,,31.0,79.55,0.8,1.0,3.77,5.18,,,,,,,Mirage_2000D-R1
f_16a_block_10_iaf,,,,,,,23.0,32.14,0.68,0.68,0.32,0.32,,,,,,,Netz
tornado_ids_it_mod95,,,,,,,,,,,,,,,,,,,Tornado_IDS_(1995)
tornado_gr1,9.0,,,1.0,,1.0,47.0,74.68,0.06,0.09,1.37,1.7,,,,,,,Tornado_GR.1
su_34,22.0,100.0,7.86,7.86,,,1102.0,63.26,0.49,0.48,1.31,1.25,97.0,,,0.29,,1.56,Су-34
f_15e,162.0,83.49,4.93,3.97,0.02,0.02,1723.0,51.42,1.05,1.31,1.03,1.29,153.0,,,0.61,,0.88,F-15E
saab_ja37di,24.0,66.67,6.3,6.3,,,18.0,50.0,0.54,1.07,,,,,,,,,JA37DI
saab_ja37di_f21,31.0,100.0,8.11,7.7,0.44,0.4,1093.0,54.67,1.14,1.24,0.03,0.03,123.0,,,1.44,,,JA37DI_F21
f_15i_raam,266.0,66.68,5.34,3.85,0.14,0.1,262.0,68.76,0.69,0.86,1.24,1.38,12.0,,,,,2.17,F-15I_Ra’am
f_16aj,,,,,,,98.0,56.22,0.91,0.87,0.41,0.49,,,,,,,F-16AJ
mig_29_9_12_germany,,,,,,,164.0,60.36,2.36,1.32,0.22,0.15,68.0,,,0.36,,,◊MiG-29
tornado_gr4,,,,,,,165.0,54.21,0.34,0.39,1.89,2.17,,,,,,,Tornado_GR.4
mirage_2000d_rmv,,,,,,,32.0,100.0,,,3.72,4.0,,,,,,,Mirage_2000D-RMV
f-4e_kurnass_2000,34.0,71.57,0.78,0.88,1.25,1.47,15.0,88.89,,,4.33,3.4,31.0,,,2.88,,,Kurnass_2000
mirage_2000_5ei,,,,,,,149.0,36.88,1.32,1.1,,,,,,,,,Mirage_2000-5Ei_(China)
yak_141,6.0,,,2.0,,,184.0,58.23,1.27,1.43,0.22,0.24,50.0,,2.29,1.06,,,Yak-141
tornado_f3,9.0,,,1.0,,,372.0,61.16,1.85,2.37,,,,,,,,,Tornado_F.3
rafale_c_f3,80.0,100.0,8.68,4.92,,,2533.0,75.82,1.98,2.78,0.42,0.59,151.0,100.0,14.6,3.34,1.8,0.73,Rafale_C_F3
ef_2000_fgr4,3.0,,,2.0,,,757.0,70.5,1.53,2.53,0.21,0.33,84.0,,,1.32,,,Typhoon_FGR.4
su_33,48.0,81.48,7.8,5.26,0.17,0.11,2181.0,56.34,1.23,1.29,0.08,0.09,97.0,,,1.1,,,Су-33
ef_2000_block_10,,,,,,,2046.0,51.31,1.03,1.16,0.27,0.3,96.0,,,1.99,,,◄EF-2000
ef_2000a,,,,,,,253.0,27.71,1.35,1.28,0.12,0.14,,,,,,,F-2000A
f_14b,,,,,,,279.0,51.11,1.6,2.21,0.53,0.69,,,,,,,F-14B
f_16a_block_15_ocu_thailand,,,,,,,107.0,100.0,1.36,1.03,0.61,0.57,,,,,,,F-16A_OCU
saab_jas39c_thailand,,,,,,,530.0,62.63,1.43,1.39,0.45,0.35,,,,,,,JAS39C
mirage_2000_5f,42.0,100.0,3.8,4.4,0.08,0.13,128.0,93.49,1.97,2.79,0.34,0.48,,,,,,,Mirage_2000-5F
j_8f,,,,,,,44.0,,,,,,53.0,,5.36,1.81,,,J-8F
