name,ab_battles,ab_win_rate,ab_air_frags_per_battle,ab_air_frags_per_death,ab_ground_frags_per_battle,ab_ground_frags_per_death,rb_battles,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death,sb_battles,sb_win_rate,sb_air_frags_per_battle,sb_air_frags_per_death,sb_ground_frags_per_battle,sb_ground_frags_per_death,alt_name
mirage_f1ct,34.0,66.67,2.49,3.74,0.74,1.06,187.0,59.92,1.02,1.68,0.33,0.52,,,,,,,Mirage_F1CT
etndard_4m,14.0,,,,,,327.0,65.7,0.35,0.41,1.83,2.22,,,,,,,Etendard_IVM
f-100d,130.0,51.43,1.03,1.05,1.27,1.34,665.0,55.33,1.52,1.75,0.25,0.3,7.0,,,,,,F-100D
mig-19pt,31.0,,,0.85,,,531.0,51.65,0.9,1.13,0.14,0.18,,,,,,,MiG-19PT
javelin_fmk9,38.0,100.0,2.21,2.21,,,107.0,40.91,2.39,2.88,0.05,0.04,,,,,,,Javelin_F.(A.W.)_Mk.9
md_454_mystere_4a,,,,,,,72.0,54.76,0.94,1.76,1.15,1.76,,,,,,,M.D.454_IVA
f-86k_late,,,,,,,32.0,66.67,1.3,1.3,0.3,0.3,,,,,,,F-86K
hunter_f6,,,,,,,33.0,79.17,3.41,3.73,0.74,0.77,,,,,,,Hunter_F.6
md_450b_barougan,,,,,,,174.0,100.0,1.59,2.67,1.91,3.32,,,,,,,M.D.450B_Barougan
me-262c-2b,7.0,50.0,0.5,1.0,,,251.0,64.05,2.64,6.76,0.05,0.17,,,,,,,Me_262_C-2b
mig-15bis_ish,,,,,,,617.0,70.0,0.59,0.84,1.22,1.75,,,,,,,MiG-15bis_ISH
f-86f-35,,,,,,,12.0,,,,,,2.0,,,,,,F-86F-35
meteor_fmk8_reaper,,,,,,,577.0,75.8,0.98,1.34,2.12,2.41,,,,,,,Meteor_F_Mk.8_Reaper
canberra_bmk2,,,,,,,,,,,,,16.0,,,,,,Canberra_B_Mk_2
yak-17,42.0,50.0,1.0,1.58,,,,,,,,,,,,,,,Yak-17
f-86f-30_japan,26.0,50.0,1.0,2.0,,,328.0,71.12,1.89,1.47,1.46,1.2,,,,,,,F-86F-30_
yak-30d,48.0,79.31,5.76,6.41,,,8.0,100.0,1.0,1.0,0.2,0.2,,,,,,,Yak-30
hunter_f1,,,,,,,12.0,56.67,0.82,1.4,0.42,0.8,,,,,,,Hunter_F_1
me-163b,6.0,,,,,,635.0,71.41,3.36,9.98,0.05,0.18,,,,,,,Me_163_B
vampire_fb52_finland,,,,,,,66.0,50.0,0.85,1.48,1.42,2.04,,,,,,,Vampire_FB_52A
f-86f-40_japan,26.0,50.0,1.5,1.08,,,246.0,51.79,1.78,1.5,0.8,0.65,,,,,,,F-86F-40_
yak-23,22.0,50.0,1.0,2.0,0.5,1.0,230.0,56.37,0.94,1.45,0.21,0.32,,,,,,,Yak-23
f9f-8,51.0,66.67,1.64,1.93,0.86,0.94,179.0,39.05,0.97,1.61,1.0,1.64,21.0,,,1.5,,,F9F-8
f-86a-5,160.0,64.31,0.99,1.41,0.2,0.29,379.0,60.63,0.95,1.3,0.97,1.35,,,,,,,F-86A-5
f3d_1,21.0,50.0,1.1,1.3,2.36,2.72,493.0,47.62,0.55,0.7,1.84,2.42,,,,,,,F3D-1
r2y2_kai,87.0,40.38,6.29,2.77,5.23,1.99,132.0,93.12,0.43,0.41,2.11,2.11,,,,,,,R2Y2_Kai_V3
r2y2_v1,75.0,78.0,1.89,2.32,2.45,2.77,65.0,60.0,1.25,1.35,2.9,3.1,17.0,,,,,,R2Y2_Kai_V1
r2y2_v2,120.0,65.39,1.36,1.9,2.22,3.29,65.0,84.85,0.64,0.64,1.23,1.23,,,,,,,R2Y2_Kai_V2
me-262a-1a,,,,,,,344.0,42.65,1.09,1.57,0.24,0.32,,,,,,,Me_262_A-1a
f-86f-2,41.0,14.17,1.08,1.4,0.14,0.25,381.0,82.34,3.29,8.63,0.21,0.57,,,,,,,F-86F-2
f-86_canadair_german,20.0,100.0,1.0,1.0,,,260.0,45.49,1.04,1.33,0.6,0.79,,,,,,,CL-13A_Mk_5
f-84g,106.0,55.93,1.2,1.47,0.38,0.45,221.0,44.8,1.2,1.68,4.26,5.54,,,,,,,F-84G-21-RE
la_200_toriy,43.0,68.18,2.05,1.36,0.73,,260.0,95.59,3.57,3.08,0.96,0.86,,,,,,,La-200
md_452_mystere_2c_preproduction,,,,,,,44.0,100.0,3.91,3.28,1.83,1.63,,,,,,,M.D.452_IIC
sea_hawk_fga6,,,,,,,179.0,58.08,0.62,1.08,1.32,2.17,,,,,,,sea_hawk_fga6_shop
sea_venom_faw20,,,,,,,22.0,100.0,2.0,2.0,2.0,2.0,,,,,,,Sea_Venom_FAW_20
arado-234,8.0,,,,,4.0,683.0,59.48,,,4.21,5.64,,,,,,,Ar_234_B-2
fj_4b,,,,,,,48.0,50.0,1.43,2.12,1.21,1.48,,,,,,,FJ-4B
f-84g_france,,,,,,,327.0,97.75,2.02,1.82,5.64,4.63,,,,,,,F-84G-26-RE
tu_14t,7.0,,,1.0,,4.57,40.0,,,,,0.75,,,,,,,Tu-14T
il_28sh,20.0,,,,,2.5,352.0,72.56,0.11,0.13,1.21,1.49,,,,,,,IL-28Sh
mig-15bis_nr23_german,39.0,50.0,2.64,5.29,0.5,1.0,368.0,69.47,1.33,2.43,0.31,0.53,1.0,,,,,,MiG-15bis
attaker_fb1,66.0,81.55,0.74,0.92,3.08,3.45,103.0,79.84,0.29,0.44,0.7,1.07,,,,,,,Attacker_FB_1
f-86f-25,142.0,59.99,1.07,1.12,0.32,0.34,53.0,86.36,2.05,1.64,,,,,,,,,F-86F-25
me-262a-2a,11.0,,,2.0,,2.0,302.0,68.7,2.81,8.75,1.22,3.97,,,,,,,Me_262_A-2a
fj_4b_agm_12b,,,,,,,120.0,94.83,2.19,3.07,4.9,5.79,,,,,,,FJ-4B_VMF-232
la-15,58.0,7.35,1.61,2.46,0.25,0.24,115.0,60.77,1.66,3.33,0.32,0.58,,,,,,,La-15
