name,ab_battles,ab_win_rate,ab_air_frags_per_battle,ab_air_frags_per_death,ab_ground_frags_per_battle,ab_ground_frags_per_death,rb_battles,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death,sb_battles,sb_win_rate,sb_air_frags_per_battle,sb_air_frags_per_death,sb_ground_frags_per_battle,sb_ground_frags_per_death,alt_name
mirage_f1ct,133.0,81.56,2.62,3.08,,,324.0,65.6,1.46,1.94,0.27,0.37,27.0,,,2.0,,,Mirage_F1CT
etndard_4m,70.0,68.64,0.9,1.26,0.95,1.29,694.0,67.39,1.54,2.33,0.84,1.25,38.0,,,3.12,,,Etendard_IVM
f-100d,420.0,64.17,2.34,1.44,1.31,0.82,627.0,58.21,0.93,1.12,0.52,0.63,23.0,,,1.0,,,F-100D
mig-19pt,347.0,57.2,3.11,2.6,0.53,0.44,1271.0,60.62,1.32,1.91,0.19,0.25,,,,,,,MiG-19PT
javelin_fmk9,148.0,60.89,1.24,1.24,0.66,0.74,451.0,78.05,2.45,3.71,0.78,1.14,,,,,,,Javelin_F.(A.W.)_Mk.9
md_454_mystere_4a,160.0,70.17,1.21,1.18,2.03,2.12,13.0,,,1.56,,2.33,,,,,,,M.D.454_IVA
f-86k_late,93.0,70.65,1.1,1.15,0.3,0.24,19.0,,,,,,,,,,,,F-86K
hunter_f6,45.0,100.0,7.38,2.88,1.25,0.2,194.0,73.25,2.67,2.68,2.06,1.94,,,,,,,Hunter_F.6
md_450b_barougan,119.0,72.22,0.81,0.82,2.41,2.4,125.0,44.44,2.77,3.59,4.2,5.33,,,,,,,M.D.450B_Barougan
me-262c-2b,13.0,,,1.08,,1.0,455.0,88.42,2.82,8.88,0.23,0.72,,,,,,,Me_262_C-2b
mig-15bis_ish,21.0,58.34,0.4,0.46,0.4,0.85,886.0,69.49,1.03,1.47,1.13,1.66,65.0,,2.33,1.05,4.0,0.66,MiG-15bis_ISH
f-86f-35,164.0,86.22,1.81,1.21,2.13,1.47,469.0,52.18,1.38,1.74,1.67,2.15,,,,,,,F-86F-35
meteor_fmk8_reaper,,,,,,,600.0,71.7,0.85,0.99,2.12,2.48,10.0,,1.0,1.0,,,Meteor_F_Mk.8_Reaper
canberra_bmk2,,,,,,,,,,,,,,,,,,,Canberra_B_Mk_2
yak-17,101.0,60.0,2.22,3.0,0.75,1.15,95.0,90.79,2.16,3.74,0.91,1.58,,,,,,,Yak-17
