name,ab_battles,ab_win_rate,ab_air_frags_per_battle,ab_air_frags_per_death,ab_ground_frags_per_battle,ab_ground_frags_per_death,rb_battles,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death,sb_battles,sb_win_rate,sb_air_frags_per_battle,sb_air_frags_per_death,sb_ground_frags_per_battle,sb_ground_frags_per_death,alt_name
saab_jas39c_hungary,23.0,100.0,4.78,3.81,,,482.0,84.32,0.92,1.15,2.39,2.95,3.0,,,1.0,,,◔JAS39EBS_HU_C
mig_29_9_12b_hungary,5.0,,,,,,30.0,90.0,2.0,1.42,1.6,0.67,2.0,,,4.0,,,◔MiG-29
su_27sm,653.0,88.04,4.75,5.87,0.46,0.56,5222.0,62.94,1.82,2.44,0.15,0.2,405.0,42.86,8.9,2.37,0.49,0.14,Su-27SM
f_15c_msip2,1896.0,83.3,4.47,4.34,0.25,0.24,3618.0,57.45,1.9,2.47,0.03,0.03,151.0,100.0,8.11,3.41,,0.02,F-15C_MSIP_II
f_15j_kai,40.0,72.92,7.38,8.07,1.19,0.33,848.0,66.29,2.35,3.34,0.1,0.14,72.0,,,3.24,,,F-15J(M)
saab_jas39c,19.0,100.0,4.63,4.8,,,1129.0,70.16,1.35,1.75,0.72,0.93,55.0,100.0,8.0,2.64,,,JAS39C
mig-21_bison,9.0,,,,,,684.0,63.7,1.94,2.57,0.17,0.23,,,,,,,MiG-21_Bison
f-4f_kws_lv,2.0,100.0,1.0,1.0,,,949.0,63.03,1.18,1.37,0.21,0.25,47.0,,,0.92,,,◄F-4F_KWS_LV
j_11a,8.0,100.0,2.0,4.0,1.0,2.0,147.0,81.14,2.4,3.23,0.01,0.02,26.0,,,1.3,,,J-11A
f_15c_baz_msip,29.0,64.39,2.59,4.41,0.14,0.23,272.0,79.57,2.9,3.91,0.1,0.08,,,,,,,Baz_Meshupar
av_8b_plus,641.0,69.46,1.87,2.45,0.5,0.64,661.0,52.85,1.58,1.73,1.01,1.17,118.0,50.0,2.29,2.65,2.1,2.2,AV-8B_Plus
f_16a_block_15_belgium,6.0,100.0,2.0,2.0,7.0,7.0,81.0,97.12,1.28,0.96,1.52,1.05,11.0,,,0.73,,,F-16A
f_16am_block_15_mlu_belgium,16.0,100.0,4.0,8.0,0.9,3.0,348.0,80.77,1.24,1.79,2.39,3.35,15.0,,,1.07,,,F-16AM
f_16a_block_15_adf_italy,4.0,,,,,,25.0,60.0,1.13,0.76,,,,,,,,,F-16A_ADF
tornado_f3_late,42.0,78.92,1.82,1.75,0.07,0.04,23.0,100.0,1.0,1.0,0.91,0.91,,,,,,,Tornado_F.3_Late
mig_29_9_13,164.0,66.53,1.6,2.24,0.4,0.52,711.0,65.35,1.88,1.93,0.07,0.04,109.0,50.0,3.0,1.46,,,MiG-29
sea_harrier_fa2,49.0,57.41,2.81,2.21,0.38,0.56,147.0,59.29,1.04,1.34,0.02,0.03,,,,,,,Sea_Harrier_FA_2
f_16a_block_15_adf,183.0,56.16,0.84,0.92,0.11,0.1,64.0,50.53,1.06,1.53,,,,,,,,,F-16A_ADF
