name,ab_battles,ab_win_rate,ab_air_frags_per_battle,ab_air_frags_per_death,ab_ground_frags_per_battle,ab_ground_frags_per_death,rb_battles,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death,sb_battles,sb_win_rate,sb_air_frags_per_battle,sb_air_frags_per_death,sb_ground_frags_per_battle,sb_ground_frags_per_death,alt_name
germ_vsw_flak_41,2368.0,86.23,0.14,0.15,6.46,7.23,634.0,59.14,0.0,0.0,4.0,3.18,0.0,,,,,,VFW
germ_panzerbefelhswagen_VI_P,2081.0,88.06,0.07,0.1,5.62,8.34,348.0,64.68,0.0,0.0,8.03,3.11,0.0,,,,,,Pz.Bfw.VI_(P)
sw_sherman_3_4,1209.0,74.7,0.07,0.07,5.19,5.0,1011.0,69.58,0.0,0.0,6.44,4.08,0.0,,,,,,Sherman_III/IV
germ_pzkpfw_III_ausf_F,1142.0,87.18,0.01,0.03,5.2,7.8,74.0,88.16,0.0,0.0,9.46,10.25,0.0,,,,,,Pz.III_F
ussr_t_34_85_zis_53,1042.0,73.44,0.05,0.05,4.83,4.78,985.0,56.36,0.0,0.0,3.56,2.82,7.0,100.0,0.0,0.0,1.14,1.14,T-34-85
ussr_t_34_85E,1014.0,83.88,0.05,0.05,5.32,5.08,739.0,67.3,0.0,0.0,4.53,4.08,0.0,,,,,,T-34-85E
germ_pzkpfw_VI_ausf_h1_tiger_east,874.0,76.97,0.0,0.03,3.12,4.86,335.0,38.24,0.0,0.0,6.79,5.15,15.0,,,0.0,,2.0,Tiger_Ost
germ_pzkpfw_V_ausf_d_panther,830.0,71.48,0.0,0.0,2.86,3.34,544.0,40.61,0.0,0.0,3.67,1.64,42.0,95.14,0.0,0.0,3.35,2.94,Panther_D
ussr_t_54_1947,802.0,55.11,0.05,0.1,2.99,3.29,528.0,46.34,0.0,0.0,3.18,2.47,81.0,47.22,0.0,0.0,1.78,2.21,T-54_(1947)
germ_pzkpfw_VI_ausf_h1_tiger_west,795.0,83.68,0.04,0.08,3.8,6.37,498.0,49.7,0.0,0.0,3.73,2.99,0.0,,,,,,Tiger_West
germ_pzkpfw_IV_ausf_C,769.0,72.22,0.07,0.09,5.01,8.19,13.0,25.0,0.0,0.0,3.83,4.0,0.0,,,,,,Pz.IV_C
ussr_kv_1e,756.0,65.96,0.07,0.12,4.85,6.25,638.0,72.99,0.0,0.0,6.62,4.95,0.0,,,,,,KV-1E
il_m_51,755.0,76.21,0.26,0.18,6.23,3.41,828.0,48.9,0.0,0.0,4.26,1.25,23.0,,,0.0,,0.43,M-51
us_t20,638.0,72.3,0.03,0.04,5.22,5.95,5407.0,71.64,0.0,0.0,5.12,4.63,210.0,85.27,0.0,0.0,6.28,4.05,T20
ussr_t_34_85_zis_53_v80,634.0,75.38,0.0,0.0,4.15,4.4,763.0,60.05,0.0,0.0,5.78,3.09,0.0,,,,,,"Т-34-85_""Партизан"""
germ_pzkpfw_VI_ausf_h1_tiger,632.0,76.1,0.03,0.03,5.03,4.27,1129.0,39.59,0.0,0.0,2.55,1.55,0.0,,,,,,Tiger_H1
us_t58,626.0,60.02,0.01,0.02,3.65,3.79,875.0,65.29,0.0,0.0,4.86,3.2,0.0,,,,,,T58
bf-109f-4,587.0,72.52,4.97,4.77,0.44,0.44,489.0,57.43,1.48,1.55,0.51,0.51,1.0,,,1.0,,0.0,Bf_109_F-4
la-7,569.0,78.55,3.57,4.94,0.57,0.8,130.0,89.67,3.43,3.07,3.49,3.26,5.0,,,2.0,,0.0,La-7
germ_pzkpfw_VI_ausf_h1_tiger_animal_version,566.0,79.46,0.17,0.25,5.38,7.24,127.0,83.69,0.0,0.0,6.41,3.16,0.0,,,,,,␠Tiger
ussr_t_34_1941_57,546.0,60.79,0.05,0.05,2.21,2.49,952.0,63.37,0.0,0.0,2.75,1.92,0.0,,,,,,T-34-57
f_15c_golden_eagle,544.0,61.87,3.78,3.61,0.34,0.31,669.0,51.71,2.5,3.51,0.13,0.16,32.0,,,1.79,,0.0,F-15C_Golden_Eagle
ussr_t_34E_STZ,523.0,80.92,0.0,0.02,3.83,3.62,343.0,59.82,0.0,0.0,5.39,2.36,0.0,,,,,,T-34E_STZ
fr_m26_pershing,510.0,54.13,0.46,0.49,2.55,2.84,244.0,58.36,0.0,0.0,1.71,1.17,14.0,50.0,0.0,0.0,1.0,2.0,M26
