name,ab_battles,ab_win_rate,ab_air_frags_per_battle,ab_air_frags_per_death,ab_ground_frags_per_battle,ab_ground_frags_per_death,rb_battles,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death,sb_battles,sb_win_rate,sb_air_frags_per_battle,sb_air_frags_per_death,sb_ground_frags_per_battle,sb_ground_frags_per_death,alt_name
etndard_4m,,,,,,,818.0,49.6,1.64,1.6,1.53,1.48,,,,,,,Etendard_IVM
f-100d,791.0,62.38,1.48,1.42,1.65,1.6,1188.0,76.27,1.9,2.05,1.66,1.84,35.0,,,0.92,,,F-100D
mig-19pt,695.0,52.47,2.45,2.29,0.2,0.17,2443.0,45.82,1.38,1.7,0.41,0.51,,,,,,,MiG-19PT
javelin_fmk9,92.0,23.12,1.95,2.0,0.45,0.48,314.0,74.23,3.65,3.7,2.28,2.31,24.0,,,,,,Javelin_F.(A.W.)_Mk.9
md_454_mystere_4a,27.0,,,,3.0,2.5,143.0,40.15,1.44,1.64,2.46,2.87,,,,,,,M.D.454_IVA
f-86k_late,80.0,60.35,2.15,2.08,0.27,0.25,80.0,100.0,5.64,2.19,2.09,2.83,,,,,,,F-86K
hunter_f6,76.0,86.11,4.12,2.51,1.89,1.3,201.0,61.05,2.94,3.19,2.96,3.13,,,,,,,Hunter_F.6
md_450b_barougan,63.0,45.98,1.43,2.46,1.52,2.47,228.0,59.68,1.91,1.48,2.6,2.07,7.0,,,,,,M.D.450B_Barougan
me-262c-2b,30.0,100.0,2.69,2.22,0.56,0.41,688.0,65.87,2.27,3.97,0.44,0.76,,,,,,,Me_262_C-2b
mig-15bis_ish,72.0,64.52,0.35,0.61,1.45,2.24,756.0,69.5,0.59,0.81,1.4,1.84,8.0,,,,,,MiG-15bis_ISH
f-86f-35,195.0,80.04,0.49,0.53,2.99,3.2,666.0,55.13,1.13,1.24,2.2,2.46,5.0,,,,,1.0,F-86F-35
meteor_fmk8_reaper,19.0,100.0,1.0,0.36,10.0,5.29,1487.0,62.21,0.78,0.95,1.0,1.21,,,,,,,Meteor_F_Mk.8_Reaper
canberra_bmk2,8.0,,,,,,17.0,,,,,,1.0,,,,,,Canberra_B_Mk_2
yak-17,24.0,50.0,3.0,2.48,,,38.0,83.33,2.28,3.22,0.72,1.0,,,,,,,Yak-17
f-86f-30_japan,45.0,100.0,1.65,1.65,7.16,7.16,1058.0,52.91,0.8,1.05,1.33,1.69,6.0,,,,,1.0,F-86F-30_
yak-30d,207.0,51.97,2.04,1.96,0.42,0.45,66.0,74.19,2.14,2.93,0.92,1.4,,,,,,,Yak-30
hunter_f1,124.0,38.71,1.63,1.73,0.98,1.03,279.0,80.27,3.16,3.73,2.25,2.71,,,,,,,Hunter_F_1
me-163b,46.0,100.0,4.73,4.8,0.23,0.28,334.0,66.85,3.19,8.58,1.11,2.93,,,,,,,Me_163_B
f-86f-40_japan,91.0,91.03,2.05,1.34,11.61,7.67,252.0,51.74,1.9,2.19,2.61,2.94,14.0,,,1.43,,,F-86F-40_
yak-23,81.0,52.5,2.98,3.88,,,28.0,84.38,0.81,1.29,0.91,1.14,19.0,,,,,,Yak-23
f9f-8,405.0,65.59,2.06,1.84,0.29,0.26,567.0,65.19,3.04,3.03,2.48,2.41,,,,,,,F9F-8
f-86a-5,313.0,53.08,2.41,1.8,5.33,3.76,880.0,44.31,1.36,1.35,1.46,1.48,,,,,,,F-86A-5
f3d_1,98.0,100.0,1.17,0.65,7.9,4.55,866.0,60.25,0.99,0.98,2.11,2.09,,,,,,,F3D-1
r2y2_kai,32.0,100.0,1.78,1.41,5.89,4.88,157.0,73.49,1.79,3.07,1.95,3.18,38.0,,,6.58,,0.35,R2Y2_Kai_V3
r2y2_v1,96.0,95.97,1.12,0.75,6.43,4.31,620.0,60.27,0.6,0.87,1.12,1.61,,,,,,,R2Y2_Kai_V1
r2y2_v2,101.0,100.0,1.94,1.46,7.27,5.37,228.0,77.96,2.61,3.18,3.73,4.59,10.0,,,,,,R2Y2_Kai_V2
me-262a-1a,155.0,50.0,2.36,1.45,2.43,1.46,357.0,70.22,4.25,2.1,3.45,1.87,,,,,,,Me_262_A-1a
f-86f-2,302.0,68.94,2.48,3.1,1.06,1.29,3735.0,82.88,1.91,3.67,1.73,3.36,8.0,,,,,,F-86F-2
f-86_canadair_german,38.0,100.0,1.12,0.95,2.71,2.57,224.0,62.11,1.89,1.45,2.01,1.62,11.0,,,1.0,,,CL-13A_Mk_5
f-84g,294.0,70.33,0.77,0.91,3.75,4.2,353.0,45.53,2.84,2.35,4.85,4.24,,,,,,,F-84G-21-RE
la_200_toriy,217.0,66.15,1.92,1.85,0.65,0.62,703.0,84.53,2.1,4.15,1.45,2.9,,,,,,,La-200
md_452_mystere_2c_preproduction,54.0,50.0,1.29,1.78,0.98,1.48,446.0,54.58,1.77,1.43,2.13,1.78,,,,,,,M.D.452_IIC
sea_hawk_fga6,15.0,,,0.67,,2.27,164.0,68.21,1.3,1.84,4.71,7.11,,,,,,,sea_hawk_fga6_shop
sea_venom_faw20,42.0,,2.4,1.52,0.45,0.35,29.0,100.0,3.44,1.0,5.22,1.0,,,,,,,Sea_Venom_FAW_20
arado-234,115.0,82.8,,,8.1,9.91,2246.0,63.01,,0.01,4.19,5.59,,,,,,,Ar_234_B-2
fj_4b,197.0,74.81,1.41,1.16,3.69,2.86,268.0,72.03,2.68,3.71,2.22,3.09,22.0,,,2.14,,,FJ-4B
f-84g_france,2.0,,,2.0,,1.0,656.0,73.37,1.95,3.82,3.39,6.67,,,,,,,F-84G-26-RE
tu_14t,436.0,64.15,0.27,0.27,3.96,3.9,408.0,63.98,0.26,0.27,1.08,1.11,,,,,,,Tu-14T
il_28sh,484.0,66.46,0.49,0.49,5.81,5.83,764.0,67.78,0.25,0.27,1.79,1.92,25.0,,,,,4.88,IL-28Sh
mig-15bis_nr23_german,141.0,61.18,5.59,4.63,1.24,0.75,1442.0,67.41,1.87,2.99,1.14,1.82,1.0,,,,,,MiG-15bis
attaker_fb1,264.0,78.81,1.25,1.29,2.39,2.4,406.0,70.73,1.67,1.25,1.77,1.54,,,,,,,Attacker_FB_1
f-86f-25,399.0,67.87,0.98,0.86,2.29,2.09,116.0,48.89,3.45,2.8,4.92,4.37,,,,,,,F-86F-25
me-262a-2a,,,,,,,341.0,54.34,1.09,1.5,2.35,3.28,,,,,,,Me_262_A-2a
fj_4b_agm_12b,70.0,85.51,0.94,1.13,7.98,8.8,2017.0,84.23,0.49,0.62,3.43,4.4,,,,,,,FJ-4B_VMF-232
la-15,169.0,58.55,1.52,1.74,1.18,1.28,545.0,81.06,2.99,5.66,2.44,4.49,3.0,,,,,,La-15
he-162a-2,85.0,,,2.22,,,425.0,31.62,3.12,3.3,0.33,0.38,,,,,,,He_162_A-2
yak-15_early,59.0,69.45,1.44,1.56,0.28,0.28,252.0,85.49,2.61,4.65,0.59,0.98,22.0,,,,,,Yak-15P
me-163b-0,25.0,,1.33,0.78,1.11,1.3,47.0,28.57,2.86,3.0,,,,,,,,,Me_163_B-0
f-84b,180.0,82.24,2.91,2.35,4.78,4.36,813.0,44.94,1.16,0.87,3.53,2.58,,,,,,,F-84B-26
f-80a,57.0,87.28,1.08,1.16,4.23,4.23,449.0,67.9,1.33,2.2,1.89,3.11,11.0,,,,,,F-80A-5
kitsuka,81.0,100.0,3.76,3.76,3.9,3.9,827.0,69.25,1.48,2.55,0.65,1.09,,,,,,,Kikka
f9f-5,147.0,58.22,1.33,1.89,1.83,2.71,52.0,92.59,1.3,0.78,3.21,1.76,,,,,,,F9F-5
go229_v3,69.0,89.29,2.91,4.31,1.84,2.62,419.0,59.65,0.49,0.61,0.99,1.3,,,,,,,Ho_229_V3
il_28,268.0,67.38,0.53,0.55,5.75,5.9,324.0,64.62,0.13,0.15,0.94,0.88,,,,,,,IL-28
mig-9_ussr,8.0,,,1.29,,0.14,293.0,78.22,4.59,4.55,1.94,2.17,17.0,,,1.0,,,MiG-9_/L
j8m1,38.0,27.78,4.75,3.86,1.18,1.95,299.0,80.88,3.82,22.99,1.25,7.72,,,,,,,Ki-200
meteor_fmk3,35.0,,,1.33,,0.25,234.0,61.2,1.91,2.73,1.45,2.09,,,,,,,Meteor_F_Mk_3
meteor_fmk8,26.0,100.0,1.22,0.92,6.78,4.25,161.0,97.85,8.04,8.27,9.25,8.83,,,,,,,Meteor_F_Mk_8_G.41K
f2h-2,93.0,47.25,1.41,1.82,1.22,1.67,358.0,48.29,1.15,0.76,1.61,1.09,20.0,,,1.0,,1.0,F2H-2
fiat_g91_r1,41.0,88.24,0.35,0.16,4.06,2.72,204.0,63.68,1.68,2.49,1.62,2.36,,,,,,,G.91_R/1
b-57,299.0,82.04,,,4.85,4.51,17.0,,,,1.0,1.0,,,,,,,B-57A
me-262a-1a_u4,119.0,58.6,1.09,1.02,1.24,1.14,1628.0,58.89,0.18,0.18,2.06,2.07,,,,,,,Me_262_A-1/U4
f-80,191.0,37.92,1.38,1.42,2.31,2.9,190.0,43.55,1.95,3.3,2.55,4.24,,,,,,,F-80C-10
mig-9,56.0,100.0,3.09,1.82,,,577.0,64.19,0.63,0.83,0.9,1.14,,,,,,,MiG-9
me-262c-1a,12.0,,,1.5,,1.0,357.0,56.85,1.87,1.76,0.85,0.81,,,,,,,Me_262_C-1a
mig-15_ns23,414.0,63.08,1.14,1.34,1.45,1.7,1274.0,71.6,1.25,2.02,1.28,2.07,21.0,,,,,,MiG-15
meteor_fmk4_sw,42.0,,,1.58,,0.13,,,,,,,,,,,,,Meteor_F_Mk_4_G.41G
meteor_fmk4_lw,38.0,,,1.71,,0.63,47.0,65.61,2.09,5.4,2.75,7.5,,,,,,,Meteor_F_Mk_4_G.41F
