name,ab_battles,ab_win_rate,ab_air_frags_per_battle,ab_air_frags_per_death,ab_ground_frags_per_battle,ab_ground_frags_per_death,rb_battles,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death,sb_battles,sb_win_rate,sb_air_frags_per_battle,sb_air_frags_per_death,sb_ground_frags_per_battle,sb_ground_frags_per_death,alt_name
mirage_f1ct,26.0,100.0,6.0,10.0,,,151.0,68.08,1.2,2.0,0.3,0.51,,,,,,,Mirage_F1CT
etndard_4m,46.0,74.8,0.8826086956521739,,3.1411304347826094,,577.0,64.7708695652174,1.3824347826086956,2.056782608695652,1.0722608695652174,1.5619999999999998,22.0,,,,,,Etendard_IVM
f-100d,202.0,68.22999999999999,1.18,0.845,2.605,1.83,259.0,63.66,1.32,1.355,0.7050000000000001,0.74,,,,,,,F-100D
mig-19pt,173.0,54.62428571428571,1.7257142857142855,1.4071428571428573,0.12428571428571428,0.10571428571428572,242.0,51.644285714285715,1.3585714285714285,1.2242857142857142,0.3442857142857143,0.31000000000000005,,,,,,,MiG-19PT
javelin_fmk9,21.0,,,1.14,,0.24,106.0,84.53,3.79,4.92,2.31,2.82,,,,,,,Javelin_F.(A.W.)_Mk.9
md_454_mystere_4a,28.0,50.0,0.5,1.0633333333333332,1.92,2.3000000000000003,70.0,60.16,2.0533333333333332,2.1133333333333333,1.4366666666666668,1.45,,,,,,,M.D.454_IVA
f-86k_late,37.0,50.0,0.71,0.93,0.14,0.09,15.0,33.33,0.33,,,,,,,,,,F-86K
hunter_f6,32.0,50.0,1.29,2.09,0.5,0.78,140.0,51.88,3.6,2.72,2.49,1.8,14.0,,,2.0,,,Hunter_F.6
md_450b_barougan,17.0,,,0.06,,3.59,48.0,100.0,2.0,0.23,1.0,0.39,17.0,,,0.11,,,M.D.450B_Barougan
me-262c-2b,,,,,,,366.0,92.5729411764706,4.12235294117647,9.39,0.6758823529411765,1.671764705882353,,,,,,,Me_262_C-2b
mig-15bis_ish,52.0,50.0,1.0,0.88,4.77,3.44,298.0,74.93,0.93,0.98,1.61,1.72,13.0,,,,,,MiG-15bis_ISH
f-86f-35,19.0,100.0,1.18,1.27,4.65,5.0,49.0,60.53,1.76,1.7,2.34,2.16,,,,,,,F-86F-35
meteor_fmk8_reaper,,,,,,,221.0,63.97,1.37,2.08,1.89,2.73,,,,,,,Meteor_F_Mk.8_Reaper
canberra_bmk2,4.0,,,,,5.0,24.0,50.0,,,0.5,1.0,,,,,,,Canberra_B_Mk_2
yak-17,15.0,92.31,2.73,2.92,0.92,1.0,42.0,50.0,1.67,,0.83,,,,,,,,Yak-17
f-86f-30_japan,34.0,48.206250000000004,1.35,2.50625,1.30125,2.26125,177.0,82.50999999999999,0.7025,0.78,1.28625,1.20875,,,,,,,F-86F-30_
yak-30d,57.0,63.04,2.17,2.28,1.43,1.52,38.0,100.0,2.57,4.0,0.9,2.0,,,,,,,Yak-30
hunter_f1,54.0,52.17,1.15,1.42,,,52.0,50.0,2.67,4.6,2.17,2.65,,,,,,,Hunter_F_1
me-163b,21.0,,,5.33,,0.08,111.0,91.74,4.35,17.11,0.8,6.78,,,,,,,Me_163_B
vampire_fb52_finland,,,,,,,,,,,,,,,,,,,Vampire_FB_52A
f-86f-40_japan,24.0,50.0,2.0,2.33,1.17,1.42,102.0,46.14,3.05,3.5,1.39,1.51,,,,,,,F-86F-40_
yak-23,6.0,100.0,6.5,7.0,2.5,3.0,52.0,100.0,1.43,5.06,1.34,5.56,,,,,,,Yak-23
f9f-8,111.0,68.47,1.2133333333333334,1.0466666666666666,0.7,0.6166666666666667,154.0,39.29333333333333,1.2633333333333334,1.6,1.6533333333333333,2.06,,,,,,,F9F-8
f-86a-5,61.0,86.67,2.27,2.0,4.67,4.33,158.0,54.45,2.04,1.6,3.34,3.17,,,,,,,F-86A-5
f3d_1,43.0,81.67,1.02,1.25,4.74,5.59,249.0,41.67,0.48,0.35,2.65,2.16,24.0,,,2.0,,,F3D-1
r2y2_kai,10.0,50.0,2.0,2.0,0.5,0.5,427.0,77.08,3.23,5.59,4.5,7.72,36.0,,,4.43,,0.71,R2Y2_Kai_V3
r2y2_v1,22.0,50.0,2.5,1.7,2.4,1.62,210.0,73.64,1.33,1.65,3.73,4.74,,,,,,,R2Y2_Kai_V1
r2y2_v2,10.0,50.0,0.5,0.5,2.0,2.0,62.0,56.81666666666667,1.6700000000000002,1.7,5.316666666666666,5.256666666666667,8.0,,,7.056666666666667,,,R2Y2_Kai_V2
me-262a-1a,63.0,50.0,1.11,1.2,,,255.0,52.05,1.47,1.36,1.17,1.08,,,,,,,Me_262_A-1a
f-86f-2,31.0,93.75,0.44,0.52,1.31,0.65,259.0,44.73,2.02,2.22,0.85,0.94,,,,,,,F-86F-2
f-86_canadair_german,39.0,62.96,1.42,1.97,0.64,1.22,334.0,68.56,2.35,4.36,0.53,1.03,,,,,,,CL-13A_Mk_5
f-84g,46.0,94.17,0.35,0.45,6.51,8.7,212.0,45.55,0.9,0.92,1.68,1.77,,,,,,,F-84G-21-RE
la_200_toriy,49.0,,,2.79,,1.29,385.0,73.22,1.68,2.84,0.91,1.57,,,,,,,La-200
md_452_mystere_2c_preproduction,16.0,,,0.63,,1.13,56.0,39.29,1.97,2.36,0.34,0.32,,,,,,,M.D.452_IIC
sea_hawk_fga6,,,,,,,125.0,70.44,1.11,2.26,1.49,2.71,,,,,,,sea_hawk_fga6_shop
sea_venom_faw20,,,,,,,,,,,,,,,,,,,Sea_Venom_FAW_20
arado-234,24.0,100.0,,,12.5,11.25,669.0,61.69,0.07,0.08,2.9,4.41,,,,,,,Ar_234_B-2
fj_4b,18.0,,,,,,56.0,61.59,2.31,2.65,2.58,2.8,,,,,,,FJ-4B
f-84g_france,20.0,,,,,,298.0,64.81666666666666,1.42,2.09,2.0033333333333334,3.0233333333333334,,,,,,,F-84G-26-RE
tu_14t,21.0,69.23,0.31,0.31,5.69,5.69,115.0,43.33,0.39,0.32,0.9,0.76,,,,,,,Tu-14T
il_28sh,100.0,76.45,0.31,0.42,7.17,10.11,510.0,63.66,0.3,0.27,1.49,1.37,4.0,,,,,,IL-28Sh
mig-15bis_nr23_german,106.0,60.61,2.67,3.37,1.14,1.46,675.0,80.2,2.45,4.87,1.4,2.76,,,,,,,MiG-15bis
attaker_fb1,36.0,75.0,0.8,1.5,1.3,2.5,222.0,56.09,1.0,0.72,2.14,1.52,,,,,,,Attacker_FB_1
f-86f-25,29.0,91.18,2.47,2.35,3.97,3.88,20.0,100.0,1.33,1.0,1.0,1.0,,,,,,,F-86F-25
me-262a-2a,6.0,,,,0.75,0.7,247.0,72.62,1.58,5.75,0.88,3.1,,,,,,,Me_262_A-2a
