name,ab_battles,ab_win_rate,ab_air_frags_per_battle,ab_air_frags_per_death,ab_ground_frags_per_battle,ab_ground_frags_per_death,rb_battles,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death,sb_battles,sb_win_rate,sb_air_frags_per_battle,sb_air_frags_per_death,sb_ground_frags_per_battle,sb_ground_frags_per_death,alt_name
mirage_f1ct,14.0,,,,,1.0,350.0,62.3,1.01,1.38,0.33,0.45,10.0,,,,,,Mirage_F1CT
etndard_4m,7.0,,,,,,276.0,76.04,1.92,2.66,1.12,1.63,,,,,,,Etendard_IVM
f-100d,252.0,60.98,1.21,1.34,0.61,0.71,354.0,56.51,1.48,1.33,0.27,0.23,11.0,,,,,,F-100D
mig-19pt,68.0,100.0,6.0,2.23,,,832.0,51.14,1.29,1.34,0.12,0.14,25.0,,,2.0,,,MiG-19PT
javelin_fmk9,9.0,100.0,0.25,0.25,,,241.0,78.43,2.61,3.44,0.61,0.64,,,,,,,Javelin_F.(A.W.)_Mk.9
md_454_mystere_4a,,,,,,,19.0,100.0,1.33,0.53,,,,,,,,,M.D.454_IVA
f-86k_late,3.0,,,1.0,,,59.0,57.14,0.9,1.38,0.3,0.06,,,,,,,F-86K
hunter_f6,1.0,,,1.0,,,45.0,73.46,0.96,1.43,1.16,1.4,,,,,,,Hunter_F.6
md_450b_barougan,,,,,,,82.0,100.0,0.93,1.36,1.4,2.03,,,,,,,M.D.450B_Barougan
me-262c-2b,37.0,79.41,1.62,2.22,0.21,0.12,441.0,71.7,2.83,8.03,0.1,0.36,,,,,,,Me_262_C-2b
mig-15bis_ish,,,,,,,524.0,72.5,0.62,1.01,1.38,2.19,,,,,,,MiG-15bis_ISH
f-86f-35,,,,,,,30.0,,,1.77,,1.0,,,,,,,F-86F-35
meteor_fmk8_reaper,,,,,,,645.0,71.95,1.23,1.74,1.81,2.52,,,,,,,Meteor_F_Mk.8_Reaper
canberra_bmk2,,,,,,,21.0,,,,,0.05,6.0,,,,,,Canberra_B_Mk_2
yak-17,11.0,50.0,0.5,1.0,,,22.0,41.67,1.42,2.67,0.42,0.83,,,,,,,Yak-17
f-86f-30_japan,28.0,50.0,1.0,1.65,,,323.0,60.77,0.89,1.08,0.83,0.95,,,,,,,F-86F-30_
yak-30d,,,,,,,73.0,46.15,1.36,1.53,0.45,0.45,,,,,,,Yak-30
hunter_f1,,,,,,,74.0,100.0,4.56,4.27,,,,,,,,,Hunter_F_1
