name,ab_battles,ab_win_rate,ab_air_frags_per_battle,ab_air_frags_per_death,ab_ground_frags_per_battle,ab_ground_frags_per_death,rb_battles,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death,sb_battles,sb_win_rate,sb_air_frags_per_battle,sb_air_frags_per_death,sb_ground_frags_per_battle,sb_ground_frags_per_death,alt_name
etndard_4m,93.0,58.33,1.29,1.14,4.19,3.75,654.0,47.75,1.42,1.63,1.65,1.87,,,,,,,Etendard_IVM
f-100d,515.0,61.1,1.04,1.02,1.59,1.55,1185.0,54.63,1.18,1.41,1.02,1.24,,,,,,,F-100D
mig-19pt,745.0,60.06,1.85,2.0,0.21,0.23,2426.0,54.61,1.46,1.71,0.31,0.35,,,,,,,MiG-19PT
javelin_fmk9,107.0,63.68,2.18,1.98,0.09,0.09,416.0,57.71,3.44,3.87,1.86,2.39,22.0,,,,,,Javelin_F.(A.W.)_Mk.9
md_454_mystere_4a,125.0,81.52,0.85,1.01,3.18,4.05,281.0,46.04,1.42,1.02,1.75,1.3,,,,,,,M.D.454_IVA
f-86k_late,122.0,72.58,2.35,1.56,0.83,0.41,36.0,,,4.5,,1.0,,,,,,,F-86K
hunter_f6,132.0,86.61,2.38,2.63,0.96,1.13,491.0,58.53,1.52,2.24,1.03,1.54,,,,,,,Hunter_F.6
md_450b_barougan,65.0,69.84,1.66,2.14,4.7,4.55,347.0,79.76,1.51,1.31,3.04,3.03,,,,,,,M.D.450B_Barougan
me-262c-2b,90.0,97.78,5.42,3.65,0.37,0.29,415.0,73.48,2.29,3.79,1.59,2.67,,,,,,,Me_262_C-2b
mig-15bis_ish,47.0,56.45,0.24,0.4,1.34,2.23,557.0,81.62,1.15,1.25,1.45,1.58,18.0,,,,,,MiG-15bis_ISH
f-86f-35,123.0,65.44,2.46,2.4,2.24,1.94,461.0,49.5,1.05,1.31,1.56,1.95,,,,,,,F-86F-35
meteor_fmk8_reaper,27.0,81.82,0.82,0.34,7.82,4.56,739.0,70.16,1.05,1.26,1.84,2.26,16.0,100.0,,,0.17,0.08,Meteor_F_Mk.8_Reaper
canberra_bmk2,,,,,,,47.0,100.0,,,0.75,1.0,20.0,,,,,,Canberra_B_Mk_2
yak-17,65.0,100.0,5.26,3.64,0.16,0.14,16.0,100.0,3.0,3.0,,,,,,,,,Yak-17
f-86f-30_japan,21.0,100.0,2.88,2.88,1.06,1.06,612.0,55.33,1.62,1.76,1.92,2.07,13.0,,,,,,F-86F-30_
yak-30d,176.0,88.71,5.66,3.95,2.16,1.0,116.0,97.78,2.86,4.5,1.56,1.3,,,,,,,Yak-30
hunter_f1,136.0,71.19,1.69,1.65,1.61,1.67,405.0,68.03,2.59,3.58,1.42,1.9,,,,,,,Hunter_F_1
me-163b,32.0,83.33,2.91,3.19,0.69,0.73,216.0,74.9,5.38,9.11,1.3,2.2,,,,,,,Me_163_B
f-86f-40_japan,59.0,90.0,2.27,1.98,4.1,3.9,289.0,53.6,1.11,1.17,3.07,3.31,30.0,,,,,,F-86F-40_
yak-23,65.0,57.57,2.71,2.68,0.59,0.6,184.0,95.77,2.58,5.68,1.24,3.4,,,,,,,Yak-23
f9f-8,299.0,57.67,2.65,1.9,0.81,0.55,362.0,64.21,9.18,3.55,5.81,2.23,5.0,,,,,,F9F-8
f-86a-5,155.0,55.93,1.62,1.53,2.97,2.75,1222.0,47.48,1.14,1.3,1.25,1.42,,,,,,,F-86A-5
f3d_1,116.0,73.21,1.53,2.15,6.55,9.06,1078.0,53.82,1.03,1.05,3.15,3.21,12.0,,,,,,F3D-1
r2y2_kai,17.0,,,1.0,,0.54,182.0,69.36,2.54,3.87,4.91,7.81,21.0,,,5.57,,0.43,R2Y2_Kai_V3
r2y2_v1,48.0,81.18,0.98,1.07,5.84,6.62,608.0,67.29,0.81,1.05,1.75,2.3,10.0,,,0.5,,,R2Y2_Kai_V1
r2y2_v2,26.0,100.0,2.1,1.8,5.4,4.76,152.0,93.6,2.64,2.42,5.09,4.58,,,,,,,R2Y2_Kai_V2
me-262a-1a,27.0,100.0,2.0,1.83,1.0,0.25,295.0,56.29,2.11,2.49,1.43,1.76,,,,,,,Me_262_A-1a
f-86f-2,171.0,83.82,2.56,2.51,1.96,2.09,2207.0,75.27,2.29,3.61,1.31,2.08,2.0,,,,,,F-86F-2
f-86_canadair_german,150.0,46.77,1.77,1.34,0.97,0.72,234.0,58.61,1.89,2.04,2.54,2.81,4.0,,,1.0,,,CL-13A_Mk_5
f-84g,135.0,70.74,1.7,1.33,9.17,6.78,208.0,37.63,2.2,2.17,4.06,4.18,,,,,,,F-84G-21-RE
la_200_toriy,87.0,61.05,3.22,2.89,0.75,0.51,793.0,76.16,1.72,2.82,1.31,2.13,,,,,,,La-200
md_452_mystere_2c_preproduction,81.0,54.58,1.76,1.24,4.03,2.69,454.0,50.34,1.49,1.08,1.98,1.36,,,,,,,M.D.452_IIC
sea_hawk_fga6,110.0,51.19,1.24,1.64,3.15,4.42,258.0,73.7,2.76,2.59,3.72,3.4,,,,,,,sea_hawk_fga6_shop
sea_venom_faw20,139.0,60.4,1.38,1.36,0.84,0.82,47.0,100.0,2.0,,3.17,,,,,,,,Sea_Venom_FAW_20
arado-234,89.0,88.0,,,13.06,9.38,1583.0,68.63,,,4.39,6.46,,,,,,,Ar_234_B-2
fj_4b,158.0,60.16,1.37,1.14,5.15,4.23,414.0,44.85,2.1,1.98,2.86,2.67,,,,,,,FJ-4B
f-84g_france,116.0,70.15,1.25,0.83,6.92,6.0,841.0,73.96,1.69,2.13,3.14,3.87,,,,,,,F-84G-26-RE
tu_14t,379.0,65.19,0.36,0.4,3.97,4.31,479.0,54.24,0.23,0.28,1.23,1.58,,,,,,,Tu-14T
il_28sh,515.0,68.6,0.48,0.44,5.59,5.03,1036.0,74.09,0.36,0.31,2.26,2.07,10.0,100.0,1.0,,2.25,,IL-28Sh
mig-15bis_nr23_german,285.0,46.64,2.8,3.51,0.45,0.54,1552.0,65.64,1.93,2.63,1.11,1.52,15.0,,,,,,MiG-15bis
attaker_fb1,57.0,50.0,2.14,2.64,2.96,3.89,592.0,73.49,1.25,1.31,1.19,1.25,,,,,,,Attacker_FB_1
f-86f-25,148.0,78.13,3.59,3.55,2.53,2.49,285.0,34.19,1.31,1.52,1.48,1.71,,,,,,,F-86F-25
me-262a-2a,,,,,,,387.0,74.83,1.0,1.47,1.92,2.85,,,,,,,Me_262_A-2a
fj_4b_agm_12b,48.0,83.33,0.83,0.75,2.73,2.28,1558.0,75.19,0.56,0.7,3.37,4.3,,,,,,,FJ-4B_VMF-232
la-15,135.0,78.28,3.39,3.93,0.84,0.64,602.0,80.02,2.25,3.41,1.13,1.71,16.0,,,,,,La-15
he-162a-2,1.0,,,4.0,,,242.0,62.8,5.37,5.35,0.73,0.76,,,,,,,He_162_A-2
yak-15_early,53.0,85.09,1.01,1.41,,,131.0,95.7,4.3,5.4,1.04,1.39,25.0,,,,,,Yak-15P
me-163b-0,70.0,66.67,3.54,3.11,1.91,1.66,130.0,79.62,1.79,4.34,0.18,0.31,,,,,,,Me_163_B-0
f-84b,246.0,52.46,2.97,2.75,8.13,7.35,875.0,53.66,0.76,0.87,1.39,1.57,,,,,,,F-84B-26
f-80a,137.0,54.09,1.65,2.4,0.87,1.22,671.0,46.79,1.18,1.86,1.39,2.18,,,,,,,F-80A-5
kitsuka,1.0,,,,,,1148.0,70.86,2.37,4.21,0.83,1.47,,,,,,,Kikka
f9f-5,101.0,92.46,1.24,1.2,3.11,2.98,106.0,30.95,1.55,1.33,2.79,2.84,,,,,,,F9F-5
go229_v3,21.0,100.0,3.0,1.2,0.5,,866.0,53.44,0.46,0.51,1.41,1.53,,,,,,,Ho_229_V3
il_28,362.0,61.38,0.35,0.37,4.5,4.59,397.0,65.45,0.17,0.12,1.56,1.26,4.0,,,,,,IL-28
mig-9_ussr,62.0,86.21,2.59,2.58,0.4,0.53,323.0,65.33,1.93,2.84,1.16,1.7,2.0,,,2.0,,,MiG-9_/L
j8m1,54.0,88.0,2.4,2.9,4.24,4.32,206.0,79.34,4.97,7.66,2.25,3.3,,,,,,,Ki-200
meteor_fmk3,36.0,50.0,1.5,3.0,,,380.0,72.33,2.35,3.28,3.52,5.03,,,,,,,Meteor_F_Mk_3
meteor_fmk8,104.0,58.2,1.43,2.5,3.1,5.72,276.0,83.61,4.52,4.53,5.64,6.04,,,,,,,Meteor_F_Mk_8_G.41K
f2h-2,93.0,64.29,1.32,0.8,2.07,1.24,403.0,51.44,0.59,0.76,1.19,1.45,,,,,,,F2H-2
fiat_g91_r1,39.0,100.0,1.16,1.0,5.27,4.68,53.0,86.11,1.2,0.88,2.67,0.99,,,,,,,G.91_R/1
b-57,107.0,78.25,,,11.06,7.56,10.0,,,,,,,,,,,,B-57A
me-262a-1a_u4,49.0,100.0,7.0,3.61,0.33,0.15,1870.0,70.37,0.18,0.2,2.17,2.33,,,,,,,Me_262_A-1/U4
f-80,81.0,66.85,1.52,1.63,4.55,5.97,284.0,66.78,1.42,1.91,2.25,3.12,,,,,,,F-80C-10
mig-9,60.0,100.0,2.45,2.28,0.79,0.75,303.0,75.48,1.05,1.4,1.17,1.57,,,,,,,MiG-9
me-262c-1a,21.0,100.0,5.83,4.63,,,330.0,54.55,2.7,2.58,0.69,0.74,,,,,,,Me_262_C-1a
mig-15_ns23,251.0,62.64,0.84,1.15,1.28,1.76,1191.0,64.15,1.17,1.55,1.13,1.51,9.0,,,,,,MiG-15
meteor_fmk4_sw,48.0,50.0,1.3,1.49,0.42,0.43,,,,,,,,,,,,,Meteor_F_Mk_4_G.41G
meteor_fmk4_lw,60.0,16.36,1.46,1.41,0.09,0.32,135.0,100.0,2.33,4.25,2.85,4.87,,,,,,,Meteor_F_Mk_4_G.41F
f-84g_italy,84.0,69.62,1.0,1.27,10.3,13.25,561.0,68.25,1.16,1.36,4.01,4.69,,,,,,,F-84G-21-RE
fiat_g91_ps,44.0,100.0,1.0,1.1,6.2,4.95,148.0,48.92,0.68,0.83,1.29,1.58,,,,,,,G.91_pre-serie
yak-15,95.0,93.01,3.43,3.34,0.09,0.07,112.0,72.05,1.94,4.64,1.17,2.82,10.0,,,,,,Yak-15
venom_fb4,162.0,66.88,2.32,3.18,3.86,5.35,417.0,60.74,2.17,3.02,1.42,2.03,,,,,,,Venom_FB.4
he-162a-1,10.0,50.0,4.0,,,,,,,,,,,,,,,,He_162_A-1
arado-234c-3,38.0,,,0.43,,7.77,2262.0,63.41,0.12,0.13,3.0,3.65,8.0,,,,,,Ar_234_C-3
meteor_fmk3_navy,44.0,,,2.5,,,162.0,100.0,4.01,3.4,2.69,2.06,,,,,,,Sea_Meteor_F_Mk_3
mig-17,372.0,63.08,2.24,2.06,1.54,1.42,1346.0,79.41,2.17,4.89,0.85,1.92,22.0,,2.08,2.22,,,MiG-17
b-57b,275.0,69.46,0.01,0.01,4.73,5.05,218.0,23.71,0.03,0.02,5.2,3.57,15.0,,,,,0.35,B-57B
f9f-2,60.0,96.05,1.72,1.6,6.31,5.82,56.0,60.0,1.4,0.73,5.55,3.87,,,,,,,F9F-2
mig-15,309.0,46.6,2.16,2.58,1.04,1.2,1194.0,80.43,1.9,3.23,0.86,1.47,19.0,,,,,,MiG-15bis
canberra_bimk6,11.0,100.0,,,4.0,2.93,37.0,82.14,3.04,3.79,1.79,2.0,,,,,,,Canberra_B_(I)_Mk_6
so_4050_vautour_2b,60.0,58.13,,,6.89,7.89,119.0,51.67,,,1.51,1.76,13.0,,,,,,S.O.4050_Vautour_IIB
so_4050_vautour_2a,76.0,50.58,,,9.67,7.9,509.0,31.22,0.28,0.32,2.77,2.25,,,,,,,S.O.4050_Vautour_IIA
md_450b_ouragan,41.0,57.89,1.82,1.79,1.58,1.68,315.0,73.07,1.11,1.43,1.25,1.65,,,,,,,M.D.450B_Ouragan
la_174,,,,,,,61.0,84.45,3.33,5.44,2.27,3.69,,,,,,,La-174
md_452_mystere_2a,40.0,95.83,3.38,2.28,5.96,3.02,316.0,57.96,1.62,1.76,0.85,0.95,,,,,,,M.D.452_IIA
vampire_fb5,83.0,76.95,1.52,2.12,1.38,2.57,579.0,68.82,0.65,0.77,1.22,1.42,,,,,,,Vampire_FB_5
j7w1,16.0,56.25,2.59,4.69,,,192.0,71.39,2.81,2.77,1.12,1.12,,,,,,,J7W1
fw-190d-12,419.0,63.21,0.99,0.93,1.11,1.05,210.0,98.92,2.58,1.96,2.69,2.07,1.0,50.0,,,0.5,1.0,Fw_190_D-12
