name,ab_battles,ab_win_rate,ab_air_frags_per_battle,ab_air_frags_per_death,ab_ground_frags_per_battle,ab_ground_frags_per_death,rb_battles,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death,sb_battles,sb_win_rate,sb_air_frags_per_battle,sb_air_frags_per_death,sb_ground_frags_per_battle,sb_ground_frags_per_death,alt_name
rafale_c_f3,204.0,95.74,10.33,6.06,0.02,0.01,3146.0,75.24,1.8,2.81,0.41,0.66,109.0,100.0,16.78,2.9,4.11,1.28,Rafale_C_F3
ef_2000_fgr4,1.0,,,3.0,,,879.0,71.73,1.64,2.16,0.19,0.26,32.0,,,1.9,,,Typhoon_FGR.4
su_33,60.0,54.63,1.22,2.14,,,2532.0,52.71,1.3,1.5,0.01,0.01,32.0,,,0.68,,,Су-33
ef_2000_block_10,,,,,,,2312.0,53.44,1.15,1.47,0.17,0.22,118.0,100.0,10.0,2.89,,0.1,◄EF-2000
ef_2000a,,,,,,,262.0,49.92,1.35,1.46,0.17,0.21,12.0,,,1.5,,,F-2000A
f_14b,5.0,75.0,5.5,7.3,,,74.0,50.0,1.93,1.64,0.26,0.12,20.0,,,,,,F-14B
f_16a_block_15_ocu_thailand,5.0,,1.0,1.0,,,41.0,47.73,0.53,1.0,0.75,1.5,,,,,,,F-16A_OCU
saab_jas39c_thailand,8.0,37.5,3.63,3.63,,,186.0,63.16,1.51,1.79,0.27,0.31,,,,,,,JAS39C
mirage_2000_5f,133.0,95.43,7.74,9.48,0.04,0.04,401.0,69.13,2.03,2.29,,,,,,,,,Mirage_2000-5F
j_8f,,,,,,,131.0,36.73,1.37,1.5,,,39.0,,,1.16,,,J-8F
tornado_adv,,,,,,,27.0,,1.0,1.04,,,,,,,,,Tornado_ADV
kfir_c10_colombia,140.0,56.29,6.56,6.94,0.83,0.76,573.0,58.47,1.09,1.14,0.26,0.25,7.0,,,2.0,,,◡Kfir_C.10
su_30sm,321.0,76.67,6.9,7.51,0.27,0.33,3508.0,53.85,1.48,1.5,0.65,0.64,267.0,76.19,3.63,0.99,1.63,0.68,Су-30СМ
mig_29smt_9_19,72.0,67.81,4.19,2.71,0.03,0.02,346.0,60.37,1.79,2.13,0.18,0.22,8.0,,,0.75,,,MiG-29SMT
fa_18c_early,122.0,64.0,2.47,1.82,4.77,2.83,1667.0,49.53,0.78,0.92,0.25,0.29,216.0,100.0,11.88,1.5,4.88,0.35,F/A-18C_Early
fa_18c_late,182.0,78.94,3.25,2.94,0.57,0.51,841.0,49.88,1.46,1.57,0.28,0.3,96.0,,,1.76,,0.13,F/A-18C_Late
f_16c_block_50,126.0,63.5,2.11,2.54,0.45,0.55,914.0,56.04,1.13,1.3,0.35,0.41,103.0,,,4.19,,0.36,F-16C
fa_18a,126.0,59.79,1.54,1.89,1.08,1.35,648.0,52.94,1.69,1.32,0.1,0.09,28.0,,,0.5,,,F/A-18A
f_16a_block_10_netz_mod,3.0,100.0,4.0,4.0,1.0,1.0,291.0,61.7,0.75,1.18,0.5,0.5,,,,,,,Netz_(Mod)
fa_18c_finland,4.0,50.0,1.0,2.0,,,188.0,67.39,0.94,1.0,0.19,0.21,11.0,,,1.0,,,F-18C
j_11b,,,,,,,587.0,55.03,1.56,1.89,0.35,0.42,16.0,,,1.0,,,J-11B
av_8b_plus_italy,12.0,50.0,11.5,11.5,1.5,1.5,,,,,,,20.0,,,2.0,,,AV-8B_Plus
tornado_ids_it_ret8,,,,,,,,,,,,,,,,,,,Tornado_IDS_MLU_(RET.8)
f_16d_block_40_barak_2,,,,,,,244.0,71.99,3.02,2.93,0.84,0.71,,,,,,,Barak_II
