name,ab_battles,ab_win_rate,ab_air_frags_per_battle,ab_air_frags_per_death,ab_ground_frags_per_battle,ab_ground_frags_per_death,rb_battles,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death,sb_battles,sb_win_rate,sb_air_frags_per_battle,sb_air_frags_per_death,sb_ground_frags_per_battle,sb_ground_frags_per_death,alt_name
mirage_f1ct,41.0,100.0,1.95,1.95,,,100.0,100.0,2.57,2.57,1.74,1.74,,,,,,,Mirage_F1CT
etndard_4m,23.0,100.0,,,6.35,6.35,402.0,65.01,1.44,2.83,0.77,1.47,,,,,,,Etendard_IVM
f-100d,110.0,76.77,1.46,1.95,1.87,2.29,380.0,61.41,1.61,2.25,0.84,1.16,,,,,,,F-100D
mig-19pt,123.0,47.31,1.6,1.56,0.45,0.49,395.0,48.38,2.09,2.15,0.27,0.26,33.0,,,1.0,,,MiG-19PT
javelin_fmk9,4.0,,,,,1.0,188.0,78.42,3.41,5.56,1.08,1.74,,,,,,,Javelin_F.(A.W.)_Mk.9
md_454_mystere_4a,,,,,,,44.0,100.0,1.73,2.83,1.4,2.48,,,,,,,M.D.454_IVA
f-86k_late,23.0,100.0,1.0,1.0,,,16.0,100.0,3.0,3.0,2.0,2.0,,,,,,,F-86K
hunter_f6,8.0,,,1.0,,,165.0,55.2,2.19,1.8,1.03,0.87,17.0,,,1.75,,,Hunter_F.6
md_450b_barougan,,,,,,,96.0,100.0,0.37,0.63,2.08,4.13,,,,,,,M.D.450B_Barougan
me-262c-2b,67.0,54.38,2.13,2.48,1.29,1.59,116.0,100.0,4.17,9.82,0.3,0.73,,,,,,,Me_262_C-2b
mig-15bis_ish,,,,,,,298.0,67.44,0.54,0.68,1.03,1.33,,,,,,,MiG-15bis_ISH
f-86f-35,,,,,,,153.0,50.82,0.8,1.19,0.96,1.41,,,,,,,F-86F-35
meteor_fmk8_reaper,,,,,,,208.0,81.52,0.39,0.45,2.55,3.0,,,,,,,Meteor_F_Mk.8_Reaper
canberra_bmk2,2.0,100.0,,,6.0,6.0,57.0,36.96,,,,,,,,,,,Canberra_B_Mk_2
yak-17,6.0,66.67,2.7,4.0,0.7,1.0,16.0,50.0,1.5,,0.5,,,,,,,,Yak-17
f-86f-30_japan,6.0,50.0,0.5,1.0,0.5,1.0,531.0,61.35,1.04,1.36,1.45,1.86,,,,,,,F-86F-30_
yak-30d,46.0,81.25,2.21,2.66,0.6,0.91,,,,,,,,,,,,,Yak-30
hunter_f1,,,,,,,50.0,93.12,4.19,6.72,0.63,0.94,,,,,,,Hunter_F_1
me-163b,153.0,71.92,6.48,4.59,2.81,2.65,467.0,76.38,3.7,10.46,0.21,0.61,1.0,,,,,,Me_163_B
vampire_fb52_finland,15.0,,,,,,54.0,100.0,1.18,1.55,0.79,0.83,,,,,,,Vampire_FB_52A
f-86f-40_japan,2.0,50.0,0.5,1.0,1.75,3.5,375.0,60.77,1.13,1.4,0.98,1.26,,,,,,,F-86F-40_
yak-23,,,,,,,,,,,,,,,,,,,Yak-23
f9f-8,42.0,95.83,2.28,2.08,4.14,4.17,126.0,59.57,2.44,5.0,1.95,4.07,,,,,,,F9F-8
f-86a-5,52.0,18.18,2.09,1.19,2.82,1.76,138.0,35.88,3.72,4.93,2.45,3.33,,,,,,,F-86A-5
f3d_1,4.0,100.0,2.0,2.0,10.0,10.0,406.0,58.95,0.42,0.4,1.52,1.51,19.0,,,,,,F3D-1
r2y2_kai,2.0,,,1.0,,1.0,54.0,90.69,0.12,0.08,0.64,0.77,2.0,,,1.0,,,R2Y2_Kai_V3
r2y2_v1,2.0,,0.5,0.5,1.5,1.5,78.0,52.0,1.13,1.8,0.56,0.87,,,,,,,R2Y2_Kai_V1
r2y2_v2,2.0,50.0,0.5,1.0,1.0,2.0,64.0,58.73,0.99,1.55,1.19,1.93,,,,,,,R2Y2_Kai_V2
me-262a-1a,20.0,,,1.45,,,144.0,80.87,4.8,4.71,0.92,0.77,,,,,,,Me_262_A-1a
f-86f-2,75.0,29.7,2.32,1.7,1.26,0.88,198.0,66.28,1.54,2.63,0.97,1.58,,,,,,,F-86F-2
f-86_canadair_german,44.0,15.63,3.38,1.81,0.75,0.39,129.0,77.25,1.97,2.86,0.77,1.11,,,,,,,CL-13A_Mk_5
f-84g,7.0,,,,,4.25,149.0,56.64,1.38,2.76,1.7,3.47,,,,,,,F-84G-21-RE
la_200_toriy,9.0,,,,,,331.0,66.68,1.65,1.64,1.1,1.35,,,,,,,La-200
md_452_mystere_2c_preproduction,,,,,,,67.0,93.16,0.72,0.67,0.93,0.85,,,,,,,M.D.452_IIC
sea_hawk_fga6,7.0,,,,,,162.0,69.71,1.09,1.26,1.41,1.53,,,,,,,sea_hawk_fga6_shop
sea_venom_faw20,13.0,100.0,4.38,,6.38,,30.0,,,,,,,,,,,,Sea_Venom_FAW_20
arado-234,25.0,100.0,,,9.1,9.1,1265.0,66.18,,,3.44,4.64,,,,,,,Ar_234_B-2
