name,ab_battles,ab_win_rate,ab_air_frags_per_battle,ab_air_frags_per_death,ab_ground_frags_per_battle,ab_ground_frags_per_death,rb_battles,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death,sb_battles,sb_win_rate,sb_air_frags_per_battle,sb_air_frags_per_death,sb_ground_frags_per_battle,sb_ground_frags_per_death,alt_name
saab_jas39c_hungary,63.0,100.0,6.18,5.61,0.53,0.53,1029.0,76.84,1.01,1.22,1.78,2.13,3.0,,,1.0,,,◔JAS39EBS_HU_C
mig_29_9_12b_hungary,23.0,100.0,1.0,1.0,0.11,0.11,38.0,88.46,1.77,1.77,1.65,1.65,20.0,,,2.65,,,◔MiG-29
su_27sm,717.0,87.85,5.28,5.7,0.42,0.45,7775.0,62.87,1.71,2.23,0.2,0.25,434.0,55.0,17.06,2.54,1.07,0.17,Su-27SM
f_15c_msip2,2265.0,85.85,4.46,4.56,0.32,0.35,4861.0,59.93,1.91,2.29,0.03,0.04,63.0,100.0,8.11,6.59,,0.55,F-15C_MSIP_II
f_15j_kai,41.0,90.56,7.8,6.49,1.72,0.73,959.0,61.73,2.3,3.42,,0.03,72.0,,,4.37,,,F-15J(M)
saab_jas39c,15.0,100.0,4.92,5.45,,,1454.0,63.48,1.3,1.73,0.5,0.66,92.0,,,2.45,,,JAS39C
mig-21_bison,6.0,,,,,,1052.0,63.29,1.47,2.0,0.15,0.21,,,,,,,MiG-21_Bison
f-4f_kws_lv,19.0,100.0,1.0,1.95,,,975.0,61.51,1.23,1.38,0.41,0.45,41.0,,,0.96,,,◄F-4F_KWS_LV
j_11a,9.0,100.0,2.4,4.0,1.0,1.8,125.0,85.09,2.44,2.15,,,9.0,,,2.0,,,J-11A
f_15c_baz_msip,18.0,65.63,2.36,3.56,0.11,0.19,332.0,71.65,2.53,3.98,,,,,,,,,Baz_Meshupar
av_8b_plus,735.0,74.29,1.95,2.45,0.7,0.88,908.0,53.94,1.34,1.5,1.09,1.24,55.0,50.0,1.69,3.3,1.67,2.53,AV-8B_Plus
f_16a_block_15_belgium,50.0,100.0,2.38,3.79,5.35,8.25,118.0,80.25,1.56,1.55,1.37,1.28,22.0,,,1.86,,,F-16A
f_16am_block_15_mlu_belgium,97.0,87.5,4.79,6.39,1.18,1.96,621.0,66.85,1.1,1.64,1.22,1.87,10.0,,,1.0,,,F-16AM
f_16a_block_15_adf_italy,4.0,,,,,,73.0,70.0,1.03,1.07,,,,,,,,,F-16A_ADF
tornado_f3_late,90.0,58.06,2.28,1.61,0.04,0.03,44.0,85.48,0.99,1.15,0.39,0.39,,,,,,,Tornado_F.3_Late
mig_29_9_13,123.0,56.11,1.6,2.03,0.14,0.17,1803.0,58.56,1.39,1.75,0.03,0.05,117.0,50.0,3.0,0.99,,,MiG-29
sea_harrier_fa2,86.0,52.47,2.6,2.6,0.46,0.52,180.0,58.46,1.08,1.15,,,,,,,,,Sea_Harrier_FA_2
f_16a_block_15_adf,281.0,54.19,0.92,0.91,0.25,0.25,170.0,68.92,3.76,1.95,0.12,0.06,6.0,,,0.7,,,F-16A_ADF
f_16a_block_10,304.0,69.45,0.76,0.95,1.82,2.33,625.0,48.43,0.74,0.83,0.79,0.86,37.0,62.5,3.25,5.83,0.25,0.17,F-16A
f-4ej_kai,14.0,100.0,8.0,8.0,,,381.0,49.24,1.74,2.28,0.29,0.37,10.0,,,1.0,,,F-4EJ_Kai_Phantom_II
tornado_ids_de_mfg,60.0,100.0,4.08,1.39,16.33,5.39,221.0,61.01,0.24,0.18,1.63,1.06,,,,,,,◄Tornado_IDS_MFG
f_16a_block_20_mlu,15.0,,,1.18,,,189.0,50.98,1.27,1.5,0.24,0.3,,,,,,,F-16A_MLU_(China)
f_14a_iriaf,602.0,69.93,5.45,5.21,0.52,0.49,4121.0,56.08,1.85,2.2,0.07,0.08,135.0,,,1.81,,,F-14A_IRIAF
saab_ja37d,4.0,100.0,2.0,2.0,1.0,1.0,429.0,66.82,1.47,2.02,0.17,0.22,41.0,,,3.38,,,JA37D
jf_17,100.0,50.0,3.17,2.64,0.75,0.56,324.0,66.74,1.35,1.87,0.35,0.5,103.0,,15.89,2.5,,,JF-17
j_10a,5.0,100.0,11.0,11.0,1.0,1.0,2138.0,69.27,2.49,3.88,0.08,0.13,130.0,100.0,14.65,3.76,0.7,0.15,J-10A
f_16c_block_40_barak_2,10.0,75.0,2.75,4.5,0.53,1.0,402.0,69.37,1.89,3.01,0.29,0.47,64.0,100.0,14.47,5.97,,,F-16C_Barak_II
tornado_ids_de_assta1,13.0,,,,,,280.0,73.52,0.32,0.36,1.84,2.18,34.0,34.52,,,,,◄Tornado_IDS_ASSTA1
mirage_2000d_r1,24.0,100.0,1.57,1.0,8.43,9.0,576.0,78.52,0.6,0.84,1.74,2.42,,,,,,,Mirage_2000D-R1
f_16a_block_10_iaf,34.0,50.0,1.5,1.71,0.5,0.36,206.0,64.97,2.68,2.49,0.63,0.72,14.0,,,,,,Netz
tornado_ids_it_mod95,42.0,90.74,0.24,0.83,5.49,5.15,25.0,37.5,0.5,0.26,1.91,1.44,,,,,,,Tornado_IDS_(1995)
tornado_gr1,20.0,100.0,1.0,1.0,17.8,17.8,164.0,60.02,0.52,0.76,2.1,2.88,15.0,,,,,1.0,Tornado_GR.1
f_16aj,,,,,,,963.0,57.55,1.14,1.34,0.32,0.38,70.0,,9.0,2.15,,,F-16AJ
mig_29_9_12_germany,22.0,,,2.2,,,424.0,56.85,1.77,1.46,0.33,0.25,23.0,,,3.0,,,◊MiG-29
f-4e_kurnass_2000,61.0,87.5,4.61,4.57,1.3,1.09,447.0,79.31,0.92,1.17,3.7,4.68,,,,,,,Kurnass_2000
yak_141,71.0,68.26,1.11,0.87,0.19,0.3,614.0,60.04,2.02,1.9,0.01,0.01,19.0,,,2.54,,,Yak-141
tornado_f3,53.0,50.0,7.88,2.12,,,425.0,73.78,2.87,3.78,0.05,0.09,,,,,,,Tornado_F.3
f_14b,58.0,100.0,0.71,0.41,,,612.0,59.76,1.22,1.56,0.27,0.35,79.0,,,5.27,,0.37,F-14B
mirage_2000_5f,308.0,88.94,7.94,9.36,1.03,1.25,3165.0,68.94,1.94,2.43,0.46,0.59,135.0,100.0,11.21,2.59,1.0,0.17,Mirage_2000-5F
j_8f,26.0,100.0,5.0,4.6,1.0,1.27,181.0,76.7,3.01,2.09,,,3.0,,,,,,J-8F
tornado_adv,36.0,50.0,3.5,1.13,0.5,0.05,57.0,45.51,1.99,3.6,0.01,0.02,,,,,,,Tornado_ADV
mig_29smt_9_19,545.0,86.3,3.76,4.21,0.39,0.43,2225.0,58.26,1.31,1.37,0.09,0.1,133.0,89.47,5.13,1.99,3.32,1.07,MiG-29SMT
f_16c_block_50,1864.0,82.14,3.21,3.69,0.37,0.41,6891.0,53.27,1.33,1.46,0.65,0.71,400.0,85.19,9.73,1.69,2.18,0.42,F-16C
av_8b_plus_italy,53.0,100.0,4.5,4.26,1.65,1.56,531.0,65.25,0.85,1.02,1.65,2.04,3.0,,,,,,AV-8B_Plus
f_16d_block_40_barak_2,11.0,62.5,1.76,2.86,0.11,0.21,690.0,62.29,1.69,2.02,0.39,0.46,1.0,,,,,,Barak_II
f_14a_early,92.0,97.7,5.5,3.03,1.03,0.49,473.0,57.99,1.42,1.87,0.07,0.07,19.0,100.0,2.0,,,,F-14A_Early
mig_29_9_12g,64.0,100.0,6.81,4.73,,,1110.0,60.3,1.36,1.49,0.01,0.01,64.0,,5.11,1.55,,,◄MiG-29G
jh_7a,10.0,100.0,2.25,2.25,6.0,6.0,310.0,66.59,0.68,0.63,2.33,2.27,12.0,,,,,,JH-7A
f_15a,1076.0,73.39,2.04,2.17,0.3,0.33,899.0,45.41,1.33,1.41,0.15,0.16,82.0,,,2.41,,,F-15A
mirage_2000c_s4,210.0,70.57,4.99,5.76,0.45,0.51,1147.0,68.84,1.78,2.56,0.13,0.16,164.0,,24.75,4.67,,,Mirage_2000C-S4
su_27,304.0,81.02,2.54,3.49,0.32,0.44,3435.0,59.97,1.92,2.21,0.01,0.01,92.0,,,0.77,,,Su-27
saab_jas39a,38.0,93.75,4.69,5.93,0.25,0.57,858.0,63.19,1.33,1.71,0.37,0.48,35.0,,,3.43,,,JAS39A
mirage_4000,55.0,86.67,2.3,2.5,0.3,0.3,367.0,70.69,2.54,2.59,0.37,0.42,13.0,,,6.5,,,Mirage_4000
f_15j,8.0,,,3.13,,,268.0,57.43,1.25,1.68,,,93.0,,,3.8,,,F-15J
saab_jas39c_south_africa,94.0,71.39,4.04,2.93,0.29,0.21,1082.0,61.03,1.97,2.69,0.31,0.42,109.0,100.0,9.0,0.9,,,JAS39C
f_15a_iaf,7.0,71.43,1.14,1.43,1.14,1.43,46.0,50.0,1.13,2.38,,,,,,,,,Baz
j_11,4.0,100.0,1.0,1.0,,,573.0,57.66,2.27,3.15,0.05,0.1,,,,,,,J-11
harrier_gr7,51.0,21.05,3.16,2.24,2.0,1.35,322.0,65.57,1.61,1.61,2.73,2.81,,,,,,,Harrier_GR.7
mirage_2000c_s5,149.0,75.64,4.33,5.31,0.77,0.87,864.0,83.94,3.21,6.87,0.24,0.51,51.0,,,6.37,,,Mirage_2000C-S5
f_20a,79.0,43.45,2.03,2.28,0.32,0.45,469.0,46.59,1.01,1.2,0.53,0.62,189.0,100.0,4.5,1.48,0.07,0.05,F-20A
su_25sm3,17.0,,,,1.0,1.0,1957.0,77.66,0.29,0.41,3.53,5.05,162.0,11.9,0.61,0.14,9.99,8.27,Su-25SM3
mig_23mf_hungary,9.0,100.0,1.0,1.0,,0.33,90.0,50.8,1.04,1.86,,,,,,,,,◔MiG-23MF
mig-21_mf_hungary,6.0,66.67,1.3,1.3,,,188.0,57.19,2.08,2.9,,,,,,,,,◔MiG-21MF
su_22m3_hungary,,,,,,,22.0,71.43,0.26,0.3,1.4,1.7,,,,,,,◔Su-22M3
f-4f,,,,,,,100.0,53.33,0.93,0.39,1.3,0.54,,,,,,,◄F-4F_Early
mig-21_bis_sau_hungary,2.0,100.0,1.0,1.0,,,85.0,45.1,2.07,2.22,0.29,0.29,,,,,,,◔MiG-21bis-SAU
mig-21_mf,8.0,,1.0,0.5,,,344.0,68.58,2.38,2.36,0.28,0.24,,,,,,,◊MiG-21MF
mig_23m,21.0,66.67,0.5,0.65,,,312.0,46.6,1.39,1.32,0.06,0.06,,,,,,,MiG-23M
mig_21_bis_finland,11.0,,,,,,498.0,59.12,1.71,2.42,0.31,0.43,12.0,,,2.6,,,MiG-21bis
f-5c,29.0,51.52,3.94,6.33,0.36,0.93,2308.0,60.14,1.65,1.93,0.45,0.54,21.0,,,,,,F-5C
j_7e,20.0,40.0,1.6,2.0,,,873.0,73.08,2.72,4.92,0.16,0.29,3.0,100.0,4.0,4.0,,,J-7E
mig-21_smt,18.0,,,,,,821.0,56.37,1.41,1.61,0.13,0.14,,,,,,,MiG-21SMT
f-5e,239.0,67.9,0.86,0.98,2.78,3.11,1374.0,65.95,1.42,2.05,0.95,1.4,129.0,85.63,2.66,2.25,3.67,2.26,F-5E
f-4e,309.0,67.74,1.69,1.65,0.77,0.67,2342.0,61.11,1.11,1.4,0.81,1.02,28.0,,,2.18,,0.89,F-4E_Phantom_II
f-4f_late,,,,,,,998.0,58.8,0.58,0.65,1.01,1.09,21.0,,,1.29,,0.57,◄F-4F
q_5l,4.0,,,,,,194.0,73.98,0.08,0.17,3.48,6.56,,,,,,,Q-5L
amx_a_1a_brazil,4.0,100.0,,,4.0,4.0,360.0,57.76,0.95,1.0,2.58,2.68,8.0,,,1.0,,,AMX_A-1A
saab_ja37,7.0,100.0,2.0,,,1.0,1184.0,64.74,2.06,2.46,0.14,0.17,56.0,,,4.35,,,JA37C
mirage_5ba,20.0,75.0,1.3,1.7,0.3,0.3,110.0,52.33,2.32,3.81,,,,,,,,,Mirage_5BA
f-104g_belgium,,,,,,,28.0,,1.17,1.17,1.25,1.25,,,,,,,F-104G
mig_27m,40.0,,1.15,0.58,1.54,0.77,422.0,61.29,0.58,0.52,2.25,1.95,,,,,,,MiG-27M
a_6e_tram,25.0,77.78,1.78,1.44,,0.88,827.0,64.43,0.18,0.26,2.19,3.0,25.0,34.62,,,1.0,1.67,A-6E_TRAM
f-4ej,,,,,,,157.0,67.23,1.41,1.93,0.37,0.56,,,,,,,F-4EJ_Phantom_II
f-8e,52.0,70.0,4.27,4.36,0.34,0.44,235.0,54.73,1.56,2.04,0.39,0.46,27.0,,,1.0,,,F-8E
saab_j35xs,9.0,,,1.78,,,3416.0,57.31,1.09,1.19,0.29,0.32,3.0,,,,,,Saab_J35XS
f-104s_cb,3.0,,,,,,1551.0,48.34,1.51,1.87,0.77,0.95,1.0,,,,,,F-104S_TAF
av_8b_na,75.0,60.74,2.29,2.66,1.71,1.07,1186.0,52.25,0.61,0.73,2.19,2.65,211.0,,,1.55,,3.53,AV-8B_(NA)
mig_23ml,195.0,68.07,6.86,3.91,0.25,0.08,7486.0,54.66,1.29,1.53,0.07,0.08,140.0,100.0,7.4,1.95,,,MiG-23ML
a_10c,257.0,86.69,1.67,2.5,5.64,10.41,301.0,61.32,2.09,1.79,9.15,8.41,63.0,,,0.9,,5.08,A-10C
j_7d,82.0,87.5,8.09,8.03,,,2396.0,58.56,1.55,2.1,0.16,0.22,40.0,,,1.0,,,J-7D
f-8e_fn,4.0,50.0,1.0,2.0,,,44.0,80.0,3.38,4.1,,,,,,,,,F-8E(FN)
kfir_canard,,,,,,,1619.0,52.3,1.25,1.37,0.62,0.68,4.0,,,,,,Kfir_Canard
su_24m,134.0,81.72,0.1,0.17,3.32,9.08,1814.0,63.1,0.15,0.17,2.19,2.55,111.0,,,0.5,,5.42,Су-24М
mig-21_bis_lazur,30.0,100.0,4.07,3.46,1.0,0.82,1075.0,58.93,1.23,1.16,0.18,0.17,41.0,100.0,1.0,1.76,,,"◊MiG-21_""Lazur-M"""
saab_j35d,66.0,50.0,1.67,1.84,,0.19,289.0,55.77,1.39,1.82,0.08,0.11,,,,,,,J35D
mirage_f1c_200,61.0,100.0,2.7,1.47,0.6,0.27,2974.0,63.01,1.35,1.89,0.33,0.45,205.0,,,3.15,,0.36,Mirage_F1C-200
f_111c_raaf,,,,,,,85.0,28.85,0.63,0.27,2.31,1.19,,,,,,,F-111C
f-5a,,,,,,,,,,,,,,,,,,,F-5A
f_111f,119.0,84.79,0.2,0.29,5.0,6.69,949.0,49.43,0.56,0.55,2.08,2.11,4.0,,,,,6.0,F-111F
f-4jk,8.0,100.0,3.0,3.0,1.0,1.0,1386.0,59.48,1.05,1.16,0.25,0.26,38.0,,,1.5,,,F-4J(UK)_Phantom_II
tornado_ids_it,2.0,100.0,,,3.0,3.0,82.0,55.0,0.47,0.22,4.29,3.89,,,,,,,Tornado_IDS
mig_23mld,95.0,59.23,2.59,2.88,0.09,0.06,1549.0,58.28,1.5,1.85,0.13,0.14,13.0,,,1.69,,,MiG-23MLD
f-4ej_adtw,48.0,,1.09,0.52,6.09,2.94,1962.0,60.19,0.83,0.89,0.56,0.6,52.0,,1.0,1.02,,,F-4EJ_ADTW
mig-21_bis_sau,29.0,100.0,4.63,2.7,1.0,0.3,301.0,55.41,2.21,2.04,0.03,0.02,22.0,,,1.0,,,◊MiG-21bis-SAU
harrier_frs1,46.0,93.75,2.19,4.43,1.69,3.0,214.0,48.38,0.51,0.53,0.3,0.37,,,,,,,Sea_Harrier_FRS.1
jaguar_gr1a,13.0,,1.0,1.0,0.62,0.62,142.0,75.92,0.22,0.35,4.05,5.65,,,,,,,Jaguar_GR.1A
saab_aj37,43.0,100.0,1.5,0.53,,,494.0,57.23,0.22,0.26,0.92,1.07,3.0,50.0,,,0.5,1.0,AJ37
f-4s,217.0,83.69,2.47,2.48,0.45,0.46,9037.0,50.43,1.06,1.17,0.12,0.12,180.0,100.0,5.0,0.41,,,F-4S_Phantom_II
