name,ab_battles,ab_win_rate,ab_air_frags_per_battle,ab_air_frags_per_death,ab_ground_frags_per_battle,ab_ground_frags_per_death,rb_battles,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death,sb_battles,sb_win_rate,sb_air_frags_per_battle,sb_air_frags_per_death,sb_ground_frags_per_battle,sb_ground_frags_per_death,alt_name
etndard_4m,161.0,65.23,0.79,1.02,1.39,1.7,1196.0,54.78,1.25,1.52,0.53,0.64,16.0,,,3.69,,3.0,Etendard_IVM
f-100d,1181.0,58.31,1.39,1.36,1.35,1.34,9316.0,63.43,1.34,1.81,0.4,0.55,345.0,96.67,7.56,9.94,0.11,0.13,F-100D
mig-19pt,376.0,49.71,2.23,2.43,0.1,0.1,1271.0,55.83,0.8,0.94,0.1,0.11,27.0,,,3.14,,,MiG-19PT
javelin_fmk9,506.0,48.38,1.5,1.27,0.01,0.01,407.0,47.02,1.46,1.58,0.1,0.12,49.0,,,7.03,,,Javelin_F.(A.W.)_Mk.9
f-86k_late,196.0,72.24,2.24,2.54,0.61,0.65,103.0,,4.03,2.01,1.33,0.55,8.0,,,,,,F-86K
hunter_f6,396.0,54.57,2.5,2.51,0.08,0.08,1966.0,55.29,1.62,1.96,0.48,0.58,77.0,100.0,14.43,10.86,1.57,1.22,Hunter_F.6
md_450b_barougan,141.0,71.73,1.07,0.5,2.48,1.65,1406.0,56.96,0.45,0.54,0.87,1.05,104.0,,,0.8,,0.92,M.D.450B_Barougan
me-262c-2b,75.0,88.98,4.45,4.51,0.35,0.35,624.0,54.56,2.07,2.59,0.01,0.01,26.0,,,2.42,,1.0,Me_262_C-2b
mig-15bis_ish,60.0,61.9,2.12,2.08,3.05,3.76,934.0,50.26,1.26,1.37,0.52,0.58,7.0,,,0.57,,,MiG-15bis_ISH
f-86f-35,297.0,69.64,1.46,0.93,2.15,1.29,4225.0,57.08,0.76,0.92,0.69,0.81,14.0,,,,,,F-86F-35
meteor_fmk8_reaper,140.0,54.55,1.83,1.17,6.1,4.32,948.0,51.44,0.82,0.83,1.57,1.61,515.0,100.0,6.07,1.16,1.91,0.36,Meteor_F_Mk.8_Reaper
canberra_bmk2,209.0,39.68,,,7.86,6.08,327.0,39.47,,,0.82,0.83,219.0,100.0,1.71,0.34,1.41,0.23,Canberra_B_Mk_2
yak-17,172.0,81.52,2.32,1.9,0.43,0.35,88.0,17.47,1.2,1.39,0.66,0.79,,,,,,,Yak-17
f-86f-30_japan,93.0,64.82,2.39,2.97,3.59,4.29,1325.0,64.55,1.05,1.29,0.87,1.07,,,,,,,F-86F-30_
yak-30d,584.0,65.15,2.02,2.61,0.38,0.48,392.0,47.93,1.39,1.85,0.36,0.5,87.0,,7.6,4.16,,,Yak-30
hunter_f1,236.0,54.95,3.29,2.19,0.27,0.18,477.0,56.22,2.2,2.34,0.85,0.93,,,,,,,Hunter_F_1
me-163b,156.0,62.1,4.05,4.01,0.56,0.49,663.0,62.72,1.85,2.82,0.19,0.27,92.0,,5.35,1.91,,,Me_163_B
f-86f-40_japan,260.0,71.54,2.34,1.51,2.9,1.88,1695.0,54.82,0.9,1.13,0.76,0.95,,,,,,,F-86F-40_
yak-23,496.0,67.55,1.64,2.14,0.5,0.65,676.0,61.35,1.93,3.38,0.17,0.3,5.0,,,,,,Yak-23
f9f-8,789.0,59.23,1.88,1.75,1.39,1.32,2041.0,65.8,2.09,2.64,0.81,1.02,243.0,100.0,22.11,6.2,0.72,0.24,F9F-8
f-86a-5,669.0,53.53,1.3,1.12,1.2,1.07,3133.0,56.13,0.81,0.85,0.6,0.65,77.0,100.0,4.17,4.47,1.45,2.47,F-86A-5
f3d_1,512.0,77.03,1.44,1.13,2.97,2.32,2003.0,67.83,0.65,0.74,1.17,1.31,145.0,100.0,3.0,1.77,2.0,0.39,F3D-1
r2y2_kai,85.0,100.0,5.26,3.63,10.07,7.15,480.0,77.5,2.38,2.93,1.61,1.94,111.0,,,6.16,,0.45,R2Y2_Kai_V3
r2y2_v1,61.0,100.0,2.21,2.56,5.49,6.0,562.0,61.36,2.0,2.28,1.15,1.3,134.0,100.0,7.88,2.06,2.0,0.21,R2Y2_Kai_V1
r2y2_v2,17.0,50.0,1.54,3.06,3.11,6.06,265.0,72.8,2.39,2.97,1.52,1.9,80.0,,,3.57,,1.08,R2Y2_Kai_V2
