name,ab_battles,ab_win_rate,ab_air_frags_per_battle,ab_air_frags_per_death,ab_ground_frags_per_battle,ab_ground_frags_per_death,rb_battles,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death,sb_battles,sb_win_rate,sb_air_frags_per_battle,sb_air_frags_per_death,sb_ground_frags_per_battle,sb_ground_frags_per_death,alt_name
us_t58,785.0,65.81,0.03,0.03,4.46,4.24,2088.0,61.74,0.0,0.0,3.23,2.47,3.0,,,0.0,,1.0,T58
ussr_t_34_85_zis_53_v80,665.0,86.01,0.07,0.08,4.08,5.68,243.0,53.98,0.0,0.0,5.04,2.72,0.0,,,,,,"Т-34-85_""Партизан"""
it_sherman_75_37,581.0,73.65,0.12,0.15,6.35,7.36,96.0,61.83,0.0,0.0,4.32,3.85,0.0,,,,,,Sherman_I_Composito
s_199,559.0,65.05,6.36,1.72,2.15,0.54,28.0,,,0.11,,0.92,0.0,,,,,,Sakeen
ussr_t_80bvm,551.0,55.28,0.0,0.01,1.72,1.91,6495.0,45.2,0.0,0.0,1.87,1.63,0.0,,,,,,T-80BVM
germ_pzkpfw_III_ausf_F,531.0,79.6,0.1,0.12,6.48,8.95,67.0,91.4,0.0,0.0,10.62,9.24,0.0,,,,,,Pz.III_F
ussr_t_72a,518.0,54.42,0.11,0.1,2.5,2.1,2764.0,52.3,0.0,0.0,2.06,2.01,0.0,,,,,,T-72A
germ_panzerbefelhswagen_VI_P,498.0,90.05,0.03,0.06,8.51,14.44,118.0,40.32,0.0,0.0,3.71,3.75,0.0,,,,,,Pz.Bfw.VI_(P)
us_lvt_a_1,463.0,97.31,0.14,0.29,6.44,11.93,17.0,,,,,,0.0,,,,,,LVT(A)(1)
germ_pzkpfw_VI_ausf_h1_tiger_west,449.0,75.08,0.07,0.07,3.83,6.12,243.0,49.62,0.0,0.0,3.86,3.05,5.0,,,,,,Tiger_West
su_30mkk,430.0,66.31,6.09,4.67,0.27,0.22,1069.0,58.93,1.16,1.29,0.42,0.47,38.0,,,1.81,,0.0,Su-30MKK_(China)
su_30mk2v_venezuela,429.0,59.13,3.96,3.29,0.48,0.4,5916.0,47.86,0.96,1.05,0.35,0.38,187.0,100.0,6.58,1.5,1.42,0.26,Су-30МК2_AMV
ussr_t_44_100,429.0,52.9,0.08,0.08,2.7,2.51,1200.0,50.61,0.0,0.0,2.39,1.79,110.0,50.0,0.0,0.0,4.27,3.23,T-44-100
ussr_t_34_1941_57,424.0,55.45,0.0,0.0,2.06,2.21,481.0,39.48,0.0,0.0,2.48,1.57,0.0,,,,,,T-34-57
ussr_t_34_85_zis_53,413.0,68.67,0.0,0.0,2.5,3.65,601.0,49.82,0.0,0.0,2.05,1.74,15.0,,,0.0,,0.0,T-34-85
ussr_t_80ue1_sm,410.0,57.48,0.0,0.0,1.85,1.75,2878.0,39.49,0.0,0.0,1.35,1.09,8.0,,,0.0,,1.0,◍Т-80У-Е1
ussr_kv_1_zis_5,390.0,65.62,0.0,0.0,3.74,4.76,233.0,44.33,0.0,0.0,4.02,3.61,0.0,,,,,,KV-1_(ZiS-5)
germ_pzkpfw_VI_ausf_h1_tiger,388.0,55.41,0.02,0.02,2.69,3.37,896.0,48.45,0.0,0.0,2.45,2.12,0.0,,,,,,Tiger_H1
germ_pzkpfw_VI_ausf_b_tiger_IIh,383.0,54.4,0.01,0.01,2.12,2.49,1976.0,53.21,0.01,0.01,3.45,2.87,0.0,,,,,,Tiger_II_(H)
germ_pzkpfw_VI_ausf_h1_tiger_east,372.0,76.22,0.09,0.1,4.11,5.55,183.0,43.76,0.0,0.0,3.93,3.36,0.0,,,,,,Tiger_Ost
sw_sav_fm48,368.0,61.78,0.05,0.05,4.5,3.4,383.0,62.64,0.0,0.0,5.53,2.81,0.0,,,,,,SAV_20.12.48
us_m6a1,359.0,74.12,0.1,0.09,4.14,3.78,158.0,68.1,0.0,0.0,4.56,3.17,0.0,,,,,,M6A1
la-7,351.0,91.99,3.88,4.64,1.93,2.3,86.0,30.16,2.13,2.6,0.5,0.59,0.0,,,,,,La-7
germ_vsw_flak_41,349.0,81.46,0.09,0.1,4.81,5.58,160.0,38.17,0.0,0.0,7.13,4.49,26.0,100.0,0.0,0.0,4.0,2.0,VFW
