name,ab_battles,ab_win_rate,ab_air_frags_per_battle,ab_air_frags_per_death,ab_ground_frags_per_battle,ab_ground_frags_per_death,rb_battles,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death,sb_battles,sb_win_rate,sb_air_frags_per_battle,sb_air_frags_per_death,sb_ground_frags_per_battle,sb_ground_frags_per_death,alt_name
saab_jas39c_hungary,25.0,100.0,4.82,3.89,0.03,0.03,490.0,84.23,0.91,1.12,2.4,2.93,3.0,,,1.0,,,◔JAS39EBS_HU_C
mig_29_9_12b_hungary,6.0,100.0,1.0,1.0,,,27.0,95.0,2.0,1.42,1.8,0.75,3.0,,,3.67,,,◔MiG-29
su_27sm,652.0,87.89,4.71,5.82,0.45,0.54,5184.0,62.99,1.82,2.45,0.15,0.2,406.0,42.96,9.04,2.41,0.5,0.14,Su-27SM
f_15c_msip2,1879.0,83.41,4.48,4.38,0.26,0.26,3568.0,57.62,1.9,2.47,0.03,0.03,144.0,100.0,8.11,3.41,,0.03,F-15C_MSIP_II
f_15j_kai,40.0,74.51,7.41,8.02,1.24,0.35,834.0,65.79,2.33,3.33,0.1,0.13,73.0,,,3.29,,,F-15J(M)
saab_jas39c,19.0,100.0,4.63,4.8,,,1120.0,70.05,1.34,1.74,0.71,0.92,52.0,100.0,8.0,2.6,,,JAS39C
mig-21_bison,9.0,,,,,,669.0,63.78,1.93,2.54,0.18,0.24,,,,,,,MiG-21_Bison
f-4f_kws_lv,3.0,100.0,1.0,1.0,,,946.0,62.87,1.17,1.37,0.22,0.26,47.0,,,0.93,,,◄F-4F_KWS_LV
j_11a,8.0,100.0,2.0,4.0,1.0,2.0,138.0,82.25,2.44,3.22,0.01,0.01,25.0,,,1.32,,,J-11A
f_15c_baz_msip,29.0,64.39,2.59,4.41,0.14,0.23,268.0,79.9,2.92,3.93,0.1,0.08,,,,,,,Baz_Meshupar
av_8b_plus,633.0,70.03,1.86,2.42,0.51,0.64,645.0,52.81,1.56,1.71,1.02,1.19,111.0,50.0,2.08,2.67,1.95,2.22,AV-8B_Plus
f_16a_block_15_belgium,7.0,100.0,2.0,2.0,7.0,7.0,83.0,98.08,1.32,0.98,1.54,1.06,11.0,,,0.91,,,F-16A
f_16am_block_15_mlu_belgium,18.0,100.0,4.0,8.0,0.95,3.0,345.0,80.25,1.24,1.8,2.36,3.34,15.0,,,1.07,,,F-16AM
f_16a_block_15_adf_italy,4.0,,,,,,26.0,60.0,1.13,0.76,,,,,,,,,F-16A_ADF
tornado_f3_late,43.0,77.32,1.78,1.71,0.07,0.04,24.0,100.0,1.0,1.0,0.89,0.89,,,,,,,Tornado_F.3_Late
mig_29_9_13,162.0,65.7,1.58,2.21,0.39,0.51,749.0,65.45,1.88,1.94,0.07,0.04,103.0,50.0,3.0,1.46,,,MiG-29
sea_harrier_fa2,50.0,56.67,2.73,2.19,0.39,0.56,147.0,59.19,1.03,1.34,0.02,0.03,,,,,,,Sea_Harrier_FA_2
f_16a_block_15_adf,181.0,56.16,0.83,0.89,0.11,0.1,67.0,51.33,1.13,1.58,,,,,,,,,F-16A_ADF
f_16a_block_10,149.0,60.02,0.48,0.88,1.45,2.25,406.0,59.69,1.01,0.84,1.05,0.88,48.0,85.0,1.9,1.37,,0.1,F-16A
f-4ej_kai,33.0,82.14,6.14,5.57,0.18,0.1,287.0,61.61,2.67,4.12,0.3,0.44,12.0,,,1.0,,,F-4EJ_Kai_Phantom_II
tornado_ids_de_mfg,7.0,100.0,1.0,1.0,3.0,3.0,165.0,85.46,0.44,0.29,1.42,1.03,,,,,,,◄Tornado_IDS_MFG
f_16a_block_20_mlu,4.0,,,,,,138.0,54.54,1.56,1.8,0.2,0.24,9.0,,,1.0,,,F-16A_MLU_(China)
f_14a_iriaf,361.0,72.01,6.77,10.53,0.98,1.54,4064.0,55.68,1.89,2.13,0.04,0.07,109.0,,,1.7,,,F-14A_IRIAF
saab_ja37d,4.0,100.0,2.0,2.0,1.0,1.0,237.0,66.31,1.35,2.46,0.21,0.42,22.0,,,3.21,,,JA37D
jf_17,11.0,,,2.33,,,314.0,60.98,1.78,2.01,0.71,0.77,157.0,,15.89,2.97,,,JF-17
j_10a,4.0,100.0,11.0,11.0,1.0,1.0,2113.0,71.4,2.44,3.85,0.06,0.1,108.0,100.0,16.56,3.22,0.33,0.11,J-10A
f_16c_block_40_barak_2,21.0,66.67,3.0,4.5,0.7,1.0,290.0,77.1,1.85,2.95,0.21,0.33,27.0,100.0,14.0,7.0,,,F-16C_Barak_II
tornado_ids_de_assta1,3.0,,,,,,141.0,70.06,0.24,0.28,1.22,1.62,40.0,39.16,,,,,◄Tornado_IDS_ASSTA1
mirage_2000d_r1,10.0,100.0,1.8,,4.6,,469.0,77.0,0.25,0.31,2.25,2.38,,,,,,,Mirage_2000D-R1
f_16a_block_10_iaf,25.0,50.0,1.5,1.45,0.5,0.23,152.0,69.88,1.86,2.33,1.19,1.56,3.0,,,,,,Netz
tornado_ids_it_mod95,31.0,63.64,0.82,1.5,5.81,9.69,43.0,100.0,,,2.63,1.86,,,,,,,Tornado_IDS_(1995)
tornado_gr1,15.0,,,,,,60.0,97.37,0.11,0.16,3.26,3.79,5.0,,,,,1.0,Tornado_GR.1
f_16aj,,,,,,,805.0,56.94,0.94,1.1,0.41,0.47,48.0,,,1.35,,,F-16AJ
mig_29_9_12_germany,27.0,100.0,3.0,2.33,,,303.0,50.99,1.45,1.59,0.09,0.07,24.0,,,,,,◊MiG-29
f-4e_kurnass_2000,26.0,100.0,6.21,5.15,0.36,0.12,478.0,72.55,0.53,0.71,2.89,3.9,,,,,,,Kurnass_2000
yak_141,77.0,66.8,1.2,1.83,0.53,0.72,336.0,56.52,2.07,1.9,0.06,0.05,44.0,,,2.14,,,Yak-141
tornado_f3,23.0,50.0,7.88,2.93,,,295.0,63.98,2.41,3.11,0.06,0.1,,,,,,,Tornado_F.3
f_14b,54.0,100.0,0.26,0.38,0.78,1.06,405.0,59.95,1.41,2.02,0.35,0.5,63.0,100.0,10.25,6.11,,0.07,F-14B
mirage_2000_5f,187.0,92.5,5.36,6.34,0.56,0.69,2158.0,70.68,2.02,2.73,0.48,0.64,71.0,100.0,13.67,2.54,1.0,0.13,Mirage_2000-5F
j_8f,12.0,,,3.17,,1.17,187.0,62.13,2.35,2.51,,,3.0,,,,,,J-8F
tornado_adv,37.0,50.0,3.83,1.97,0.5,0.21,43.0,48.15,2.09,4.06,0.03,0.06,,,,,,,Tornado_ADV
mig_29smt_9_19,621.0,86.37,3.92,4.88,0.36,0.45,1117.0,62.35,1.51,1.45,0.16,0.15,151.0,65.0,3.53,1.89,0.26,0.24,MiG-29SMT
f_16c_block_50,1563.0,80.14,3.09,3.41,0.52,0.56,4421.0,51.67,1.38,1.61,0.66,0.78,336.0,88.67,9.63,1.96,1.78,0.37,F-16C
av_8b_plus_italy,33.0,100.0,3.62,3.42,1.65,1.45,242.0,64.79,0.6,0.69,2.05,2.38,3.0,,,,,,AV-8B_Plus
f_16d_block_40_barak_2,18.0,60.61,2.08,3.27,0.19,0.32,431.0,64.86,1.91,2.26,0.28,0.33,11.0,,,,,,Barak_II
f_14a_early,38.0,100.0,3.44,2.64,0.33,0.33,408.0,61.56,1.59,1.85,0.03,0.03,,,,,,,F-14A_Early
mig_29_9_12g,64.0,98.41,5.78,3.21,,,907.0,58.56,1.31,1.65,,,47.0,,,2.58,,,◄MiG-29G
jh_7a,22.0,100.0,2.25,3.15,6.0,2.54,374.0,67.23,0.48,0.52,2.32,2.75,13.0,,,,,,JH-7A
f_15a,807.0,69.36,1.85,2.09,0.34,0.39,494.0,40.31,1.63,1.78,0.1,0.11,85.0,100.0,4.0,1.17,,,F-15A
mirage_2000c_s4,106.0,72.5,4.25,4.12,1.26,1.28,728.0,67.47,1.96,2.99,0.08,0.1,110.0,,14.0,4.59,,,Mirage_2000C-S4
su_27,306.0,81.5,2.61,3.45,0.21,0.27,1620.0,65.72,2.04,2.02,0.01,0.02,55.0,,,1.31,,,Su-27
saab_jas39a,19.0,100.0,2.67,6.0,0.67,2.0,605.0,64.86,1.11,1.21,0.49,0.51,1.0,,,,,,JAS39A
mirage_4000,24.0,86.67,2.3,2.5,0.3,0.3,274.0,56.93,1.72,1.99,0.35,0.42,,,,,,,Mirage_4000
f_15j,8.0,,,3.13,,,229.0,58.81,1.49,1.54,0.03,0.02,81.0,,,7.07,,,F-15J
saab_jas39c_south_africa,45.0,93.98,3.62,3.09,0.07,0.23,748.0,61.71,1.96,2.96,0.14,0.23,25.0,,,1.28,,,JAS39C
f_15a_iaf,11.0,81.82,1.45,1.64,1.45,1.64,33.0,50.0,1.13,2.25,,,,,,,,,Baz
j_11,4.0,100.0,1.0,1.0,,,200.0,45.32,1.98,2.73,0.03,0.06,7.0,,,0.63,,,J-11
harrier_gr7,21.0,100.0,5.75,3.55,8.75,3.5,180.0,69.44,1.22,1.6,2.86,3.85,,,,,,,Harrier_GR.7
mirage_2000c_s5,110.0,73.29,4.11,4.42,1.16,1.14,270.0,85.61,3.72,5.25,0.49,0.58,43.0,,,3.31,,,Mirage_2000C-S5
f_20a,66.0,48.15,0.56,1.05,0.19,0.32,245.0,45.96,1.04,1.09,0.37,0.37,51.0,100.0,3.38,1.33,0.15,0.08,F-20A
su_25sm3,11.0,25.0,,,1.5,1.0,1175.0,75.58,0.21,0.27,3.36,4.36,163.0,28.89,0.46,0.33,5.38,3.48,Su-25SM3
mig_23mf_hungary,23.0,100.0,1.0,1.0,,0.83,16.0,50.0,1.0,2.0,,,,,,,,,◔MiG-23MF
mig-21_mf_hungary,,,,,,,103.0,53.38,1.99,2.93,,,,,,,,,◔MiG-21MF
su_22m3_hungary,,,,,,,83.0,73.55,0.29,0.31,1.44,1.85,,,,,,,◔Su-22M3
f-4f,,,,,,,45.0,100.0,,0.05,1.0,0.35,,,,,,,◄F-4F_Early
mig-21_bis_sau_hungary,,,,,,,102.0,32.3,1.43,1.54,0.22,0.22,,,,,,,◔MiG-21bis-SAU
mig-21_mf,85.0,,1.36,0.72,,,254.0,74.35,2.45,2.13,0.42,0.35,,,,,,,◊MiG-21MF
mig_23m,13.0,100.0,3.0,2.11,1.0,0.56,187.0,62.74,1.28,1.14,0.07,0.07,11.0,,,,,,MiG-23M
mig_21_bis_finland,4.0,,,,,,306.0,52.59,1.31,1.83,0.17,0.22,2.0,,,,,,MiG-21bis
f-5c,34.0,54.45,3.89,7.3,0.27,0.53,1634.0,59.42,1.61,2.03,0.54,0.69,8.0,,,,,,F-5C
j_7e,20.0,40.0,1.6,2.0,,,477.0,76.4,2.96,7.1,0.17,0.48,10.0,100.0,4.0,4.7,,,J-7E
mig-21_smt,16.0,,,,,,418.0,61.57,1.48,1.68,0.16,0.18,,,,,,,MiG-21SMT
f-5e,141.0,79.27,0.98,1.04,3.15,3.26,1009.0,62.52,1.3,1.99,1.01,1.58,122.0,80.83,2.28,1.48,0.89,0.59,F-5E
f-4e,158.0,65.25,1.42,1.44,0.81,0.45,1418.0,63.82,1.13,1.23,1.14,1.2,13.0,,,2.22,,1.0,F-4E_Phantom_II
f-4f_late,,,,,,,691.0,60.33,0.53,0.57,0.76,0.79,8.0,,,2.0,,0.25,◄F-4F
q_5l,4.0,,,,,,328.0,56.85,0.11,0.17,2.08,4.4,,,,,,,Q-5L
