name,ab_battles,ab_win_rate,ab_air_frags_per_battle,ab_air_frags_per_death,ab_ground_frags_per_battle,ab_ground_frags_per_death,rb_battles,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death,sb_battles,sb_win_rate,sb_air_frags_per_battle,sb_air_frags_per_death,sb_ground_frags_per_battle,sb_ground_frags_per_death,alt_name,wk_name,nation,cls,ab_br,rb_br,sb_br
f-100d,515.0,70.39,1.35,1.14,2.33,1.93,2743.0,51.36,0.64,0.63,0.38,0.4,238.0,48.01,4.52,3.07,0.6,0.42,F-100D,F-100D,USA,Aviation,9.7,10.0,9.7
mig-19pt,801.0,53.29,2.09,2.46,0.07,0.08,4836.0,56.37,1.0,1.25,0.07,0.1,124.0,63.22,6.91,8.16,,,MiG-19PT,MiG-19PT,USSR,Aviation,10.3,10.3,10.3
javelin_fmk9,153.0,56.45,2.63,1.26,,,388.0,66.31,2.09,2.11,0.05,0.05,49.0,100.0,5.0,5.0,,,Javelin_F.(A.W.)_Mk.9,Javelin_F.(A.W.)_Mk.9,Britain,Aviation,8.7,8.7,8.7
f-86k_late,543.0,70.78,2.7,2.55,0.3,0.28,1421.0,67.25,1.81,2.94,0.04,0.08,9.0,,,,,,F-86K,F-86K_(France),France,Aviation,9.0,9.0,9.3
hunter_f6,201.0,60.64,3.74,1.88,1.53,0.72,2930.0,62.7,1.8,2.51,0.19,0.26,169.0,57.25,10.32,6.8,0.47,0.21,Hunter_F.6,Hunter_F.6,Britain,Aviation,10.0,10.0,9.7
md_450b_barougan,172.0,50.1,0.48,0.28,1.94,1.19,531.0,62.39,0.56,0.58,1.05,1.1,60.0,100.0,2.0,2.6,2.75,2.08,M.D.450B_Barougan,M.D.450B_Barougan,France,Aviation,7.7,7.7,7.7
me-262c-2b,126.0,62.76,4.44,4.42,0.16,0.2,493.0,80.27,2.63,4.45,0.25,0.45,90.0,50.0,2.71,2.36,0.5,0.41,Me_262_C-2b,Me_262_C-2b,Germany,Aviation,8.0,8.0,8.0
mig-15bis_ish,107.0,59.09,2.06,1.81,2.09,1.91,1302.0,61.82,0.64,0.69,0.48,0.52,,,,,,,MiG-15bis_ISH,MiG-15bis_ISH,USSR,Aviation,8.7,8.7,9.0
f-86f-35,186.0,22.78,5.7,1.38,0.99,0.3,2691.0,51.57,0.57,0.57,0.35,0.37,,,,,,,F-86F-35,F-86F-35,USA,Aviation,8.3,9.0,9.0
meteor_fmk8_reaper,149.0,59.36,1.04,1.25,3.11,3.61,2652.0,66.22,0.29,0.33,1.06,1.19,217.0,63.69,0.79,0.37,1.19,0.58,Meteor_F_Mk.8_Reaper,Meteor_F_Mk.8_Reaper,Britain,Aviation,8.0,8.0,8.0
canberra_bmk2,140.0,76.13,,,6.61,5.34,66.0,,,,1.2,1.53,29.0,,,,,1.04,Canberra_B_Mk_2,Canberra_B_Mk_2,Britain,Aviation,7.7,7.7,7.7
yak-17,83.0,26.81,1.43,1.15,,,121.0,60.0,2.37,2.72,0.4,0.6,1.0,,,,,,Yak-17,Yak-17,USSR,Aviation,6.3,6.7,7.0
f-86f-30_japan,188.0,57.17,1.61,1.15,0.78,0.53,426.0,46.14,0.95,0.89,0.72,0.64,9.0,47.92,0.53,1.0,,,F-86F-30_,F-86F-30_(Japan),Japan,Aviation,8.0,9.0,9.0
yak-30d,543.0,52.51,3.09,3.64,0.15,0.17,192.0,65.0,0.96,1.33,0.27,0.36,162.0,100.0,4.67,3.09,,,Yak-30,Yak-30,USSR,Aviation,8.3,8.3,8.0
hunter_f1,133.0,92.5,8.93,3.8,0.05,0.02,1180.0,60.26,1.35,1.87,0.46,0.64,80.0,50.0,4.41,3.32,,,Hunter_F_1,Hunter_F.1,Britain,Aviation,9.0,9.0,9.0
me-163b,392.0,56.85,3.57,4.07,,,809.0,56.44,1.45,2.06,0.05,0.09,86.0,,,3.34,,,Me_163_B,Me_163_B,Germany,Aviation,8.0,8.0,8.0
f-86f-40_japan,52.0,100.0,1.11,0.61,1.96,1.16,582.0,52.49,1.11,1.16,0.16,0.18,50.0,100.0,2.67,2.64,,,F-86F-40_,F-86F-40_(Japan),Japan,Aviation,8.3,9.3,9.3
yak-23,663.0,57.1,3.0,4.84,0.1,0.12,429.0,64.57,1.76,2.85,0.07,0.14,56.0,,,2.56,,,Yak-23,Yak-23,USSR,Aviation,7.7,8.0,7.7
f9f-8,488.0,73.75,0.85,0.81,3.19,3.0,1024.0,58.78,1.25,1.36,0.32,0.35,476.0,70.97,12.77,1.97,1.17,0.18,F9F-8,F9F-8,USA,Aviation,8.3,8.3,8.3
f-86a-5,703.0,60.21,0.96,0.83,1.29,1.15,2689.0,53.82,0.71,0.73,0.39,0.41,36.0,,,2.0,,,F-86A-5,F-86A-5,USA,Aviation,8.0,8.7,8.7
f3d_1,292.0,56.54,1.66,1.23,2.51,1.81,774.0,68.35,0.91,1.13,0.48,0.59,92.0,,3.8,3.33,,0.08,F3D-1,F3D-1,USA,Aviation,7.0,7.0,7.0
r2y2_kai,152.0,74.63,0.93,0.86,1.36,1.33,567.0,57.53,1.67,1.9,1.0,1.11,133.0,59.41,3.0,2.44,0.57,0.52,R2Y2_Kai_V3,R2Y2_Kai_V3,Japan,Aviation,7.3,7.3,7.7
r2y2_v1,119.0,62.48,0.98,1.21,1.5,1.76,925.0,61.21,0.91,0.75,0.82,0.67,50.0,,1.46,1.46,1.46,1.46,R2Y2_Kai_V1,R2Y2_Kai_V1,Japan,Aviation,7.7,7.3,7.3
r2y2_v2,163.0,52.41,1.48,1.06,1.01,0.82,260.0,60.55,0.8,0.75,1.07,0.99,47.0,75.0,3.5,3.53,,,R2Y2_Kai_V2,R2Y2_Kai_V2,Japan,Aviation,7.3,7.3,7.3
me-262a-1a,514.0,53.07,2.43,2.77,0.34,0.37,785.0,36.89,2.15,2.41,0.71,0.79,61.0,,,5.92,,,Me_262_A-1a,Me_262_A-1a,Germany,Aviation,7.3,7.0,7.0
f-86f-2,445.0,55.49,1.44,1.44,1.02,1.02,4150.0,60.97,1.48,2.11,0.23,0.33,31.0,,8.0,7.22,,,F-86F-2,F-86F-2,USA,Aviation,9.0,9.0,9.0
f-86_canadair_german,266.0,74.11,1.72,1.93,2.49,2.82,1420.0,52.17,1.13,1.43,0.22,0.29,57.0,100.0,4.43,,,,CL-13A_Mk_5,CL-13A_Mk_5,Germany,Aviation,8.3,9.3,9.0
f-84g,163.0,68.66,2.1,1.85,2.03,1.91,539.0,68.1,0.85,0.79,1.1,0.97,33.0,,,1.0,,,F-84G-21-RE,F-84G-21-RE,USA,Aviation,7.7,7.7,8.0
la_200_toriy,300.0,57.34,1.85,1.24,0.24,0.19,305.0,55.65,0.8,0.61,,,39.0,,,,,,La-200,La-200,USSR,Aviation,8.0,8.0,8.0
md_452_mystere_2c_preproduction,306.0,79.03,2.28,1.92,2.38,2.03,949.0,62.4,1.27,1.49,0.43,0.51,25.0,,,,,,M.D.452_IIC,M.D.452_IIC,France,Aviation,8.7,8.7,8.7
sea_hawk_fga6,7.0,,,,,,256.0,66.41,0.46,0.55,0.89,1.02,17.0,,1.67,2.0,1.0,1.0,sea_hawk_fga6_shop,Sea_Hawk_FGA.6,Britain,Aviation,8.0,8.0,7.3
sea_venom_faw20,35.0,59.38,1.53,2.35,,0.2,4.0,,,,,,1.0,,,,,,Sea_Venom_FAW_20,Sea_Venom_FAW_20,Britain,Aviation,8.0,8.0,8.0
arado-234,220.0,67.8,,,19.16,13.37,2774.0,54.83,,,2.28,3.19,55.0,100.0,,,,0.04,Ar_234_B-2,Ar_234_B-2,Germany,Aviation,6.3,6.7,6.7
fj_4b,438.0,76.54,0.66,0.61,3.19,2.97,1049.0,54.27,0.63,0.81,1.02,1.32,26.0,100.0,2.88,2.25,,,FJ-4B,FJ-4B,USA,Aviation,9.0,8.7,9.0
f-84g_france,217.0,84.35,2.05,0.94,2.68,1.25,352.0,79.18,0.98,1.0,0.89,0.93,11.0,,,,,,F-84G-26-RE,F-84G-26-RE_(France),France,Aviation,7.7,7.7,8.0
tu_14t,362.0,75.15,0.29,0.21,5.71,3.97,339.0,48.33,0.21,0.22,0.51,0.5,72.0,100.0,3.0,1.1,1.5,1.36,Tu-14T,Tu-14T,USSR,Aviation,8.0,8.0,8.0
il_28sh,522.0,69.06,0.34,0.31,5.76,5.03,2787.0,60.26,0.21,0.21,1.06,1.03,2114.0,61.09,0.73,0.47,1.68,1.12,IL-28Sh,IL-28Sh,USSR,Aviation,8.0,8.0,8.0
mig-15bis_nr23_german,1028.0,53.79,2.62,3.28,0.31,0.39,5799.0,58.45,1.03,1.3,0.1,0.17,52.0,50.0,1.82,3.64,0.07,0.14,MiG-15bis,MiG-15bis_(Germany),Germany,Aviation,8.7,8.7,9.0
attaker_fb1,17.0,45.83,0.3,0.2,0.68,0.78,496.0,64.81,0.63,1.18,0.94,1.81,11.0,,,,,,Attacker_FB_1,Attacker_FB_1,Britain,Aviation,7.7,7.0,7.3
f-86f-25,538.0,72.73,0.73,0.8,2.05,2.25,1019.0,57.17,0.81,0.96,0.36,0.44,,,,,,,F-86F-25,F-86F-25,USA,Aviation,8.0,9.0,9.0
me-262a-2a,38.0,37.96,1.02,1.55,0.44,0.39,412.0,63.36,1.58,2.58,1.11,1.79,31.0,,1.0,1.0,,,Me_262_A-2a,Me_262_A-2a,Germany,Aviation,6.3,6.7,6.7
fj_4b_agm_12b,176.0,48.39,1.08,0.66,2.51,1.58,6792.0,60.42,0.5,0.59,1.65,1.97,75.0,6.25,2.31,2.48,0.69,0.78,FJ-4B_VMF-232,FJ-4B_VMF-232,USA,Aviation,9.0,8.7,9.0
la-15,601.0,61.21,1.26,1.49,0.22,0.25,376.0,48.84,0.97,1.39,0.11,0.14,43.0,,2.0,,,,La-15,La-15,USSR,Aviation,8.0,8.0,8.0
he-162a-2,483.0,55.01,2.24,2.59,0.17,0.18,352.0,52.66,1.56,2.24,0.08,0.14,28.0,,,2.0,,,He_162_A-2,He_162_A-2,Germany,Aviation,6.3,6.3,6.7
yak-15_early,80.0,33.33,0.45,0.76,,,78.0,100.0,2.27,2.23,,,,,,,,,Yak-15P,Yak-15P,USSR,Aviation,6.0,6.3,6.7
me-163b-0,419.0,60.34,4.56,5.43,0.23,0.26,327.0,74.44,2.14,2.65,0.09,0.12,,,,,,,Me_163_B-0,Me_163_B-0,Germany,Aviation,9.0,8.3,8.3
f-84b,519.0,48.35,7.09,2.61,3.11,1.15,1897.0,64.41,0.59,0.7,1.06,1.25,5.0,,,0.4,,,F-84B-26,F-84B-26,USA,Aviation,6.7,7.3,8.0
f-80a,393.0,49.6,1.5,1.22,1.86,1.41,2102.0,72.29,1.21,1.68,0.74,1.04,12.0,100.0,8.5,8.5,,,F-80A-5,F-80A-5,USA,Aviation,6.7,7.0,7.0
kitsuka,115.0,46.77,3.86,5.54,0.59,0.63,559.0,53.54,1.67,1.8,0.69,0.78,18.0,,,,,,Kikka,Kikka,Japan,Aviation,6.7,6.7,6.7
f9f-5,354.0,77.65,0.68,0.61,3.52,3.19,122.0,59.57,0.88,1.1,0.66,0.78,5.0,,,2.75,,,F9F-5,F9F-5,USA,Aviation,8.3,8.3,8.3
go229_v3,156.0,57.8,1.37,1.25,1.14,0.99,567.0,43.48,1.61,1.53,0.67,0.66,69.0,100.0,6.6,3.68,,,Ho_229_V3,Ho_229_V3,Germany,Aviation,7.3,7.3,7.7
il_28,467.0,65.58,0.4,0.29,4.47,3.25,563.0,50.28,0.33,0.21,0.38,0.22,535.0,67.33,1.73,0.66,1.23,0.47,IL-28,IL-28,USSR,Aviation,8.0,8.0,8.0
mig-9_ussr,165.0,52.57,1.85,2.36,0.27,0.34,718.0,62.73,1.87,2.88,0.35,0.54,12.0,,,,,,MiG-9_/L,MiG-9_(l),USSR,Aviation,7.7,7.3,7.7
j8m1,125.0,59.89,2.38,2.73,0.65,0.75,278.0,52.21,1.14,1.75,0.22,0.33,90.0,82.14,1.93,1.11,,,Ki-200,Ki-200,Japan,Aviation,8.0,8.0,8.0
meteor_fmk3,79.0,50.0,2.16,2.09,0.16,0.19,754.0,79.69,1.41,1.79,1.06,1.33,22.0,,,5.0,,,Meteor_F_Mk_3,Meteor_F_Mk_3,Britain,Aviation,7.3,7.0,7.0
meteor_fmk8,97.0,52.95,1.62,2.03,0.3,0.46,249.0,84.11,1.8,2.33,0.96,1.34,247.0,55.56,2.59,1.78,0.52,0.29,Meteor_F_Mk_8_G.41K,Meteor_F_Mk_8_G.41K,Britain,Aviation,8.0,8.0,8.0
f2h-2,218.0,74.63,1.72,1.19,2.46,2.07,283.0,54.47,0.72,0.73,0.41,0.42,82.0,,,0.99,,0.14,F2H-2,F2H-2,USA,Aviation,8.0,8.0,8.0
fiat_g91_r1,81.0,58.7,0.48,0.39,1.02,1.21,792.0,59.48,1.06,1.15,1.23,1.33,7.0,,,,,,G.91_R/1,G.91_R/1,Italy,Aviation,9.0,8.7,8.7
b-57,477.0,72.39,,,5.31,4.27,156.0,60.51,,,1.27,0.75,68.0,100.0,,,1.9,1.0,B-57A,B-57A,USA,Aviation,7.7,7.7,7.7
me-262a-1a_u4,69.0,56.48,1.66,0.55,2.57,3.49,6290.0,54.56,0.1,0.11,1.67,1.77,139.0,61.13,0.83,1.1,2.57,3.47,Me_262_A-1/U4,Me_262_A-1/U4,Germany,Aviation,6.3,6.7,6.7
f-80,120.0,67.9,4.63,3.1,0.76,0.53,202.0,72.47,1.15,1.25,0.52,0.54,50.0,,,,,,F-80C-10,F-80C-10,USA,Aviation,7.3,7.7,7.7
mig-9,369.0,46.29,1.13,1.33,0.32,0.36,556.0,43.39,0.93,0.9,0.12,0.11,43.0,,0.48,0.63,,,MiG-9,MiG-9,USSR,Aviation,7.3,7.3,7.7
me-262c-1a,136.0,48.87,1.42,1.37,0.7,0.65,167.0,49.36,0.79,0.87,0.74,0.74,10.0,,,,,,Me_262_C-1a,Me_262_C-1a,Germany,Aviation,8.0,8.0,8.0
mig-15_ns23,470.0,52.57,1.23,0.92,1.16,0.9,862.0,53.47,0.69,0.61,0.14,0.13,91.0,,,1.63,,0.47,MiG-15,MiG-15,USSR,Aviation,8.7,8.7,8.3
meteor_fmk4_sw,28.0,50.0,1.0,1.63,1.25,2.0,38.0,65.0,0.65,0.18,,,,,,,,,Meteor_F_Mk_4_G.41G,Meteor_F_Mk_4_G.41G,Britain,Aviation,8.0,8.0,8.0
meteor_fmk4_lw,54.0,57.58,1.52,2.27,,,140.0,55.05,0.76,0.58,0.72,0.55,9.0,100.0,,,,,Meteor_F_Mk_4_G.41F,Meteor_F_Mk_4_G.41F,Britain,Aviation,8.0,8.0,8.0
f-84g_italy,115.0,62.65,0.85,0.75,1.6,1.68,1236.0,57.85,0.43,0.42,1.04,1.03,27.0,,,,,,F-84G-21-RE,F-84G-21-RE_(Italy),Italy,Aviation,7.7,7.7,8.0
fiat_g91_ps,179.0,58.45,1.92,1.73,0.82,0.68,855.0,65.59,0.64,0.66,0.82,0.83,13.0,,,,,,G.91_pre-serie,G.91_pre-serie,Italy,Aviation,8.3,8.7,8.3
yak-15,265.0,42.02,0.93,1.17,0.08,0.13,59.0,,2.0,2.04,,0.02,,,,,,,Yak-15,Yak-15,USSR,Aviation,6.3,6.7,6.7
venom_fb4,100.0,93.28,1.84,1.09,3.96,2.3,701.0,64.87,0.92,1.19,0.61,0.74,39.0,72.73,1.59,2.05,0.23,0.45,Venom_FB.4,Venom_FB.4,Britain,Aviation,8.7,8.7,9.0
he-162a-1,,,,,,,,,,,,,,,,,,,He_162_A-1,He_162_A-1,Germany,Aviation,6.3,6.3,6.7
arado-234c-3,294.0,77.89,0.77,0.4,12.82,7.11,2308.0,54.11,0.43,0.48,1.09,1.25,184.0,36.67,1.4,0.69,1.4,0.92,Ar_234_C-3,Ar_234_C-3,Germany,Aviation,7.0,7.3,7.3
meteor_fmk3_navy,80.0,55.77,1.86,2.68,2.55,3.8,44.0,,,2.0,,2.0,,,,,,,Sea_Meteor_F_Mk_3,Sea_Meteor_F_Mk_3,Britain,Aviation,7.7,7.7,7.7
mig-17,568.0,46.95,2.62,2.15,0.65,0.53,3496.0,59.3,1.16,1.65,0.22,0.28,181.0,39.3,1.55,1.77,,,MiG-17,MiG-17,USSR,Aviation,9.0,9.0,9.0
b-57b,445.0,75.27,0.14,0.1,6.15,3.69,539.0,48.75,0.1,0.08,1.11,0.77,306.0,58.89,0.66,0.37,1.0,0.46,B-57B,B-57B,USA,Aviation,8.0,8.0,8.0
f9f-2,266.0,69.27,1.25,1.13,4.18,3.57,337.0,61.62,0.73,0.9,0.28,0.35,32.0,,,2.43,,,F9F-2,F9F-2,USA,Aviation,8.3,8.3,8.3
mig-15,812.0,60.73,2.72,2.97,2.56,2.8,2510.0,67.03,1.31,1.78,0.18,0.25,126.0,53.71,5.1,5.48,1.26,1.34,MiG-15bis,MiG-15bis,USSR,Aviation,8.7,8.7,8.7
canberra_bimk6,358.0,74.14,0.56,0.43,4.48,3.36,133.0,86.54,2.95,2.27,1.55,1.24,80.0,100.0,2.47,1.23,0.47,0.62,Canberra_B_(I)_Mk_6,Canberra_B_(I)_Mk_6,Britain,Aviation,8.0,8.0,8.0
so_4050_vautour_2b,484.0,80.33,,,8.83,7.75,515.0,32.16,,,0.13,0.13,45.0,100.0,,,0.56,1.0,S.O.4050_Vautour_IIB,S.O.4050_Vautour_IIB,France,Aviation,9.0,9.0,9.0
so_4050_vautour_2a,768.0,80.93,0.7,0.67,6.61,6.29,1332.0,49.29,0.58,0.55,0.33,0.3,99.0,100.0,3.74,5.0,,,S.O.4050_Vautour_IIA,S.O.4050_Vautour_IIA,France,Aviation,9.0,9.0,9.0
md_450b_ouragan,193.0,58.16,1.03,0.97,0.93,0.93,143.0,72.22,0.9,0.39,1.38,0.81,13.0,,,,,,M.D.450B_Ouragan,M.D.450B_Ouragan,France,Aviation,7.7,7.7,7.7
la_174,138.0,63.69,2.47,4.2,0.44,0.78,46.0,,,2.5,,,31.0,100.0,1.0,1.0,,,La-174,La-174,USSR,Aviation,8.0,8.0,8.0
md_452_mystere_2a,267.0,64.46,1.07,0.85,0.72,0.64,200.0,51.52,0.48,0.54,0.31,0.34,,,,,,,M.D.452_IIA,M.D.452_IIA,France,Aviation,8.3,8.7,8.3
vampire_fb5,99.0,66.41,1.37,1.37,0.64,0.69,2903.0,74.95,0.65,0.94,1.24,1.77,1.0,,,,,,Vampire_FB_5,Vampire_FB_5,Britain,Aviation,7.7,7.3,7.7
j7w1,113.0,81.67,3.88,2.31,,,225.0,74.37,3.51,5.01,0.01,0.02,,,,,,,J7W1,J7W1,Japan,Aviation,5.7,6.0,5.7
