name,ab_battles,ab_win_rate,ab_air_frags_per_battle,ab_air_frags_per_death,ab_ground_frags_per_battle,ab_ground_frags_per_death,rb_battles,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death,sb_battles,sb_win_rate,sb_air_frags_per_battle,sb_air_frags_per_death,sb_ground_frags_per_battle,sb_ground_frags_per_death,alt_name,wk_name,nation,cls,ab_br,rb_br,sb_br,ab_repair,rb_repair,sb_repair,is_premium,ab_rp_rate,ab_sl_rate,rb_rp_rate,rb_sl_rate,sb_rp_rate,sb_sl_rate
etndard_4m,133.0,86.67,1.16,1.15,2.46,2.13,1104.0,68.41,1.7,2.68,0.52,0.8,57.0,,,,,,Etendard_IVM,Etendard_IVM,France,Aviation,9.3,9.0,9.3,4933.0,14949.0,23103.0,False,220,110,220,310,220,480
f-100d,494.0,52.58,1.68,1.64,0.4,0.39,4558.0,53.35,1.22,1.39,0.33,0.37,29.0,100.0,14.0,12.64,0.36,0.29,F-100D,F-100D,USA,Aviation,9.7,9.7,9.7,3526.0,7673.0,22737.0,False,220,90,220,220,220,370
mig-19pt,198.0,43.57,3.49,3.73,0.38,0.33,1403.0,60.52,1.09,1.38,0.1,0.11,36.0,100.0,4.57,7.0,,,MiG-19PT,MiG-19PT,USSR,Aviation,10.0,10.0,10.3,5864.0,8755.0,21519.0,False,220,120,220,230,220,400
javelin_fmk9,188.0,67.64,0.96,1.01,0.28,0.29,436.0,48.39,1.71,1.95,0.36,0.41,9.0,,,2.56,,,Javelin_F.(A.W.)_Mk.9,Javelin_F.(A.W.)_Mk.9,Britain,Aviation,8.7,8.7,8.7,3845.0,10083.0,16308.0,False,214,110,214,290,214,340
f-86k_late,223.0,56.54,2.82,2.57,0.23,0.2,221.0,64.94,1.94,2.92,0.13,0.18,21.0,100.0,8.8,8.8,,,F-86K,F-86K_(France),France,Aviation,9.0,9.3,9.3,7160.0,22966.0,40529.0,False,214,110,214,330,214,520
hunter_f6,197.0,64.32,2.95,2.76,0.31,0.25,1625.0,61.55,1.78,2.09,0.52,0.62,,,,,,,Hunter_F.6,Hunter_F.6,Britain,Aviation,10.0,10.0,9.7,4933.0,11823.0,31229.0,False,220,100,220,250,220,450
md_450b_barougan,99.0,65.43,0.63,0.6,1.82,1.68,932.0,64.37,0.62,0.62,1.06,1.06,218.0,100.0,3.01,1.1,5.94,2.19,M.D.450B_Barougan,M.D.450B_Barougan,France,Aviation,7.7,7.7,7.7,3202.0,10224.0,9513.0,False,196,100,196,260,196,290
me-262c-2b,179.0,65.16,1.79,1.81,0.34,0.32,435.0,69.5,2.46,3.73,0.19,0.3,14.0,,,,,,Me_262_C-2b,Me_262_C-2b,Germany,Aviation,8.0,8.0,8.0,5701.0,14393.0,10085.0,False,202,120,202,340,202,300
mig-15bis_ish,34.0,,,2.46,,1.88,1770.0,69.44,0.7,0.8,0.66,0.76,12.0,,,,,1.0,MiG-15bis_ISH,MiG-15bis_ISH,USSR,Aviation,8.7,8.3,8.7,1700.0,2500.0,1000.0,True,416,200,416,400,416,520
f-86f-35,318.0,47.66,1.33,1.03,1.45,1.29,3424.0,53.28,0.75,0.87,0.78,0.9,14.0,,,,,,F-86F-35,F-86F-35,USA,Aviation,8.0,8.7,9.0,1720.0,3200.0,2000.0,True,464,200,464,480,464,580
meteor_fmk8_reaper,119.0,88.76,1.17,1.09,6.11,5.93,872.0,49.48,0.8,0.67,2.29,1.96,92.0,100.0,8.0,3.19,1.0,0.03,Meteor_F_Mk.8_Reaper,Meteor_F_Mk.8_Reaper,Britain,Aviation,8.0,8.0,8.0,2100.0,3800.0,6400.0,True,428,200,428,420,428,540
canberra_bmk2,120.0,44.45,,,10.68,9.88,255.0,54.61,,,1.58,3.52,19.0,,,,,,Canberra_B_Mk_2,Canberra_B_Mk_2,Britain,Aviation,8.0,7.7,7.7,21147.0,22391.0,67474.0,False,190,150,190,410,190,460
yak-17,247.0,60.7,1.31,1.48,0.34,0.4,79.0,,,1.3,,2.22,,,,,,,Yak-17,Yak-17,USSR,Aviation,6.3,6.7,7.0,6317.0,18776.0,18915.0,False,202,150,202,300,202,330
f-86f-30_japan,126.0,88.07,2.36,1.57,3.61,2.33,1616.0,57.42,0.89,1.12,0.52,0.64,,,,,,,F-86F-30_,F-86F-30_(Japan),Japan,Aviation,8.0,8.7,8.7,4890.0,10956.0,16117.0,False,202,120,202,280,202,320
yak-30d,423.0,57.73,1.73,1.98,0.18,0.2,153.0,71.51,1.9,2.54,0.26,0.31,123.0,,3.11,3.31,,,Yak-30,Yak-30,USSR,Aviation,8.3,8.3,8.0,8350.0,15581.0,26733.0,False,208,130,208,250,208,380
hunter_f1,49.0,84.38,4.0,3.13,,,637.0,59.45,1.94,2.44,0.45,0.56,,,,,,,Hunter_F_1,Hunter_F.1,Britain,Aviation,9.0,9.0,9.0,5979.0,15587.0,35401.0,False,214,110,214,310,214,420
me-163b,190.0,68.04,2.2,2.53,,,539.0,66.27,1.86,2.93,0.17,0.27,57.0,,,2.27,,0.43,Me_163_B,Me_163_B,Germany,Aviation,8.0,8.0,8.0,7497.0,13475.0,11515.0,False,202,150,202,390,202,280
f-86f-40_japan,174.0,82.72,3.53,2.43,4.57,3.04,1082.0,64.37,1.13,1.7,0.57,0.82,17.0,,,,,,F-86F-40_,F-86F-40_(Japan),Japan,Aviation,8.3,9.3,9.3,5809.0,17562.0,43231.0,False,208,140,208,310,208,440
yak-23,451.0,59.46,1.53,1.85,0.44,0.54,577.0,70.3,0.96,1.46,0.11,0.15,8.0,,,,,,Yak-23,Yak-23,USSR,Aviation,8.0,8.0,7.7,8423.0,26481.0,25220.0,False,202,140,202,310,202,400
