name,ab_battles,ab_win_rate,ab_air_frags_per_battle,ab_air_frags_per_death,ab_ground_frags_per_battle,ab_ground_frags_per_death,rb_battles,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death,sb_battles,sb_win_rate,sb_air_frags_per_battle,sb_air_frags_per_death,sb_ground_frags_per_battle,sb_ground_frags_per_death,alt_name,wk_name,nation,cls,ab_br,rb_br,sb_br
f-100d,578.0,70.49,1.36,1.22,2.51,2.25,2668.0,50.49,0.6,0.6,0.39,0.4,221.0,57.15,4.27,3.37,0.55,0.45,F-100D,F-100D,USA,Aviation,9.7,10.0,9.7
mig-19pt,764.0,53.86,2.0,2.47,0.06,0.07,4298.0,55.88,0.94,1.19,0.05,0.1,108.0,71.26,8.94,8.67,,,MiG-19PT,MiG-19PT,USSR,Aviation,10.3,10.3,10.3
javelin_fmk9,151.0,62.9,2.3,1.13,,,310.0,64.16,1.97,1.92,0.02,0.02,38.0,100.0,5.0,4.33,,,Javelin_F.(A.W.)_Mk.9,Javelin_F.(A.W.)_Mk.9,Britain,Aviation,8.7,8.7,8.7
f-86k_late,455.0,72.08,3.09,2.47,0.35,0.26,1249.0,67.14,1.72,2.83,0.02,0.05,4.0,,,,,,F-86K,F-86K_(France),France,Aviation,9.0,9.0,9.3
hunter_f6,176.0,61.79,3.51,1.74,1.4,0.64,2603.0,60.72,1.83,2.52,0.2,0.28,147.0,72.92,9.77,7.94,0.33,0.11,Hunter_F.6,Hunter_F.6,Britain,Aviation,10.0,10.0,9.7
md_450b_barougan,192.0,50.48,0.68,0.4,1.64,1.08,563.0,60.39,0.58,0.57,1.1,1.09,42.0,100.0,2.0,2.05,3.33,3.0,M.D.450B_Barougan,M.D.450B_Barougan,France,Aviation,7.7,7.7,7.7
me-262c-2b,168.0,70.98,4.55,3.98,0.08,0.09,418.0,78.41,2.48,4.38,0.32,0.67,91.0,50.0,2.71,2.03,0.5,0.23,Me_262_C-2b,Me_262_C-2b,Germany,Aviation,8.0,8.0,8.0
mig-15bis_ish,121.0,73.89,2.29,1.75,2.88,2.04,1091.0,63.54,0.63,0.71,0.42,0.46,,,,,,,MiG-15bis_ISH,MiG-15bis_ISH,USSR,Aviation,8.7,8.7,9.0
f-86f-35,164.0,15.94,6.96,1.54,1.11,0.31,2533.0,49.42,0.55,0.56,0.37,0.39,,,,,,,F-86F-35,F-86F-35,USA,Aviation,8.3,9.0,9.0
meteor_fmk8_reaper,103.0,58.29,0.75,0.7,2.74,2.66,2533.0,64.82,0.31,0.35,1.07,1.22,208.0,68.67,0.9,0.39,1.04,0.46,Meteor_F_Mk.8_Reaper,Meteor_F_Mk.8_Reaper,Britain,Aviation,8.0,8.0,8.0
canberra_bmk2,104.0,77.47,,,7.11,5.63,51.0,,,,,1.83,26.0,,,,,1.12,Canberra_B_Mk_2,Canberra_B_Mk_2,Britain,Aviation,7.7,7.7,7.7
yak-17,55.0,32.61,1.22,1.08,,,108.0,44.0,2.16,2.28,0.24,0.36,,,,,,,Yak-17,Yak-17,USSR,Aviation,6.3,6.7,7.0
f-86f-30_japan,167.0,53.62,1.68,1.28,1.1,0.99,443.0,48.87,0.86,0.9,0.63,0.62,36.0,42.89,0.57,0.99,0.03,0.05,F-86F-30_,F-86F-30_(Japan),Japan,Aviation,8.0,9.0,9.0
yak-30d,600.0,52.38,3.25,3.53,0.25,0.24,210.0,67.89,0.89,1.37,0.23,0.37,145.0,100.0,4.6,3.66,,,Yak-30,Yak-30,USSR,Aviation,8.3,8.3,8.0
hunter_f1,91.0,88.46,9.96,4.0,,,1239.0,59.63,1.41,1.89,0.43,0.58,52.0,50.0,3.9,3.5,,,Hunter_F_1,Hunter_F.1,Britain,Aviation,9.0,9.0,9.0
me-163b,369.0,62.69,3.36,4.27,,,824.0,58.35,1.46,2.16,0.06,0.1,96.0,,,3.13,,,Me_163_B,Me_163_B,Germany,Aviation,8.0,8.0,8.0
f-86f-40_japan,54.0,100.0,1.0,0.6,2.04,1.16,513.0,54.5,1.06,1.14,0.2,0.22,67.0,100.0,2.86,2.78,,,F-86F-40_,F-86F-40_(Japan),Japan,Aviation,8.3,9.3,9.3
yak-23,583.0,56.87,2.88,4.5,0.1,0.13,415.0,63.14,1.77,2.9,0.12,0.21,42.0,,,2.91,,,Yak-23,Yak-23,USSR,Aviation,7.7,8.0,7.7
f9f-8,453.0,79.55,0.75,0.72,3.42,3.22,1094.0,57.75,1.13,1.39,0.27,0.33,507.0,69.36,14.09,1.91,0.97,0.13,F9F-8,F9F-8,USA,Aviation,8.3,8.3,8.3
f-86a-5,629.0,59.54,1.17,0.94,1.31,1.11,2798.0,51.19,0.77,0.79,0.35,0.36,48.0,,,2.0,,,F-86A-5,F-86A-5,USA,Aviation,8.0,8.7,8.7
f3d_1,239.0,56.09,1.69,1.25,2.53,2.04,789.0,70.06,0.92,1.16,0.54,0.68,91.0,,3.0,3.0,,0.11,F3D-1,F3D-1,USA,Aviation,7.0,7.0,7.0
r2y2_kai,178.0,68.96,1.07,1.0,1.15,1.06,578.0,55.02,1.83,2.1,0.95,1.08,152.0,40.05,2.87,2.11,0.76,0.57,R2Y2_Kai_V3,R2Y2_Kai_V3,Japan,Aviation,7.3,7.3,7.7
r2y2_v1,117.0,61.51,0.95,1.15,1.34,1.59,955.0,61.1,0.88,0.74,0.88,0.74,62.0,,1.65,1.65,1.65,1.65,R2Y2_Kai_V1,R2Y2_Kai_V1,Japan,Aviation,7.7,7.3,7.3
r2y2_v2,179.0,47.96,1.41,1.05,0.93,0.7,259.0,54.85,0.99,0.8,1.41,1.08,48.0,75.0,3.5,3.19,,,R2Y2_Kai_V2,R2Y2_Kai_V2,Japan,Aviation,7.3,7.3,7.3
me-262a-1a,512.0,56.97,2.35,2.73,0.36,0.4,758.0,38.07,2.13,2.38,0.7,0.78,61.0,,,5.13,,0.05,Me_262_A-1a,Me_262_A-1a,Germany,Aviation,7.3,7.0,7.0
f-86f-2,494.0,56.52,1.23,1.23,1.12,1.16,3988.0,59.84,1.41,1.92,0.23,0.3,57.0,22.22,5.89,7.38,0.22,0.25,F-86F-2,F-86F-2,USA,Aviation,9.0,9.0,9.0
f-86_canadair_german,267.0,76.38,1.88,2.03,2.73,2.96,1224.0,50.37,1.15,1.42,0.2,0.25,68.0,100.0,4.07,,,,CL-13A_Mk_5,CL-13A_Mk_5,Germany,Aviation,8.3,9.3,9.0
f-84g,146.0,69.46,2.35,1.95,1.58,1.35,488.0,66.33,0.81,0.79,0.93,0.86,34.0,,,1.76,,,F-84G-21-RE,F-84G-21-RE,USA,Aviation,7.7,7.7,8.0
la_200_toriy,275.0,52.64,1.98,1.27,0.23,0.16,299.0,58.88,0.91,0.63,,,33.0,,,,,,La-200,La-200,USSR,Aviation,8.0,8.0,8.0
md_452_mystere_2c_preproduction,256.0,78.43,2.13,1.75,2.22,1.85,978.0,62.69,1.19,1.44,0.47,0.59,18.0,,,,,,M.D.452_IIC,M.D.452_IIC,France,Aviation,8.7,8.7,8.7
sea_hawk_fga6,1.0,,,,,,296.0,70.8,0.47,0.61,0.87,1.12,17.0,100.0,2.0,2.0,,,sea_hawk_fga6_shop,Sea_Hawk_FGA.6,Britain,Aviation,8.0,8.0,7.3
sea_venom_faw20,15.0,66.67,1.5,1.92,,0.31,,,,,,,8.0,,,,,,Sea_Venom_FAW_20,Sea_Venom_FAW_20,Britain,Aviation,8.0,8.0,8.0
arado-234,194.0,72.37,,,20.01,15.62,2873.0,55.25,,,2.12,2.94,83.0,100.0,,,,0.38,Ar_234_B-2,Ar_234_B-2,Germany,Aviation,6.3,6.7,6.7
fj_4b,506.0,77.66,0.68,0.64,3.43,3.26,1127.0,53.2,0.64,0.79,1.02,1.26,30.0,100.0,2.88,2.48,,,FJ-4B,FJ-4B,USA,Aviation,9.0,8.7,9.0
f-84g_france,204.0,74.44,1.39,0.89,1.8,1.13,350.0,76.34,0.97,0.92,1.21,1.05,6.0,,,,,,F-84G-26-RE,F-84G-21-RE,USA,Aviation,7.7,7.7,8.0
