name,ab_battles,ab_win_rate,ab_air_frags_per_battle,ab_air_frags_per_death,ab_ground_frags_per_battle,ab_ground_frags_per_death,rb_battles,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death,sb_battles,sb_win_rate,sb_air_frags_per_battle,sb_air_frags_per_death,sb_ground_frags_per_battle,sb_ground_frags_per_death,alt_name,wk_name,nation,cls,ab_br,rb_br,sb_br,ab_repair,rb_repair,sb_repair,is_premium,ab_rp_rate,ab_sl_rate,rb_rp_rate,rb_sl_rate,sb_rp_rate,sb_sl_rate
saab_jas39c_hungary,24.0,100.0,7.54,7.54,0.46,0.46,1483.0,62.56,1.09,1.35,1.05,1.28,3.0,,,1.0,,1.0,◔JAS39EBS_HU_C,saab_jas39c_hungary,Italy,Aviation,13.7,13.7,13.7,4429.0,12782.0,15051.0,False,256.0,90.0,256.0,320.0,256.0,500.0
mig_29_9_12b_hungary,6.0,100.0,1.0,1.0,,,110.0,62.92,0.88,0.95,0.2,0.23,16.0,,,1.5,,,◔MiG-29,mig_29_9_12b_hungary,Italy,Aviation,12.7,12.7,12.7,4396.0,12699.0,14977.0,False,250.0,90.0,250.0,320.0,250.0,490.0
su_27sm,1056.0,85.89,6.12,7.48,0.38,0.44,12466.0,59.35,1.56,1.92,0.13,0.15,793.0,38.6,8.59,2.02,0.74,0.14,Su-27SM,su_27sm,USSR,Aviation,13.7,13.7,13.7,4469.0,12858.0,15153.0,False,262.0,100.0,262.0,320.0,262.0,500.0
f_15c_msip2,2030.0,81.58,3.93,4.23,0.32,0.33,7039.0,58.43,1.76,2.17,0.07,0.09,132.0,,,3.53,,0.24,F-15C_MSIP_II,f_15c_msip2,USA,Aviation,13.7,13.7,13.7,4467.0,12850.0,15144.0,False,262.0,100.0,262.0,320.0,262.0,500.0
f_15j_kai,25.0,100.0,8.2,2.4,2.0,,1284.0,60.42,2.23,2.68,0.04,0.04,45.0,,,2.93,,,F-15J(M),f_15j_kai,Japan,Aviation,13.7,13.7,13.7,4467.0,12850.0,15144.0,False,262.0,100.0,262.0,320.0,262.0,500.0
saab_jas39c,22.0,,,6.0,,,2056.0,62.56,1.41,1.79,0.26,0.34,204.0,5.0,14.9,3.07,0.05,0.03,JAS39C,saab_jas39c,Sweden,Aviation,13.7,13.7,13.7,4465.0,12845.0,15139.0,False,262.0,100.0,262.0,320.0,262.0,500.0
mig-21_bison,,,,,,,2386.0,62.77,1.33,1.78,0.11,0.15,55.0,100.0,,0.38,,,MiG-21_Bison,mig-21_bison,Britain,Aviation,12.3,12.3,12.3,2083.0,6315.0,7096.0,True,512.0,200.0,512.0,640.0,512.0,1100.0
f-4f_kws_lv,35.0,,,5.58,,,1749.0,58.1,1.47,1.57,0.43,0.45,20.0,,,1.0,,,◄F-4F_KWS_LV,f-4f_kws_lv,Germany,Aviation,13.0,13.0,13.0,4426.0,12775.0,15043.0,False,256.0,90.0,256.0,320.0,256.0,500.0
j_11a,75.0,80.13,3.92,6.02,0.9,1.13,276.0,54.16,2.44,2.27,0.04,0.06,,,,,,,J-11A,j_11a,China,Aviation,13.7,13.7,13.7,4466.0,12847.0,15143.0,False,262.0,100.0,262.0,320.0,262.0,500.0
f_15c_baz_msip,49.0,99.15,3.87,4.14,0.03,0.06,553.0,54.03,1.58,2.43,0.03,0.09,28.0,,,0.53,,,Baz_Meshupar,f_15c_baz_msip,Israel,Aviation,13.7,13.7,13.7,4467.0,12850.0,15144.0,False,262.0,100.0,262.0,320.0,262.0,500.0
av_8b_plus,589.0,72.54,3.8,4.65,0.92,1.15,1136.0,53.65,1.46,1.56,0.65,0.7,88.0,,,2.2,,1.04,AV-8B_Plus,av_8b_plus,USA,Aviation,13.0,13.0,13.0,5624.0,12675.0,17489.0,False,256.0,80.0,256.0,290.0,256.0,530.0
f_16a_block_15_belgium,16.0,100.0,2.79,3.33,4.04,5.25,162.0,62.6,1.13,1.35,0.86,1.04,38.0,,,3.36,,0.6,F-16A,f_16a_block_15_belgium,France,Aviation,13.0,13.0,13.0,4388.0,12677.0,14951.0,False,250.0,90.0,250.0,320.0,250.0,490.0
