name,ab_battles,ab_win_rate,ab_air_frags_per_battle,ab_air_frags_per_death,ab_ground_frags_per_battle,ab_ground_frags_per_death,rb_battles,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death,sb_battles,sb_win_rate,sb_air_frags_per_battle,sb_air_frags_per_death,sb_ground_frags_per_battle,sb_ground_frags_per_death,alt_name,wk_name,nation,cls,ab_br,rb_br,sb_br
f-100d,936.0,59.96,1.37,1.21,1.17,1.02,4715.0,61.99,0.66,0.76,0.38,0.45,324.0,77.93,6.89,4.4,1.04,0.72,F-100D,F-100D,USA,Aviation,9.7,10.0,9.7
mig-19pt,575.0,54.55,2.66,2.77,0.12,0.13,2454.0,51.87,1.07,1.43,0.04,0.05,159.0,18.33,7.9,8.48,,,MiG-19PT,MiG-19PT,USSR,Aviation,10.3,10.3,10.3
javelin_fmk9,242.0,67.65,1.39,1.1,0.21,0.19,603.0,55.78,1.64,2.61,0.1,0.12,84.0,100.0,5.98,4.18,,,Javelin_F.(A.W.)_Mk.9,Javelin_F.(A.W.)_Mk.9,Britain,Aviation,8.7,8.7,8.7
f-86k_late,634.0,64.23,2.8,2.8,0.31,0.31,1597.0,71.13,2.08,3.68,0.08,0.1,61.0,100.0,7.0,7.63,,,F-86K,F-86K_(France),France,Aviation,9.0,9.0,9.3
hunter_f6,315.0,47.17,2.36,2.07,0.48,0.42,5161.0,64.48,1.74,2.39,0.34,0.45,242.0,89.57,18.43,13.98,0.04,0.03,Hunter_F.6,Hunter_F.6,Britain,Aviation,10.0,10.0,9.7
md_450b_barougan,190.0,66.49,0.88,0.45,1.95,1.16,413.0,75.49,0.64,0.58,1.38,1.28,132.0,100.0,3.68,1.37,4.59,1.95,M.D.450B_Barougan,M.D.450B_Barougan,France,Aviation,7.7,7.7,7.7
me-262c-2b,106.0,65.48,2.33,2.27,0.16,0.21,310.0,72.94,2.28,4.23,0.11,0.22,49.0,,,0.89,,0.05,Me_262_C-2b,Me_262_C-2b,Germany,Aviation,8.0,8.0,8.0
mig-15bis_ish,41.0,,1.0,0.52,4.0,3.24,1510.0,48.58,0.6,0.66,0.22,0.25,,,,,,,MiG-15bis_ISH,MiG-15bis_ISH,USSR,Aviation,8.7,8.7,9.0
f-86f-35,269.0,53.78,1.14,1.01,0.77,0.95,5588.0,61.73,0.57,0.69,0.44,0.54,,,,,,,F-86F-35,F-86F-35,USA,Aviation,8.3,9.0,9.0
meteor_fmk8_reaper,195.0,60.58,0.9,0.94,3.14,3.27,2608.0,61.56,0.54,0.56,0.89,0.94,1077.0,93.0,8.2,0.91,3.54,0.32,Meteor_F_Mk.8_Reaper,Meteor_F_Mk.8_Reaper,Britain,Aviation,8.0,8.0,8.0
canberra_bmk2,469.0,69.15,,,4.34,4.87,120.0,32.38,,,0.6,1.25,152.0,42.59,,,0.94,0.62,Canberra_B_Mk_2,Canberra_B_Mk_2,Britain,Aviation,7.7,7.7,7.7
yak-17,431.0,56.1,1.84,1.92,0.13,0.13,42.0,2.5,1.25,1.26,,,,,,,,,Yak-17,Yak-17,USSR,Aviation,6.3,6.7,7.0
f-86f-30_japan,65.0,95.37,1.18,0.86,1.93,1.49,526.0,49.08,0.81,0.87,0.2,0.22,,,,,,,F-86F-30_,F-86F-30_(Japan),Japan,Aviation,8.0,9.0,9.0
yak-30d,389.0,53.08,2.05,2.67,0.29,0.4,219.0,68.35,1.47,1.33,0.18,0.18,26.0,,,4.47,,,Yak-30,Yak-30,USSR,Aviation,8.3,8.3,8.0
hunter_f1,538.0,59.23,2.32,2.56,0.38,0.42,2558.0,65.04,1.63,2.31,0.22,0.32,81.0,,,6.09,,0.61,Hunter_F_1,Hunter_F.1,Britain,Aviation,9.0,9.0,9.0
me-163b,211.0,40.59,2.61,5.8,,,298.0,49.1,1.12,1.32,,,20.0,,,1.0,,,Me_163_B,Me_163_B,Germany,Aviation,8.0,8.0,8.0
f-86f-40_japan,63.0,91.74,2.55,1.24,3.17,2.02,380.0,52.07,0.79,0.93,0.59,0.69,5.0,,,,,,F-86F-40_,F-86F-40_(Japan),Japan,Aviation,8.3,9.3,9.3
yak-23,352.0,58.92,2.58,3.66,,,339.0,61.53,1.79,2.75,0.09,0.15,20.0,,,,,,Yak-23,Yak-23,USSR,Aviation,7.7,8.0,7.7
f9f-8,641.0,53.87,0.95,0.97,1.54,1.53,732.0,62.74,1.53,1.75,0.63,0.75,253.0,82.8,11.61,4.66,0.73,0.22,F9F-8,F9F-8,USA,Aviation,8.3,8.3,8.3
f-86a-5,848.0,58.45,1.23,1.13,1.12,1.02,3611.0,60.89,0.76,0.82,0.61,0.67,26.0,,,2.25,,2.0,F-86A-5,F-86A-5,USA,Aviation,8.0,8.7,8.7
f3d_1,240.0,77.82,1.46,0.81,4.1,2.29,920.0,75.15,0.59,0.62,0.59,0.63,76.0,100.0,6.29,5.67,1.07,0.9,F3D-1,F3D-1,USA,Aviation,7.0,7.0,7.0
r2y2_kai,53.0,97.73,0.39,0.31,3.82,3.15,406.0,62.96,1.55,1.23,1.74,1.29,24.0,,,3.8,,0.07,R2Y2_Kai_V3,R2Y2_Kai_V3,Japan,Aviation,7.3,7.3,7.7
r2y2_v1,59.0,98.28,0.72,0.47,5.09,2.87,429.0,64.06,1.14,0.97,1.01,0.86,1.0,,,,,,R2Y2_Kai_V1,R2Y2_Kai_V1,Japan,Aviation,7.7,7.3,7.3
r2y2_v2,32.0,100.0,,,2.73,2.72,222.0,63.66,2.33,2.31,1.05,1.01,11.0,,,4.2,,,R2Y2_Kai_V2,R2Y2_Kai_V2,Japan,Aviation,7.3,7.3,7.3
me-262a-1a,65.0,31.58,3.34,2.27,1.53,1.3,813.0,40.87,1.6,1.9,0.32,0.37,,,,,,,Me_262_A-1a,Me_262_A-1a,Germany,Aviation,7.3,7.0,7.0
f-86f-2,664.0,61.01,2.5,2.01,0.81,0.65,5616.0,66.57,1.56,2.36,0.19,0.28,12.0,,,,,,F-86F-2,F-86F-2,USA,Aviation,9.0,9.0,9.0
f-86_canadair_german,433.0,54.45,1.25,1.28,0.96,0.96,818.0,52.77,0.87,0.91,0.32,0.33,9.0,,3.0,1.89,,,CL-13A_Mk_5,CL-13A_Mk_5,Germany,Aviation,8.3,9.3,9.0
f-84g,261.0,62.49,1.0,1.21,1.27,1.6,841.0,68.37,0.63,0.66,1.0,1.04,19.0,,,0.73,,0.64,F-84G-21-RE,F-84G-21-RE,USA,Aviation,7.7,7.7,8.0
la_200_toriy,126.0,60.48,0.79,0.63,0.18,0.15,179.0,43.67,1.49,1.32,0.13,0.13,16.0,,,3.0,,,La-200,La-200,USSR,Aviation,8.0,8.0,8.0
md_452_mystere_2c_preproduction,364.0,57.83,1.52,1.63,1.56,1.67,1158.0,56.18,1.39,1.57,0.87,0.95,35.0,,,,,,M.D.452_IIC,M.D.452_IIC,France,Aviation,8.7,8.7,8.7
sea_hawk_fga6,83.0,36.44,1.46,1.31,1.05,1.1,254.0,85.91,0.48,0.33,1.83,1.27,30.0,,,1.41,,0.36,sea_hawk_fga6_shop,Sea_Hawk_FGA.6,Britain,Aviation,8.0,8.0,7.3
sea_venom_faw20,85.0,64.39,1.32,1.26,,,12.0,,,,,,18.0,100.0,2.0,,,,Sea_Venom_FAW_20,Sea_Venom_FAW_20,Britain,Aviation,8.0,8.0,8.0
