name,ab_battles,ab_win_rate,ab_air_frags_per_battle,ab_air_frags_per_death,ab_ground_frags_per_battle,ab_ground_frags_per_death,rb_battles,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death,sb_battles,sb_win_rate,sb_air_frags_per_battle,sb_air_frags_per_death,sb_ground_frags_per_battle,sb_ground_frags_per_death,alt_name,wk_name,nation,cls,ab_br,rb_br,sb_br
etndard_4m,4.0,100.0,1.0,1.0,3.0,3.0,185.0,64.54,1.65,2.13,0.29,0.39,,,,,,,Etendard_IVM,Etendard_IVM,France,Aviation,9.3,9.3,9.3
f-100d,388.0,88.58,0.95,0.82,3.68,3.11,1850.0,48.91,0.49,0.55,0.3,0.32,134.0,100.0,9.85,7.96,0.56,0.42,F-100D,F-100D,USA,Aviation,9.7,10.0,9.7
mig-19pt,477.0,59.19,2.76,3.19,0.19,0.22,2510.0,58.19,0.87,1.18,0.03,0.05,48.0,42.31,5.54,3.43,,,MiG-19PT,MiG-19PT,USSR,Aviation,10.3,10.3,10.3
javelin_fmk9,100.0,82.04,1.06,0.94,,,483.0,50.24,0.91,1.13,,,28.0,,,0.65,,,Javelin_F.(A.W.)_Mk.9,Javelin_F.(A.W.)_Mk.9,Britain,Aviation,8.7,8.7,8.7
f-86k_late,156.0,50.18,3.17,1.85,1.47,0.76,558.0,68.13,1.77,3.04,0.01,0.02,34.0,100.0,3.52,3.55,,,F-86K,F-86K_(France),France,Aviation,9.0,9.0,9.3
hunter_f6,108.0,100.0,3.85,1.75,0.82,0.73,2182.0,63.99,1.73,2.46,0.39,0.56,30.0,,,10.42,,0.75,Hunter_F.6,Hunter_F.6,Britain,Aviation,10.0,10.0,9.7
md_450b_barougan,85.0,42.03,0.55,0.59,0.23,0.26,759.0,57.28,0.44,0.56,0.88,1.15,13.0,,,1.0,,1.0,M.D.450B_Barougan,M.D.450B_Barougan,France,Aviation,7.7,7.7,7.7
me-262c-2b,147.0,69.79,2.75,2.7,0.13,0.12,296.0,66.86,1.92,3.9,0.05,0.11,8.0,,,1.0,,,Me_262_C-2b,Me_262_C-2b,Germany,Aviation,8.0,8.0,8.0
mig-15bis_ish,89.0,99.0,2.11,1.71,4.18,3.03,1136.0,59.09,0.6,0.78,0.41,0.54,22.0,,,,,,MiG-15bis_ISH,MiG-15bis_ISH,USSR,Aviation,8.7,8.7,9.0
f-86f-35,15.0,50.0,0.9,0.96,1.1,1.24,2415.0,53.42,0.6,0.63,0.37,0.4,,,,,,,F-86F-35,F-86F-35,USA,Aviation,8.3,9.0,9.0
meteor_fmk8_reaper,86.0,63.76,0.66,0.49,4.47,3.21,1548.0,63.95,0.41,0.39,1.1,1.06,146.0,77.78,2.28,1.07,,,Meteor_F_Mk.8_Reaper,Meteor_F_Mk.8_Reaper,Britain,Aviation,8.0,8.0,8.0
