name,ab_battles,ab_win_rate,ab_air_frags_per_battle,ab_air_frags_per_death,ab_ground_frags_per_battle,ab_ground_frags_per_death,rb_battles,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death,sb_battles,sb_win_rate,sb_air_frags_per_battle,sb_air_frags_per_death,sb_ground_frags_per_battle,sb_ground_frags_per_death,alt_name,wk_name,nation,cls,ab_br,rb_br,sb_br
f-100d,1004.0,60.62,1.5,1.35,1.0,0.91,5314.0,61.64,0.71,0.8,0.35,0.39,428.0,72.26,3.82,2.93,0.71,0.63,F-100D,F-100D,USA,Aviation,9.7,10.0,9.7
mig-19pt,571.0,51.98,2.72,2.97,0.08,0.09,2865.0,51.11,1.1,1.46,0.07,0.08,168.0,29.75,5.66,6.64,,,MiG-19PT,MiG-19PT,USSR,Aviation,10.3,10.3,10.3
javelin_fmk9,295.0,63.34,1.41,1.18,0.3,0.26,614.0,53.23,1.48,2.07,0.09,0.09,109.0,100.0,6.37,4.96,,,Javelin_F.(A.W.)_Mk.9,Javelin_F.(A.W.)_Mk.9,Britain,Aviation,8.7,8.7,8.7
f-86k_late,605.0,62.61,2.97,2.81,0.28,0.27,1722.0,70.43,1.89,2.89,0.08,0.1,61.0,100.0,9.0,8.11,,,F-86K,F-86K_(France),France,Aviation,9.0,9.0,9.3
hunter_f6,210.0,40.87,3.41,2.65,0.76,0.59,6330.0,64.08,1.7,2.39,0.3,0.42,313.0,82.95,15.19,11.72,0.13,0.14,Hunter_F.6,Hunter_F.6,Britain,Aviation,10.0,10.0,9.7
md_450b_barougan,182.0,72.05,0.55,0.45,1.51,1.22,476.0,67.95,0.77,0.65,1.53,1.31,104.0,100.0,3.17,1.15,5.42,2.03,M.D.450B_Barougan,M.D.450B_Barougan,France,Aviation,7.7,7.7,7.7
me-262c-2b,148.0,64.5,2.45,2.17,0.25,0.26,229.0,79.63,2.34,3.96,0.09,0.12,40.0,,,0.88,,,Me_262_C-2b,Me_262_C-2b,Germany,Aviation,8.0,8.0,8.0
mig-15bis_ish,75.0,31.85,0.83,0.66,2.28,2.87,1537.0,49.78,0.62,0.68,0.22,0.26,,,,,,,MiG-15bis_ISH,MiG-15bis_ISH,USSR,Aviation,8.7,8.7,9.0
f-86f-35,340.0,53.07,1.08,0.94,0.75,0.64,5718.0,60.21,0.58,0.72,0.47,0.56,8.0,,,,,,F-86F-35,F-86F-35,USA,Aviation,8.3,9.0,9.0
meteor_fmk8_reaper,167.0,62.78,1.11,1.13,3.17,3.26,2643.0,62.33,0.57,0.6,0.98,1.04,1305.0,85.06,6.52,0.68,3.1,0.33,Meteor_F_Mk.8_Reaper,Meteor_F_Mk.8_Reaper,Britain,Aviation,8.0,8.0,8.0
canberra_bmk2,539.0,65.24,,,4.35,5.1,115.0,10.53,,,0.54,1.06,237.0,52.78,,,0.83,0.43,Canberra_B_Mk_2,Canberra_B_Mk_2,Britain,Aviation,7.7,7.7,7.7
yak-17,343.0,59.24,1.8,1.99,0.1,0.11,51.0,37.5,1.56,1.03,,,,,,,,,Yak-17,Yak-17,USSR,Aviation,6.3,6.7,7.0
f-86f-30_japan,81.0,83.33,1.13,0.91,1.34,1.1,565.0,56.69,0.76,0.95,0.22,0.31,2.0,,,,,,F-86F-30_,F-86F-30_(Japan),Japan,Aviation,8.0,9.0,9.0
yak-30d,373.0,56.61,1.88,2.48,0.35,0.47,316.0,54.96,1.4,1.56,0.16,0.16,68.0,50.0,5.25,4.12,,,Yak-30,Yak-30,USSR,Aviation,8.3,8.3,8.0
hunter_f1,506.0,60.58,2.59,2.65,0.39,0.4,2859.0,64.0,1.63,2.16,0.28,0.37,114.0,,,7.21,,0.85,Hunter_F_1,Hunter_F.1,Britain,Aviation,9.0,9.0,9.0
me-163b,245.0,45.53,2.82,6.07,,,331.0,40.42,1.15,1.31,,,31.0,,,1.4,,,Me_163_B,Me_163_B,Germany,Aviation,8.0,8.0,8.0
f-86f-40_japan,107.0,82.14,2.7,1.78,2.59,1.59,381.0,49.54,0.88,1.1,0.69,0.88,9.0,,,,,,F-86F-40_,F-86F-40_(Japan),Japan,Aviation,8.3,9.3,9.3
yak-23,285.0,60.65,2.5,3.23,0.08,0.09,407.0,64.06,1.62,2.61,0.17,0.3,25.0,,2.0,,,,Yak-23,Yak-23,USSR,Aviation,7.7,8.0,7.7
f9f-8,592.0,53.51,0.96,0.98,1.44,1.44,714.0,61.41,1.61,1.63,0.54,0.57,307.0,76.17,9.92,4.79,0.62,0.27,F9F-8,F9F-8,USA,Aviation,8.3,8.3,8.3
f-86a-5,913.0,58.5,1.12,0.99,1.21,1.06,4094.0,62.09,0.8,0.92,0.59,0.68,30.0,,,1.76,,1.53,F-86A-5,F-86A-5,USA,Aviation,8.0,8.7,8.7
f3d_1,229.0,72.33,1.19,0.83,3.15,2.29,844.0,77.04,0.6,0.61,0.65,0.68,74.0,90.0,4.87,3.44,0.57,0.3,F3D-1,F3D-1,USA,Aviation,7.0,7.0,7.0
r2y2_kai,52.0,100.0,0.2,0.22,3.5,3.35,391.0,63.76,1.68,1.43,1.41,1.18,47.0,16.67,6.0,5.24,0.83,0.5,R2Y2_Kai_V3,R2Y2_Kai_V3,Japan,Aviation,7.3,7.3,7.7
r2y2_v1,63.0,100.0,0.18,0.15,5.96,2.94,469.0,65.38,1.25,1.15,0.98,0.9,15.0,,,,,,R2Y2_Kai_V1,R2Y2_Kai_V1,Japan,Aviation,7.7,7.3,7.3
r2y2_v2,31.0,100.0,,,3.16,3.0,209.0,63.33,2.88,3.15,1.3,1.39,17.0,,,3.86,,,R2Y2_Kai_V2,R2Y2_Kai_V2,Japan,Aviation,7.3,7.3,7.3
me-262a-1a,59.0,31.25,3.13,2.23,1.06,1.09,871.0,44.64,1.47,1.81,0.3,0.35,8.0,,,13.25,,,Me_262_A-1a,Me_262_A-1a,Germany,Aviation,7.3,7.0,7.0
f-86f-2,786.0,56.96,2.45,1.89,0.86,0.66,5720.0,66.62,1.61,2.39,0.18,0.26,28.0,,,,,,F-86F-2,F-86F-2,USA,Aviation,9.0,9.0,9.0
f-86_canadair_german,483.0,55.65,1.53,1.37,1.21,1.04,879.0,52.31,0.81,0.82,0.27,0.27,18.0,,3.0,2.44,,,CL-13A_Mk_5,CL-13A_Mk_5,Germany,Aviation,8.3,9.3,9.0
f-84g,300.0,63.72,0.9,0.99,0.95,1.06,858.0,67.81,0.68,0.72,1.0,1.06,44.0,,,1.28,,0.64,F-84G-21-RE,F-84G-21-RE,USA,Aviation,7.7,7.7,8.0
la_200_toriy,123.0,75.77,0.84,0.54,0.1,0.09,184.0,50.71,1.41,1.39,0.19,0.21,25.0,,,3.0,,,La-200,La-200,USSR,Aviation,8.0,8.0,8.0
md_452_mystere_2c_preproduction,365.0,57.79,1.37,1.57,1.56,1.8,1268.0,54.0,1.36,1.41,0.94,0.97,44.0,,,,,,M.D.452_IIC,M.D.452_IIC,France,Aviation,8.7,8.7,8.7
sea_hawk_fga6,119.0,43.37,1.51,1.25,0.81,0.68,276.0,78.99,0.34,0.22,1.39,0.93,29.0,,,1.62,,0.31,sea_hawk_fga6_shop,Sea_Hawk_FGA.6,Britain,Aviation,8.0,8.0,7.3
sea_venom_faw20,80.0,57.64,1.2,1.85,,,2.0,,,,,,23.0,100.0,1.76,,,,Sea_Venom_FAW_20,Sea_Venom_FAW_20,Britain,Aviation,8.0,8.0,8.0
arado-234,192.0,94.45,,,23.71,11.34,1466.0,54.31,,,3.14,3.77,24.0,,,,,,Ar_234_B-2,Ar_234_B-2,Germany,Aviation,6.3,6.7,6.7
fj_4b,492.0,59.01,0.8,0.82,1.51,1.56,1151.0,73.24,0.74,0.84,0.94,1.06,126.0,94.67,3.69,3.15,0.53,0.32,FJ-4B,FJ-4B,USA,Aviation,9.0,8.7,9.0
f-84g_france,214.0,73.33,1.26,1.34,1.56,1.68,385.0,49.72,1.05,0.8,1.18,0.88,111.0,90.0,5.9,1.21,2.0,0.49,F-84G-26-RE,F-84G-26-RE_(France),France,Aviation,7.7,7.7,8.0
tu_14t,296.0,75.8,0.33,0.36,4.43,4.41,208.0,51.49,0.2,0.2,0.15,0.15,61.0,,,,,,Tu-14T,Tu-14T,USSR,Aviation,8.0,8.0,8.0
il_28sh,558.0,72.33,0.36,0.3,4.88,3.97,2798.0,57.56,0.21,0.19,1.24,1.13,1102.0,54.63,0.49,0.35,1.46,1.03,IL-28Sh,IL-28Sh,USSR,Aviation,8.0,8.0,8.0
mig-15bis_nr23_german,832.0,54.15,2.82,3.1,0.28,0.31,4300.0,57.77,1.13,1.57,0.13,0.18,5.0,,,,,,MiG-15bis,MiG-15bis_(Germany),Germany,Aviation,8.7,8.7,9.0
attaker_fb1,112.0,74.17,0.79,0.89,1.53,1.75,534.0,83.27,1.26,2.09,0.72,1.19,13.0,,,,,,Attacker_FB_1,Attacker_FB_1,Britain,Aviation,7.7,7.0,7.3
f-86f-25,631.0,64.9,0.86,0.71,1.16,0.96,908.0,56.43,1.04,1.29,0.25,0.31,9.0,100.0,,,,,F-86F-25,F-86F-25,USA,Aviation,8.0,9.0,9.0
me-262a-2a,20.0,100.0,1.0,1.0,5.0,3.25,319.0,81.27,2.29,2.26,1.85,1.93,1.0,,,,,,Me_262_A-2a,Me_262_A-2a,Germany,Aviation,6.3,6.7,6.7
fj_4b_agm_12b,350.0,55.89,0.54,0.52,1.66,1.58,8862.0,76.57,0.57,0.63,1.72,1.9,166.0,84.08,1.62,0.68,2.08,0.84,FJ-4B_VMF-232,FJ-4B_VMF-232,USA,Aviation,9.0,8.7,9.0
la-15,283.0,60.57,1.76,2.16,0.16,0.2,580.0,53.48,1.41,1.62,0.08,0.13,55.0,,,0.51,,0.14,La-15,La-15,USSR,Aviation,8.0,8.0,8.0
he-162a-2,130.0,50.0,6.5,3.92,0.73,0.5,416.0,55.3,2.51,3.74,0.46,0.67,2.0,,,,,,He_162_A-2,He_162_A-2,Germany,Aviation,6.3,6.3,6.7
yak-15_early,193.0,49.78,1.09,1.29,0.16,0.18,54.0,44.44,1.06,1.88,,,,,,,,,Yak-15P,Yak-15P,USSR,Aviation,6.0,6.3,6.7
