name,ab_battles,ab_win_rate,ab_air_frags_per_battle,ab_air_frags_per_death,ab_ground_frags_per_battle,ab_ground_frags_per_death,rb_battles,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death,sb_battles,sb_win_rate,sb_air_frags_per_battle,sb_air_frags_per_death,sb_ground_frags_per_battle,sb_ground_frags_per_death,alt_name,wk_name,nation,cls,ab_br,rb_br,sb_br
f-100d,978.0,60.63,1.39,1.24,1.14,1.01,4980.0,61.81,0.67,0.77,0.37,0.43,364.0,77.47,6.49,4.05,1.04,0.72,F-100D,F-100D,USA,Aviation,9.7,10.0,9.7
mig-19pt,599.0,53.06,2.67,2.74,0.11,0.12,2588.0,51.55,1.08,1.44,0.05,0.05,162.0,20.29,7.2,7.87,,,MiG-19PT,MiG-19PT,USSR,Aviation,10.3,10.3,10.3
javelin_fmk9,265.0,65.71,1.36,1.12,0.24,0.22,602.0,54.87,1.59,2.5,0.1,0.11,92.0,100.0,6.17,4.33,,,Javelin_F.(A.W.)_Mk.9,Javelin_F.(A.W.)_Mk.9,Britain,Aviation,8.7,8.7,8.7
f-86k_late,634.0,63.72,2.86,2.81,0.3,0.3,1661.0,70.85,2.02,3.33,0.08,0.1,64.0,100.0,7.3,7.75,,,F-86K,F-86K_(France),France,Aviation,9.0,9.0,9.3
hunter_f6,284.0,46.19,2.69,2.18,0.55,0.44,5523.0,64.26,1.73,2.39,0.33,0.44,272.0,87.95,17.51,13.37,0.07,0.06,Hunter_F.6,Hunter_F.6,Britain,Aviation,10.0,10.0,9.7
md_450b_barougan,194.0,65.96,0.71,0.45,1.77,1.21,429.0,74.37,0.7,0.61,1.48,1.3,126.0,100.0,3.37,1.21,4.95,1.92,M.D.450B_Barougan,M.D.450B_Barougan,France,Aviation,7.7,7.7,7.7
me-262c-2b,121.0,64.71,2.41,2.22,0.2,0.23,279.0,74.88,2.34,4.18,0.1,0.19,46.0,,,0.89,,,Me_262_C-2b,Me_262_C-2b,Germany,Aviation,8.0,8.0,8.0
mig-15bis_ish,53.0,17.28,0.81,0.54,3.21,3.22,1518.0,48.22,0.6,0.66,0.21,0.25,,,,,,,MiG-15bis_ISH,MiG-15bis_ISH,USSR,Aviation,8.7,8.7,9.0
f-86f-35,302.0,53.78,1.11,0.98,0.74,0.92,5747.0,61.44,0.57,0.7,0.45,0.55,2.0,,,,,,F-86F-35,F-86F-35,USA,Aviation,8.3,9.0,9.0
meteor_fmk8_reaper,187.0,61.55,0.95,0.97,3.18,3.28,2694.0,61.69,0.55,0.58,0.9,0.96,1183.0,90.6,8.04,0.91,3.6,0.33,Meteor_F_Mk.8_Reaper,Meteor_F_Mk.8_Reaper,Britain,Aviation,8.0,8.0,8.0
canberra_bmk2,502.0,68.24,,,4.24,4.92,120.0,26.5,,,0.48,1.13,188.0,48.61,,,0.96,0.54,Canberra_B_Mk_2,Canberra_B_Mk_2,Britain,Aviation,7.7,7.7,7.7
yak-17,416.0,57.57,1.79,1.91,0.11,0.11,42.0,,1.18,1.15,,,,,,,,,Yak-17,Yak-17,USSR,Aviation,6.3,6.7,7.0
f-86f-30_japan,70.0,89.82,1.29,0.97,1.66,1.31,550.0,50.13,0.77,0.9,0.2,0.25,,,,,,,F-86F-30_,F-86F-30_(Japan),Japan,Aviation,8.0,9.0,9.0
yak-30d,387.0,53.55,1.97,2.58,0.3,0.41,257.0,63.51,1.49,1.45,0.18,0.18,33.0,,,4.33,,,Yak-30,Yak-30,USSR,Aviation,8.3,8.3,8.0
hunter_f1,542.0,59.52,2.32,2.55,0.38,0.42,2709.0,65.05,1.63,2.27,0.25,0.34,91.0,,,6.13,,0.61,Hunter_F_1,Hunter_F.1,Britain,Aviation,9.0,9.0,9.0
me-163b,222.0,42.25,2.71,5.95,,,302.0,46.6,1.15,1.34,,,24.0,,,1.0,,,Me_163_B,Me_163_B,Germany,Aviation,8.0,8.0,8.0
f-86f-40_japan,78.0,86.52,2.68,1.34,3.01,1.9,373.0,51.14,0.8,0.96,0.62,0.75,8.0,,,,,,F-86F-40_,F-86F-40_(Japan),Japan,Aviation,8.3,9.3,9.3
yak-23,336.0,58.55,2.55,3.48,,,368.0,61.53,1.72,2.67,0.12,0.2,21.0,,,,,,Yak-23,Yak-23,USSR,Aviation,7.7,8.0,7.7
f9f-8,637.0,53.8,0.92,0.95,1.5,1.52,756.0,61.79,1.55,1.7,0.6,0.7,272.0,79.03,11.96,4.67,0.84,0.26,F9F-8,F9F-8,USA,Aviation,8.3,8.3,8.3
f-86a-5,877.0,58.92,1.19,1.09,1.13,1.02,3825.0,61.34,0.77,0.85,0.61,0.67,29.0,,,2.18,,2.0,F-86A-5,F-86A-5,USA,Aviation,8.0,8.7,8.7
f3d_1,245.0,77.24,1.4,0.8,4.05,2.33,916.0,75.65,0.59,0.62,0.6,0.64,75.0,100.0,6.3,5.28,1.05,0.85,F3D-1,F3D-1,USA,Aviation,7.0,7.0,7.0
r2y2_kai,53.0,97.73,0.25,0.21,3.68,3.05,403.0,62.7,1.58,1.26,1.73,1.28,30.0,,8.0,4.6,1.0,0.27,R2Y2_Kai_V3,R2Y2_Kai_V3,Japan,Aviation,7.3,7.3,7.7
r2y2_v1,59.0,98.28,0.62,0.37,5.41,2.84,444.0,63.67,1.18,1.05,1.01,0.9,7.0,,,,,,R2Y2_Kai_V1,R2Y2_Kai_V1,Japan,Aviation,7.7,7.3,7.3
r2y2_v2,32.0,100.0,,,2.79,2.66,219.0,61.08,2.56,2.6,1.08,1.08,13.0,,,3.94,,,R2Y2_Kai_V2,R2Y2_Kai_V2,Japan,Aviation,7.3,7.3,7.3
me-262a-1a,61.0,33.33,3.36,2.33,1.47,1.29,841.0,42.3,1.57,1.91,0.32,0.38,2.0,,,,,,Me_262_A-1a,Me_262_A-1a,Germany,Aviation,7.3,7.0,7.0
f-86f-2,715.0,59.78,2.49,1.97,0.83,0.65,5740.0,66.61,1.58,2.36,0.18,0.27,18.0,,,,,,F-86F-2,F-86F-2,USA,Aviation,9.0,9.0,9.0
f-86_canadair_german,455.0,55.1,1.33,1.35,0.98,0.99,857.0,53.03,0.85,0.86,0.3,0.3,12.0,,3.0,2.17,,,CL-13A_Mk_5,CL-13A_Mk_5,Germany,Aviation,8.3,9.3,9.0
f-84g,281.0,63.12,1.0,1.16,1.16,1.41,891.0,68.73,0.65,0.68,0.98,1.02,23.0,,,0.54,,0.63,F-84G-21-RE,F-84G-21-RE,USA,Aviation,7.7,7.7,8.0
la_200_toriy,129.0,65.42,0.82,0.62,0.15,0.13,183.0,45.27,1.47,1.3,0.15,0.15,19.0,,,3.0,,,La-200,La-200,USSR,Aviation,8.0,8.0,8.0
md_452_mystere_2c_preproduction,372.0,57.94,1.47,1.61,1.56,1.72,1216.0,55.02,1.38,1.55,0.9,0.98,39.0,,,,,,M.D.452_IIC,M.D.452_IIC,France,Aviation,8.7,8.7,8.7
sea_hawk_fga6,95.0,38.16,1.48,1.3,0.97,0.96,259.0,83.22,0.43,0.27,1.68,1.13,30.0,,,1.48,,0.4,sea_hawk_fga6_shop,Sea_Hawk_FGA.6,Britain,Aviation,8.0,8.0,7.3
sea_venom_faw20,86.0,63.64,1.36,1.4,,,9.0,,,,,,21.0,100.0,1.84,,,,Sea_Venom_FAW_20,Sea_Venom_FAW_20,Britain,Aviation,8.0,8.0,8.0
arado-234,176.0,100.0,,,27.14,10.83,1418.0,56.7,,,3.35,3.85,28.0,,,,,,Ar_234_B-2,Ar_234_B-2,Germany,Aviation,6.3,6.7,6.7
fj_4b,469.0,59.95,0.83,0.8,1.6,1.52,1136.0,70.24,0.71,0.81,1.01,1.15,100.0,100.0,4.16,3.41,0.63,0.32,FJ-4B,FJ-4B,USA,Aviation,9.0,8.7,9.0
f-84g_france,239.0,75.26,1.52,1.46,1.38,1.4,365.0,48.6,0.93,0.78,1.2,1.02,100.0,100.0,6.0,0.95,2.0,0.32,F-84G-26-RE,F-84G-21-RE,USA,Aviation,7.7,7.7,8.0
tu_14t,303.0,74.15,0.31,0.34,4.05,4.04,214.0,49.68,0.24,0.23,0.09,0.09,52.0,,,,,,Tu-14T,Tu-14T,USSR,Aviation,8.0,8.0,8.0
il_28sh,666.0,66.83,0.35,0.3,4.06,3.46,2344.0,56.88,0.19,0.16,1.23,1.1,1014.0,54.33,0.54,0.36,1.61,1.09,IL-28Sh,IL-28Sh,USSR,Aviation,8.0,8.0,8.0
mig-15bis_nr23_german,774.0,53.42,3.22,3.42,0.33,0.35,3542.0,57.43,1.15,1.55,0.14,0.18,12.0,,,,,,MiG-15bis,MiG-15bis_(Germany),Germany,Aviation,8.7,8.7,9.0
attaker_fb1,102.0,79.94,0.78,0.78,1.55,1.61,529.0,88.14,1.26,1.86,0.76,1.11,7.0,,,,,,Attacker_FB_1,Attacker_FB_1,Britain,Aviation,7.7,7.0,7.3
f-86f-25,638.0,66.57,0.92,0.77,1.11,0.94,1006.0,54.73,0.99,1.32,0.28,0.36,8.0,100.0,,,,,F-86F-25,F-86F-25,USA,Aviation,8.0,9.0,9.0
me-262a-2a,23.0,100.0,1.0,1.05,5.0,2.42,283.0,82.33,2.02,2.14,1.85,2.09,,,,,,,Me_262_A-2a,Me_262_A-2a,Germany,Aviation,6.3,6.7,6.7
fj_4b_agm_12b,331.0,58.98,0.48,0.46,1.77,1.72,8431.0,76.49,0.55,0.63,1.74,1.93,126.0,86.91,1.68,0.7,2.38,0.88,FJ-4B_VMF-232,FJ-4B_VMF-232,USA,Aviation,9.0,8.7,9.0
la-15,328.0,58.41,1.75,2.34,0.17,0.23,505.0,56.26,1.25,1.36,0.06,0.09,47.0,,,0.52,,0.03,La-15,La-15,USSR,Aviation,8.0,8.0,8.0
he-162a-2,112.0,40.91,6.82,4.01,0.73,0.52,417.0,55.05,2.7,4.06,0.37,0.57,9.0,,,,,,He_162_A-2,He_162_A-2,Germany,Aviation,6.3,6.3,6.7
yak-15_early,211.0,49.46,0.99,1.13,0.1,0.12,58.0,45.65,0.89,1.8,,,,,,,,,Yak-15P,Yak-15P,USSR,Aviation,6.0,6.3,6.7
