name,ab_battles,ab_win_rate,ab_air_frags_per_battle,ab_air_frags_per_death,ab_ground_frags_per_battle,ab_ground_frags_per_death,rb_battles,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death,sb_battles,sb_win_rate,sb_air_frags_per_battle,sb_air_frags_per_death,sb_ground_frags_per_battle,sb_ground_frags_per_death,alt_name,wk_name,nation,cls,ab_br,rb_br,sb_br,ab_repair,rb_repair,sb_repair,is_premium,ab_rp_rate,ab_sl_rate,rb_rp_rate,rb_sl_rate,sb_rp_rate,sb_sl_rate
etndard_4m,46.0,80.56,0.82,1.0,5.27,4.57,760.0,55.55,1.36,1.66,1.58,1.94,,,,,,,Etendard_IVM,Etendard_IVM,France,Aviation,9.3,9.0,9.3,5150.0,14092.0,27180.0,False,220.0,110.0,220.0,310.0,220.0,460.0
f-100d,366.0,69.16,3.88,1.37,4.25,1.36,707.0,62.18,0.96,1.42,0.97,1.45,,,,,,,F-100D,F-100D,USA,Aviation,9.3,9.7,9.7,4660.0,16036.0,19076.0,False,220.0,110.0,220.0,370.0,220.0,490.0
mig-19pt,485.0,64.9,2.34,2.24,0.93,0.87,1054.0,49.77,1.65,1.88,0.42,0.47,2.0,,,1.0,,,MiG-19PT,MiG-19PT,USSR,Aviation,9.7,9.7,9.7,6711.0,15467.0,16220.0,False,214.0,120.0,214.0,380.0,214.0,600.0
javelin_fmk9,228.0,71.58,1.48,1.15,0.41,0.36,322.0,67.52,2.45,3.53,0.39,0.52,18.0,,,1.0,,,Javelin_F.(A.W.)_Mk.9,Javelin_F.(A.W.)_Mk.9,Britain,Aviation,8.3,8.3,8.7,3125.0,16144.0,18822.0,False,214.0,110.0,214.0,340.0,214.0,290.0
md_454_mystere_4a,33.0,96.43,1.89,1.79,2.04,1.93,119.0,54.01,2.15,1.72,0.92,0.77,,,,,,,M.D.454_IVA,Mystere_IVA,France,Aviation,9.0,8.7,8.7,9648.0,17653.0,19963.0,False,214.0,90.0,214.0,340.0,214.0,600.0
f-86k_late,55.0,45.0,2.2,2.04,0.98,0.98,43.0,60.0,2.2,2.2,0.4,0.4,,,,,,,F-86K,F-86K_(France),France,Aviation,9.0,9.3,9.3,5228.0,19670.0,28370.0,False,214.0,100.0,214.0,380.0,214.0,220.0
hunter_f6,152.0,44.73,1.75,1.9,0.35,0.38,321.0,51.86,1.23,1.61,0.52,0.71,,,,,,,Hunter_F.6,Hunter_F.6,Britain,Aviation,10.0,10.3,9.7,4892.0,15370.0,19488.0,False,226.0,100.0,226.0,300.0,226.0,370.0
md_450b_barougan,23.0,100.0,1.48,1.48,3.71,3.71,174.0,59.03,0.7,0.77,1.27,1.49,,,,,,,M.D.450B_Barougan,M.D.450B_Barougan,France,Aviation,7.3,7.7,7.7,4006.0,12569.0,18759.0,False,196.0,100.0,196.0,290.0,196.0,450.0
me-262c-2b,41.0,75.0,2.98,3.17,1.29,1.46,321.0,83.88,2.78,11.64,1.03,4.68,,,,,,,Me_262_C-2b,Me_262_C-2b,Germany,Aviation,8.0,8.0,8.0,5321.0,18574.0,10351.0,False,202.0,110.0,202.0,290.0,202.0,490.0
mig-15bis_ish,51.0,50.15,0.77,1.04,1.81,2.7,651.0,65.41,1.14,1.6,1.77,2.47,,,,,,,MiG-15bis_ISH,MiG-15bis_ISH,USSR,Aviation,8.7,8.3,8.7,2900.0,3060.0,8800.0,True,416.0,180.0,416.0,460.0,416.0,560.0
f-86f-35,36.0,100.0,,,2.81,2.81,668.0,47.05,1.19,1.65,1.29,1.86,6.0,,,,,,F-86F-35,F-86F-35,USA,Aviation,7.3,8.7,9.0,4200.0,4860.0,10000.0,True,464.0,200.0,464.0,520.0,464.0,620.0
