name,ab_battles,ab_win_rate,ab_air_frags_per_battle,ab_air_frags_per_death,ab_ground_frags_per_battle,ab_ground_frags_per_death,rb_battles,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death,sb_battles,sb_win_rate,sb_air_frags_per_battle,sb_air_frags_per_death,sb_ground_frags_per_battle,sb_ground_frags_per_death,alt_name,wk_name,nation,cls,ab_br,rb_br,sb_br,ab_repair,rb_repair,sb_repair,is_premium,ab_rp_rate,ab_sl_rate,rb_rp_rate,rb_sl_rate,sb_rp_rate,sb_sl_rate
etndard_4m,,,,,,,801.0,49.38,1.63,1.61,1.54,1.51,,,,,,,Etendard_IVM,Etendard_IVM,France,Aviation,9.3,9.0,9.3,4620.0,10817.0,41218.0,False,220.0,90.0,220.0,300.0,220.0,330.0
f-100d,770.0,61.76,1.38,1.35,1.7,1.67,1186.0,76.87,1.95,2.07,1.67,1.81,32.0,,,0.9,,,F-100D,F-100D,USA,Aviation,9.3,9.7,9.7,2566.0,9619.0,10983.0,False,220.0,90.0,220.0,300.0,220.0,350.0
mig-19pt,699.0,53.48,2.36,2.23,0.22,0.2,2405.0,45.61,1.43,1.72,0.42,0.51,,,,,,,MiG-19PT,MiG-19PT,USSR,Aviation,9.7,9.7,9.7,5877.0,9683.0,14431.0,False,214.0,120.0,214.0,320.0,214.0,470.0
javelin_fmk9,86.0,27.96,1.9,2.16,0.45,0.55,290.0,74.6,3.81,3.87,2.54,2.58,24.0,,,,,,Javelin_F.(A.W.)_Mk.9,Javelin_F.(A.W.)_Mk.9,Britain,Aviation,8.3,8.3,8.7,2582.0,8452.0,17531.0,False,214.0,90.0,214.0,310.0,214.0,380.0
md_454_mystere_4a,27.0,,,,3.0,2.46,159.0,42.13,1.4,1.6,2.36,2.59,,,,,,,M.D.454_IVA,Mystere_IVA,France,Aviation,9.0,8.7,8.7,11619.0,10559.0,23483.0,False,214.0,90.0,214.0,300.0,214.0,600.0
f-86k_late,77.0,61.54,2.17,1.98,0.25,0.21,83.0,100.0,5.36,2.4,1.93,2.69,,,,,,,F-86K,F-86K_(France),France,Aviation,9.0,9.3,9.3,5539.0,20264.0,38111.0,False,214.0,90.0,214.0,350.0,214.0,320.0
hunter_f6,72.0,81.11,3.16,2.37,1.61,1.33,224.0,66.35,2.69,3.26,2.68,3.09,,,,,,,Hunter_F.6,Hunter_F.6,Britain,Aviation,10.0,10.3,9.7,4077.0,16308.0,13318.0,False,226.0,80.0,226.0,270.0,226.0,370.0
md_450b_barougan,57.0,47.44,1.44,2.59,1.5,2.42,227.0,61.24,1.92,1.5,2.61,2.11,5.0,,,,,,M.D.450B_Barougan,M.D.450B_Barougan,France,Aviation,7.3,7.7,7.7,2304.0,8870.0,9889.0,False,196.0,80.0,196.0,240.0,196.0,500.0
me-262c-2b,35.0,100.0,2.88,2.22,0.66,0.48,702.0,64.55,2.24,3.91,0.47,0.83,,,,,,,Me_262_C-2b,Me_262_C-2b,Germany,Aviation,8.0,8.0,8.0,4713.0,17738.0,9021.0,False,202.0,110.0,202.0,370.0,202.0,510.0
mig-15bis_ish,72.0,61.29,0.38,0.66,1.23,2.05,734.0,70.13,0.63,0.87,1.39,1.83,8.0,,,,,,MiG-15bis_ISH,MiG-15bis_ISH,USSR,Aviation,8.7,8.3,8.7,2900.0,3480.0,10520.0,True,416.0,200.0,416.0,440.0,416.0,540.0
f-86f-35,206.0,80.84,0.46,0.48,3.09,3.31,629.0,53.68,1.08,1.18,2.27,2.48,2.0,,,,,1.0,F-86F-35,F-86F-35,USA,Aviation,7.3,8.7,9.0,3500.0,4400.0,12570.0,True,464.0,200.0,464.0,500.0,464.0,600.0
meteor_fmk8_reaper,26.0,93.75,0.94,0.4,9.63,5.35,1556.0,61.91,0.75,0.93,0.96,1.19,,,,,,,Meteor_F_Mk.8_Reaper,Meteor_F_Mk.8_Reaper,Britain,Aviation,7.7,8.0,8.0,2900.0,3750.0,3750.0,True,404.0,200.0,404.0,460.0,404.0,580.0
canberra_bmk2,8.0,,,,,,23.0,,,,,,,,,,,,Canberra_B_Mk_2,Canberra_B_Mk_2,Britain,Aviation,8.7,8.3,7.7,12838.0,24879.0,51302.0,False,190.0,100.0,190.0,350.0,190.0,270.0
yak-17,22.0,,,2.32,,,29.0,100.0,2.67,3.33,0.83,1.0,,,,,,,Yak-17,Yak-17,USSR,Aviation,6.3,6.7,7.0,5548.0,22698.0,21033.0,False,202.0,110.0,202.0,290.0,202.0,600.0
f-86f-30_japan,40.0,100.0,1.72,1.72,6.76,6.76,964.0,51.83,0.87,1.12,1.44,1.81,9.0,,,,,1.0,F-86F-30_,F-86F-30_(Japan),Japan,Aviation,8.0,8.7,8.7,4471.0,11564.0,13550.0,False,202.0,100.0,202.0,310.0,202.0,300.0
yak-30d,216.0,50.68,2.03,1.84,0.33,0.33,64.0,64.52,1.79,2.58,0.94,1.37,,,,,,,Yak-30,Yak-30,USSR,Aviation,8.7,8.7,8.0,9929.0,16549.0,27038.0,False,208.0,110.0,208.0,320.0,208.0,340.0
hunter_f1,130.0,40.32,1.8,1.84,1.09,1.11,291.0,78.77,3.22,3.87,2.36,2.9,,,,,,,Hunter_F_1,Hunter_F.1,Britain,Aviation,9.0,9.0,9.0,3533.0,13440.0,19243.0,False,214.0,90.0,214.0,340.0,214.0,350.0
me-163b,42.0,100.0,4.36,4.48,0.23,0.28,290.0,70.08,3.64,9.72,1.15,3.03,,,,,,,Me_163_B,Me_163_B,Germany,Aviation,8.0,8.0,8.0,5782.0,9555.0,6602.0,False,202.0,130.0,202.0,380.0,202.0,440.0
f-86f-40_japan,83.0,91.03,1.78,1.16,10.42,6.99,233.0,51.05,2.23,2.42,3.2,3.44,11.0,,,1.27,,,F-86F-40_,F-86F-40_(Japan),Japan,Aviation,8.3,9.3,9.3,7133.0,14860.0,18819.0,False,208.0,120.0,208.0,370.0,208.0,360.0
yak-23,70.0,52.94,2.82,3.89,,,34.0,86.84,1.16,1.59,1.08,1.29,19.0,,,,,,Yak-23,Yak-23,USSR,Aviation,8.3,8.7,7.7,8196.0,27742.0,23858.0,False,202.0,110.0,202.0,370.0,202.0,450.0
f9f-8,409.0,66.24,2.04,1.82,0.34,0.31,553.0,64.1,2.96,3.14,2.34,2.41,,,,,,,F9F-8,F9F-8,USA,Aviation,8.3,8.3,8.3,3763.0,17203.0,24622.0,False,214.0,90.0,214.0,310.0,214.0,350.0
f-86a-5,318.0,52.39,2.34,1.8,5.35,3.86,876.0,44.2,1.32,1.33,1.46,1.5,,,,,,,F-86A-5,F-86A-5,USA,Aviation,7.7,8.3,8.7,3107.0,10105.0,12213.0,False,202.0,90.0,202.0,330.0,202.0,500.0
f3d_1,98.0,100.0,1.15,0.69,7.72,4.71,841.0,59.6,1.04,0.99,2.32,2.18,,,,,,,F3D-1,F3D-1,USA,Aviation,7.7,7.0,7.0,4957.0,7101.0,16696.0,False,196.0,100.0,196.0,180.0,196.0,440.0
r2y2_kai,26.0,100.0,1.67,1.29,5.83,4.64,140.0,75.7,2.0,3.25,1.99,3.15,38.0,,,6.69,,0.28,R2Y2_Kai_V3,R2Y2_Kai_V3,Japan,Aviation,7.3,7.7,7.7,4312.0,23275.0,26631.0,False,202.0,90.0,202.0,290.0,202.0,330.0
r2y2_v1,88.0,95.97,1.02,0.68,6.17,4.23,601.0,61.29,0.58,0.85,1.11,1.6,,,,,,,R2Y2_Kai_V1,R2Y2_Kai_V1,Japan,Aviation,7.7,7.7,7.0,3613.0,11012.0,36296.0,False,190.0,100.0,190.0,270.0,190.0,270.0
r2y2_v2,87.0,100.0,1.99,1.48,7.51,5.49,227.0,76.08,2.54,3.08,3.54,4.35,7.0,,,,,,R2Y2_Kai_V2,R2Y2_Kai_V2,Japan,Aviation,7.3,7.7,7.3,4324.0,19110.0,27023.0,False,196.0,100.0,196.0,290.0,196.0,330.0
me-262a-1a,156.0,50.0,2.4,1.42,2.4,1.33,372.0,69.95,4.27,2.06,3.45,1.81,,,,,,,Me_262_A-1a,Me_262_A-1a,Germany,Aviation,7.3,7.0,7.0,3142.0,10136.0,18802.0,False,190.0,110.0,190.0,310.0,190.0,450.0
f-86f-2,286.0,72.24,2.69,3.25,1.12,1.33,3756.0,82.12,1.91,3.62,1.69,3.25,5.0,,,,,,F-86F-2,F-86F-2,USA,Aviation,9.0,9.0,9.0,4188.0,22966.0,16387.0,False,214.0,90.0,214.0,310.0,214.0,410.0
f-86_canadair_german,41.0,100.0,1.15,0.96,3.06,2.79,218.0,63.99,1.92,1.38,2.03,1.52,14.0,,,1.0,,,CL-13A_Mk_5,CL-13A_Mk_5,Germany,Aviation,8.3,9.3,9.0,3701.0,12158.0,9835.0,False,214.0,90.0,214.0,290.0,214.0,440.0
f-84g,317.0,66.47,0.75,0.92,3.48,4.17,338.0,39.71,3.34,2.23,5.7,4.03,,,,,,,F-84G-21-RE,F-84G-21-RE,USA,Aviation,7.7,7.7,8.0,3926.0,11282.0,10733.0,False,196.0,90.0,196.0,270.0,196.0,480.0
la_200_toriy,213.0,65.99,2.05,1.81,0.59,0.54,691.0,83.53,2.12,4.09,1.47,2.88,,,,,,,La-200,La-200,USSR,Aviation,7.3,7.7,8.0,2530.0,6041.0,11915.0,False,202.0,100.0,202.0,320.0,202.0,500.0
md_452_mystere_2c_preproduction,54.0,55.77,1.33,1.8,0.98,1.5,456.0,53.84,1.44,1.38,1.72,1.66,,,,,,,M.D.452_IIC,M.D.452_IIC,France,Aviation,8.7,8.3,8.7,3805.0,11388.0,5680.0,False,208.0,90.0,208.0,310.0,208.0,510.0
sea_hawk_fga6,16.0,50.0,0.5,0.62,5.5,3.0,162.0,66.95,1.24,1.73,4.54,6.66,,,,,,,sea_hawk_fga6_shop,Sea_Hawk_FGA.6,Britain,Aviation,8.0,7.7,7.3,3081.0,10679.0,18934.0,False,202.0,90.0,202.0,280.0,202.0,400.0
sea_venom_faw20,47.0,1.45,2.33,1.57,0.51,0.41,38.0,100.0,3.42,,5.08,,,,,,,,Sea_Venom_FAW_20,Sea_Venom_FAW_20,Britain,Aviation,8.0,7.7,8.0,3483.0,17419.0,21748.0,False,208.0,90.0,208.0,370.0,208.0,440.0
arado-234,97.0,82.8,,,9.0,10.4,2123.0,62.93,,0.01,4.48,5.93,,,,,,,Ar_234_B-2,Ar_234_B-2,Germany,Aviation,6.3,6.3,6.7,9081.0,12278.0,24282.0,False,190.0,110.0,190.0,310.0,190.0,400.0
fj_4b,204.0,71.72,1.35,1.16,3.56,2.85,253.0,68.64,2.76,3.65,2.29,2.99,25.0,,,2.16,,,FJ-4B,FJ-4B,USA,Aviation,9.0,8.7,9.0,3850.0,12699.0,21480.0,False,220.0,80.0,220.0,250.0,220.0,350.0
f-84g_france,,,,,,,646.0,73.51,1.97,3.83,3.38,6.56,,,,,,,F-84G-26-RE,F-84G-26-RE_(France),France,Aviation,7.7,7.7,8.0,5440.0,15155.0,11564.0,False,196.0,90.0,196.0,280.0,196.0,310.0
tu_14t,442.0,65.06,0.27,0.27,4.04,3.96,403.0,63.69,0.27,0.28,1.1,1.15,,,,,,,Tu-14T,Tu-14T,USSR,Aviation,8.0,8.0,8.0,4242.0,13840.0,22569.0,False,196.0,80.0,196.0,280.0,196.0,330.0
il_28sh,497.0,66.17,0.47,0.49,5.94,6.01,778.0,66.89,0.26,0.28,1.75,1.89,19.0,,,,,4.8,IL-28Sh,IL-28Sh,USSR,Aviation,8.0,8.0,8.0,4703.0,6773.0,23796.0,False,202.0,80.0,202.0,200.0,202.0,300.0
mig-15bis_nr23_german,171.0,58.43,5.2,4.22,1.26,0.79,1440.0,67.74,1.84,2.97,1.13,1.81,4.0,,,,,,MiG-15bis,MiG-15bis_(Germany),Germany,Aviation,8.7,8.7,8.7,4564.0,10756.0,12397.0,False,208.0,110.0,208.0,360.0,208.0,520.0
attaker_fb1,241.0,78.37,1.3,1.34,2.44,2.32,409.0,70.15,1.75,1.28,1.76,1.46,,,,,,,Attacker_FB_1,Attacker_FB_1,Britain,Aviation,6.7,7.0,7.3,2877.0,8923.0,8579.0,False,190.0,90.0,190.0,240.0,190.0,580.0
f-86f-25,417.0,68.26,0.99,0.92,2.29,2.15,118.0,37.78,3.4,2.64,4.39,3.96,,,,,,,F-86F-25,F-86F-25,USA,Aviation,7.7,8.7,8.7,3607.0,18913.0,14307.0,False,208.0,90.0,208.0,370.0,208.0,510.0
me-262a-2a,,,,,,,319.0,51.81,1.15,1.62,2.45,3.47,,,,,,,Me_262_A-2a,Me_262_A-2a,Germany,Aviation,6.7,6.7,6.7,8387.0,15533.0,18485.0,False,196.0,110.0,196.0,210.0,196.0,410.0
fj_4b_agm_12b,84.0,84.62,1.05,1.21,8.12,8.73,2084.0,83.53,0.49,0.62,3.38,4.35,,,,,,,FJ-4B_VMF-232,FJ-4B_VMF-232,USA,Aviation,9.0,8.7,9.0,4188.0,8740.0,15428.0,False,232.0,80.0,232.0,170.0,232.0,290.0
la-15,161.0,61.21,1.51,1.68,1.25,1.32,568.0,78.83,2.85,5.17,2.36,4.16,3.0,,,,,,La-15,La-15,USSR,Aviation,8.0,8.0,8.0,4799.0,8911.0,13277.0,False,208.0,110.0,208.0,300.0,208.0,550.0
he-162a-2,84.0,,,2.46,,,396.0,30.17,3.14,3.33,0.43,0.5,,,,,,,He_162_A-2,He_162_A-2,Germany,Aviation,6.3,6.3,6.7,4489.0,11613.0,28195.0,False,190.0,120.0,190.0,300.0,190.0,380.0
yak-15_early,58.0,69.45,1.44,1.45,0.28,0.28,210.0,89.77,2.73,4.8,0.62,1.06,19.0,,,,,,Yak-15P,Yak-15P,USSR,Aviation,6.0,6.3,6.7,3896.0,12610.0,21247.0,False,190.0,120.0,190.0,320.0,190.0,400.0
me-163b-0,28.0,,1.33,0.85,1.33,1.38,44.0,50.0,2.9,3.0,,,,,,,,,Me_163_B-0,Me_163_B-0,Germany,Aviation,9.3,8.7,8.3,12982.0,25599.0,26476.0,False,208.0,100.0,208.0,380.0,208.0,440.0
f-84b,187.0,78.33,2.44,2.35,4.51,4.83,812.0,44.46,1.12,0.87,3.32,2.51,,,,,,,F-84B-26,F-84B-26,USA,Aviation,6.7,7.3,8.0,6699.0,8321.0,9018.0,False,190.0,110.0,190.0,250.0,190.0,460.0
