name,ab_battles,ab_win_rate,ab_air_frags_per_battle,ab_air_frags_per_death,ab_ground_frags_per_battle,ab_ground_frags_per_death,rb_battles,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death,sb_battles,sb_win_rate,sb_air_frags_per_battle,sb_air_frags_per_death,sb_ground_frags_per_battle,sb_ground_frags_per_death,alt_name,wk_name,nation,cls,ab_br,rb_br,sb_br
uk_centurion_mk_3,1713.0,58.48,0.05,0.05,1.88,2.15,6002.0,63.95,,,1.75,1.71,63.0,,,,,0.59,Centurion_Mk_3,Centurion_Mk_3,Britain,Ground_vehicles,6.7,6.7,6.7
ussr_isu_122s,275.0,46.77,0.22,0.2,1.89,1.82,181.0,24.39,,,1.24,1.62,,,,,,,ISU-122S,ISU-122S,USSR,Ground_vehicles,5.7,5.7,5.7
ussr_isu_122,206.0,82.51,,,4.37,1.82,311.0,29.86,,,1.44,1.31,,,,,,,ISU-122,ISU-122,USSR,Ground_vehicles,5.3,5.3,5.3
germ_panzerbefelhswagen_VI_P,657.0,52.02,0.07,0.06,3.93,3.32,372.0,44.0,,,2.64,2.46,,,,,,,Pz.Bfw.VI_(P),Pz.Bef.Wg.VI_P,Germany,Ground_vehicles,5.7,5.7,5.7
ussr_su_122P,9.0,,,,,,91.0,21.43,,,1.81,1.38,18.0,100.0,,,1.0,1.0,SU-122P,SU-122P,USSR,Ground_vehicles,6.3,6.3,6.7
germ_panzerjager_tiger_P_ferdinand,1289.0,59.46,,0.01,2.24,2.99,1928.0,48.09,,,3.31,3.21,19.0,,,,3.33,3.11,Ferdinand,Ferdinand,Germany,Ground_vehicles,7.0,6.3,6.7
cn_is_2_1943,912.0,58.59,0.13,0.15,2.93,3.15,605.0,49.48,,,2.06,2.14,3.0,,,,,1.0,IS-2_(China),IS-2_(China),China,Ground_vehicles,5.7,5.7,5.7
germ_panzerjager_panther,4332.0,56.27,0.05,0.08,2.18,2.55,2006.0,45.89,,,2.35,2.1,271.0,100.0,,,5.91,2.59,Jagdpanther,Jagdpanther,Germany,Ground_vehicles,6.3,6.3,6.7
cn_type_63_I,415.0,62.08,0.03,0.03,1.1,1.24,722.0,50.86,,,1.01,0.79,4.0,,,,,1.0,Type_63-I,Type_63-I,China,Ground_vehicles,6.3,6.3,6.3
ussr_t_44_122,578.0,56.35,0.01,0.01,3.1,3.48,550.0,49.21,,,2.91,2.53,131.0,97.31,,,2.77,1.76,T-44-122,T-44-122,USSR,Ground_vehicles,6.3,6.3,6.3
ussr_is_2_1944,3058.0,52.1,0.1,0.1,1.63,2.13,2343.0,46.5,,,1.68,1.4,56.0,69.45,,,1.27,2.0,IS-2_(1944),IS-2_(1944),USSR,Ground_vehicles,6.3,6.3,6.3
ussr_is_2_1943,3423.0,50.66,0.1,0.11,2.49,2.82,2521.0,40.72,,,2.1,1.74,,,,,,,IS-2,IS-2,USSR,Ground_vehicles,5.7,5.7,5.7
cn_isu_122,227.0,52.03,0.3,0.41,1.72,2.16,86.0,,,,2.46,1.56,,,,,,,ISU-122_(China),ISU-122_(China),China,Ground_vehicles,5.3,5.3,5.3
cn_m36,454.0,72.38,0.11,0.11,1.85,1.84,523.0,41.23,,,2.14,1.7,22.0,100.0,,,2.0,2.0,M36_(China),M36_(China),China,Ground_vehicles,5.7,5.7,5.7
cn_is_2_1944,474.0,61.36,0.22,0.3,2.1,2.84,389.0,49.38,,,2.32,1.56,31.0,,,,,,IS-2_mod.1944_(China),IS-2_mod.1944_(China),China,Ground_vehicles,6.3,6.3,6.3
uk_crusader_aa_mk_1,188.0,54.03,4.67,8.66,0.27,0.41,2335.0,53.75,0.13,0.16,0.09,0.09,,,,,,,Crusader_AA_Mk_I,Crusader_AA_Mk_I,Britain,Ground_vehicles,4.7,4.7,4.7
us_m26e1_pershing,401.0,61.26,0.07,0.09,3.24,4.2,1899.0,65.03,,,2.14,2.33,328.0,67.62,,,4.28,3.01,M26E1,M26E1,USA,Ground_vehicles,6.7,6.7,6.3
ussr_zsu_37,364.0,30.0,1.4,3.37,0.1,0.22,1900.0,21.39,0.1,0.11,,,24.0,100.0,,,,,ZSU-37,ZSU-37,USSR,Ground_vehicles,4.7,4.7,4.7
germ_panzerbefelhswagen_jagdpanther,889.0,64.94,0.1,0.11,3.2,3.27,469.0,45.34,,,4.33,2.45,117.0,55.38,,,2.54,1.56,Bfw._Jagdpanther,Bfw._Jagdpanther,Germany,Ground_vehicles,6.3,6.3,6.7
us_m36,829.0,53.88,0.05,0.06,1.63,1.61,3159.0,61.68,,,1.72,1.55,79.0,81.25,,,2.13,2.15,M36_GMC,M36_GMC,USA,Ground_vehicles,5.7,5.7,5.7
ussr_isu_152,276.0,52.26,,,2.56,1.76,361.0,30.34,,,0.99,0.91,,,,,,,ISU-152,ISU-152,USSR,Ground_vehicles,5.3,5.3,5.3
us_m18_super_hellcat,170.0,67.5,,,2.09,2.02,2130.0,67.8,,,2.11,1.86,45.0,,,,,2.65,Super_Hellcat,Super_Hellcat,USA,Ground_vehicles,6.3,6.3,6.3
uk_a39_tortoise,361.0,51.77,0.07,0.09,2.72,3.31,453.0,65.75,,,4.22,1.95,17.0,100.0,,,1.0,0.85,Tortoise,Tortoise,Britain,Ground_vehicles,6.7,6.7,6.3
germ_flakpanzer_V_Coelian,422.0,35.41,11.75,51.63,0.3,1.29,4012.0,33.32,0.79,0.88,0.13,0.14,17.0,,,0.78,,,Flakpanzer_341,Flakpanzer_341,Germany,Ground_vehicles,6.7,6.7,6.7
us_t92,608.0,56.95,0.07,0.06,1.13,0.82,10077.0,61.47,,,1.08,1.05,104.0,,,,3.4,1.01,T92,T92,USA,Ground_vehicles,6.7,6.7,6.7
ussr_t_44_100,2674.0,50.45,0.02,0.03,1.88,1.89,4123.0,47.82,,,1.45,1.3,760.0,88.78,,,5.56,2.23,T-44-100,T-44-100,USSR,Ground_vehicles,7.0,7.0,7.0
us_m26_pershing,2853.0,59.77,0.03,0.03,2.41,2.73,3259.0,66.8,,,2.5,2.27,335.0,67.9,,,4.33,2.55,M26,M26,USA,Ground_vehicles,6.3,6.3,6.3
us_t26e4_superpershing,4473.0,54.07,0.07,0.09,2.44,2.87,5362.0,68.87,,,2.4,2.39,,,,,,,T26E1-1,T26E1-1,USA,Ground_vehicles,6.3,6.3,6.3
germ_pzkpfw_VI_ausf_b_tiger_IIp,6689.0,57.35,,,2.67,2.9,2954.0,39.75,,,2.58,2.1,152.0,49.57,,,3.66,4.53,Tiger_II_(P),Tiger_II_(P),Germany,Ground_vehicles,6.3,6.3,6.7
germ_waffentrager_krupp_steyr,3209.0,53.23,0.1,0.1,2.24,2.32,1844.0,40.78,,,1.98,1.77,24.0,,,,,1.17,Waffenträger,Waffentrager,Germany,Ground_vehicles,5.7,5.7,5.7
germ_pzkpfw_VI_ausf_b_tiger_IIh_sla,7171.0,61.96,,,3.31,3.78,5151.0,45.4,,,2.65,2.41,,,,,,,Tiger_II_(H)_Sla.16,Tiger_II_(H)_Sla.16,Germany,Ground_vehicles,6.7,6.7,6.7
us_m19,777.0,31.26,3.27,6.49,0.27,0.53,10967.0,62.91,0.22,0.27,0.11,0.19,19.0,,,,,,M19,M19,USA,Ground_vehicles,5.0,5.0,5.0
us_m4a3e2_76w_sherman_jumbo,2898.0,58.76,0.09,0.09,2.59,3.14,4260.0,68.6,,,2.64,2.48,103.0,66.67,,,7.9,8.72,M4A3E2_(76)_W,M4A3E2_(76)_W,USA,Ground_vehicles,6.0,6.0,6.0
jp_type_5_ho_ri_prototype,756.0,70.62,0.05,0.06,7.27,7.12,1263.0,58.13,,,3.18,2.71,,,,,,,Ho-Ri_Prototype,Ho-Ri_Prototype,Japan,Ground_vehicles,6.0,6.0,6.0
ussr_su_100p,210.0,54.69,,,1.46,1.49,697.0,31.3,,,1.53,1.15,14.0,,,,,1.15,SU-100P,SU-100P,USSR,Ground_vehicles,6.7,6.7,6.7
us_t28,412.0,57.79,0.08,0.14,3.17,5.24,234.0,65.4,,,4.04,4.77,,,,,,,T28,T28,USA,Ground_vehicles,6.7,6.3,6.7
ussr_is_2_1944_revenge,299.0,72.63,0.1,0.09,2.22,1.97,324.0,38.15,,,1.77,2.04,,,,,,,IS-2_“Revenge”,IS-2_%22Revenge%22,USSR,Ground_vehicles,6.3,6.3,6.3
ussr_pt_76b,1097.0,54.44,0.1,0.09,0.65,0.57,3885.0,33.16,,,0.57,0.46,48.0,,,,,,PT-76B,PT-76B,USSR,Ground_vehicles,5.3,5.3,5.3
us_m26_t99,342.0,68.98,,,4.13,3.46,241.0,76.83,,,4.03,3.03,,,,,,,M26_T99,M26_T99,USA,Ground_vehicles,6.3,6.3,6.3
us_m41_walker_bulldog,1637.0,54.97,0.05,0.05,0.92,0.81,11241.0,59.65,,,0.91,0.82,36.0,26.67,,,1.47,1.0,M41A1,M41A1,USA,Ground_vehicles,6.0,6.0,6.0
ussr_su_100_1945,308.0,47.77,0.12,0.08,4.48,2.0,690.0,35.63,,,1.35,1.34,68.0,93.75,,,2.75,2.04,SU-100,SU-100,USSR,Ground_vehicles,6.3,6.3,6.7
jp_type_5_ho_ri_production,1014.0,52.62,,0.02,4.06,4.13,1282.0,59.81,,,3.25,3.12,5.0,,,,,3.0,Ho-Ri_Production,Ho-Ri_Production,Japan,Ground_vehicles,7.0,7.0,7.0
it_fiat_6614_106sr,1413.0,53.0,,,1.44,1.3,2842.0,41.51,,,1.08,0.85,47.0,,,,,0.86,FIAT_6614,FIAT_6614,Italy,Ground_vehicles,6.3,6.3,6.3
uk_sherman_vc_firefly,1868.0,51.6,0.09,0.09,1.54,1.69,2996.0,74.91,,,1.79,1.8,21.0,100.0,,,,,Sherman_Firefly,Sherman_Firefly,Britain,Ground_vehicles,4.7,4.7,4.7
it_semovente_breda_501,912.0,55.84,,,2.07,1.6,4043.0,51.18,,,2.19,1.64,73.0,,,,,1.41,Breda_501,Breda_501,Italy,Ground_vehicles,4.0,4.0,4.0
ussr_kv_2_1940,45.0,55.56,0.26,0.64,2.74,4.23,50.0,50.0,,,2.1,2.92,,,,,,,KV-2_(1940),KV-2_(1940),USSR,Ground_vehicles,4.3,4.3,4.3
fr_m4a1_sherman_fl_10,1759.0,58.63,0.04,0.04,2.61,2.26,3847.0,44.96,,,2.76,2.13,4.0,,,,,2.0,M4A1_(FL10),M4A1_(FL10),France,Ground_vehicles,4.7,4.7,4.7
uk_a_22f_mk_7_churchill_1944,1027.0,51.28,0.12,0.13,1.34,1.59,747.0,83.53,,,2.77,2.5,11.0,,,,,,Churchill_Mk_VII,Churchill_Mk_VII,Britain,Ground_vehicles,4.7,4.7,4.7
ussr_kv_2_zis_6,791.0,62.6,0.13,0.17,2.58,3.25,553.0,36.14,,,1.66,1.54,,,,,,,KV-2_(ZiS-6),KV-2_(ZiS-6),USSR,Ground_vehicles,5.0,5.0,5.0
germ_kv_2_754r,145.0,46.61,,,2.49,3.78,96.0,53.33,,,1.59,1.85,,,,,,,KV-II_754(r),KV_II_754_(r)_(Germany),Germany,Ground_vehicles,4.3,4.3,4.3
ussr_asu_57,449.0,50.78,,,0.83,0.67,4200.0,36.79,,,1.18,0.93,37.0,100.0,,,1.55,1.0,ASU-57,ASU-57,USSR,Ground_vehicles,4.0,4.3,4.3
