name,ab_battles,ab_win_rate,ab_air_frags_per_battle,ab_air_frags_per_death,ab_ground_frags_per_battle,ab_ground_frags_per_death,rb_battles,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death,sb_battles,sb_win_rate,sb_air_frags_per_battle,sb_air_frags_per_death,sb_ground_frags_per_battle,sb_ground_frags_per_death,alt_name,wk_name,cls,nation,ab_br,rb_br,sb_br,ab_repair,rb_repair,sb_repair,is_premium,ab_rp_rate,ab_sl_rate,rb_rp_rate,rb_sl_rate,sb_rp_rate,sb_sl_rate
etndard_4m,26.0,100.0,0.54,0.54,2.08,2.08,546.0,63.51,1.51,1.92,0.3,0.4,,,,,,,Etendard_IVM,Etendard_IVM,Aviation,France,9.3,9.3,9.3,4071.0,8277.0,13434.0,False,220,150,220,300,220,470
f-100d,502.0,85.32,0.83,0.69,3.67,3.0,1871.0,48.29,0.57,0.64,0.29,0.31,176.0,100.0,8.37,5.65,0.85,0.56,F-100D,F-100D,Aviation,USA,9.7,10.0,9.7,3048.0,9577.0,16457.0,False,226,140,226,240,226,380
mig-19pt,439.0,61.93,2.92,3.28,0.26,0.29,2386.0,55.68,0.85,1.14,0.01,0.02,43.0,22.5,0.93,2.16,,,MiG-19PT,MiG-19PT,Aviation,USSR,10.3,10.3,10.3,8064.0,11155.0,24192.0,False,226,150,226,280,226,530
javelin_fmk9,80.0,94.62,1.24,0.75,0.17,0.08,671.0,52.06,0.94,1.24,,0.01,35.0,100.0,6.5,1.89,,,Javelin_F.(A.W.)_Mk.9,Javelin_F.(A.W.)_Mk.9,Aviation,Britain,8.7,8.7,8.7,3677.0,7585.0,10041.0,False,226,130,226,280,226,340
f-86k_late,137.0,36.2,3.8,2.58,1.66,0.76,405.0,64.18,1.75,2.67,0.06,0.08,44.0,100.0,2.92,3.1,,,F-86K,F-86K_(France),Aviation,France,9.0,9.3,9.3,5935.0,20234.0,26979.0,False,214,140,214,350,214,440
hunter_f6,103.0,92.9,2.74,1.81,1.76,1.18,2681.0,63.77,1.72,2.47,0.38,0.55,45.0,100.0,14.0,11.38,0.89,0.81,Hunter_F.6,Hunter_F.6,Aviation,Britain,10.0,10.0,9.7,3962.0,17641.0,18998.0,False,226,140,226,270,226,470
md_450b_barougan,47.0,33.33,0.7,0.81,,0.19,800.0,61.4,0.5,0.64,0.86,1.12,12.0,,,,,,M.D.450B_Barougan,M.D.450B_Barougan,Aviation,France,7.7,7.7,7.7,3211.0,9098.0,6944.0,False,202,110,202,220,202,280
me-262c-2b,133.0,69.1,2.79,3.46,0.2,0.26,364.0,67.47,2.05,3.69,0.31,0.42,16.0,,,1.0,,,Me_262_C-2b,Me_262_C-2b,Aviation,Germany,8.0,8.0,8.0,4111.0,17431.0,7969.0,False,208,110,208,330,208,300
mig-15bis_ish,80.0,97.41,1.13,0.76,3.69,2.76,1291.0,54.79,0.66,0.84,0.4,0.51,25.0,,,,,,MiG-15bis_ISH,MiG-15bis_ISH,Aviation,USSR,8.7,8.7,9.0,1300.0,2100.0,1300.0,True,416,200,416,440,416,460
f-86f-35,50.0,50.0,0.63,0.67,1.03,1.11,2771.0,53.19,0.64,0.67,0.39,0.41,1.0,,,,,,F-86F-35,F-86F-35,Aviation,USA,8.0,8.7,9.0,1300.0,2400.0,1700.0,True,464,200,464,440,464,520
meteor_fmk8_reaper,106.0,51.72,0.54,0.52,3.03,2.85,1716.0,60.42,0.37,0.36,1.14,1.16,122.0,100.0,3.57,1.15,,0.05,Meteor_F_Mk.8_Reaper,Meteor_F_Mk.8_Reaper,Aviation,Britain,8.0,8.0,8.0,1430.0,2550.0,5600.0,True,428,200,428,440,428,440
canberra_bmk2,155.0,72.83,,,5.38,5.39,86.0,87.14,,,1.09,0.98,21.0,100.0,,,1.0,,Canberra_B_Mk_2,Canberra_B_Mk_2,Aviation,Britain,7.7,7.7,7.7,23597.0,13637.0,47195.0,False,190,150,190,330,190,440
yak-17,70.0,50.0,1.92,2.53,0.62,0.58,7.0,,,,,,,,,,,,Yak-17,Yak-17,Aviation,USSR,6.3,6.7,7.0,4003.0,16203.0,21403.0,False,196,120,196,320,196,480
f-86f-30_japan,99.0,100.0,4.02,2.26,2.26,1.62,1598.0,58.09,0.91,1.07,0.4,0.47,66.0,34.38,1.81,2.38,0.44,0.88,F-86F-30_,F-86F-30_(Japan),Aviation,Japan,8.0,8.7,8.7,3237.0,11223.0,16187.0,False,208,150,208,290,208,330
yak-30d,741.0,56.54,1.92,2.51,0.08,0.1,140.0,75.81,1.71,3.64,,,150.0,36.54,4.96,3.03,,,Yak-30,Yak-30,Aviation,USSR,8.3,8.3,8.0,6194.0,14259.0,24104.0,False,202,130,202,290,202,410
hunter_f1,199.0,53.27,2.09,1.82,0.26,0.23,1820.0,68.62,1.76,2.32,0.23,0.28,34.0,100.0,4.12,,0.18,,Hunter_F_1,Hunter_F.1,Aviation,Britain,9.0,9.0,9.0,4193.0,14899.0,28497.0,False,214,140,214,300,214,450
me-163b,266.0,47.34,1.8,2.03,0.2,0.21,490.0,45.29,1.21,1.13,0.08,0.11,108.0,100.0,5.8,2.25,1.0,0.14,Me_163_B,Me_163_B,Aviation,Germany,8.0,8.0,8.0,4981.0,9547.0,8690.0,False,196,150,196,350,196,320
f-86f-40_japan,100.0,68.82,1.31,1.64,1.85,2.27,762.0,54.94,0.92,1.15,0.3,0.37,16.0,,,2.43,,,F-86F-40_,F-86F-40_(Japan),Aviation,Japan,8.3,9.3,9.3,4316.0,14285.0,24808.0,False,208,150,208,290,208,450
yak-23,228.0,65.86,4.42,4.57,0.79,0.8,543.0,67.94,1.95,3.7,0.14,0.25,58.0,,,2.73,,,Yak-23,Yak-23,Aviation,USSR,7.7,8.0,7.7,5980.0,17852.0,16367.0,False,202,130,202,320,202,430
f9f-8,313.0,85.72,0.81,0.83,2.0,2.04,790.0,66.2,1.62,1.98,0.61,0.75,301.0,98.53,14.91,3.93,0.41,0.33,F9F-8,F9F-8,Aviation,USA,8.3,8.3,8.3,4176.0,14611.0,17459.0,False,214,130,214,290,214,360
f-86a-5,635.0,65.11,1.28,1.0,2.03,1.59,2637.0,53.38,0.68,0.77,0.37,0.41,126.0,100.0,4.26,3.11,0.45,0.51,F-86A-5,F-86A-5,Aviation,USA,8.0,8.7,8.7,3534.0,9712.0,9739.0,False,202,130,202,270,202,400
f3d_1,81.0,83.33,2.0,1.08,6.67,3.4,857.0,69.63,0.95,1.09,1.22,1.43,144.0,100.0,6.71,2.07,3.56,1.0,F3D-1,F3D-1,Aviation,USA,7.0,7.0,7.0,4161.0,12309.0,16056.0,False,196,110,196,230,196,370
r2y2_kai,31.0,100.0,0.56,0.56,4.36,4.36,669.0,55.06,1.64,1.75,1.06,1.13,101.0,30.0,8.0,3.75,1.0,0.37,R2Y2_Kai_V3,R2Y2_Kai_V3,Aviation,Japan,7.3,7.3,7.7,4406.0,14908.0,19584.0,False,202,130,202,250,202,390
r2y2_v1,31.0,100.0,0.2,0.16,4.72,4.19,583.0,53.48,1.45,1.52,0.67,0.7,106.0,,3.2,4.35,1.0,1.68,R2Y2_Kai_V1,R2Y2_Kai_V1,Aviation,Japan,7.7,7.3,7.0,4528.0,10514.0,18617.0,False,190,140,190,220,190,360
r2y2_v2,32.0,100.0,1.28,1.02,2.4,2.12,271.0,61.08,1.3,1.1,1.4,1.16,111.0,84.95,3.52,5.89,0.59,0.98,R2Y2_Kai_V2,R2Y2_Kai_V2,Aviation,Japan,7.3,7.3,7.3,4186.0,18360.0,17136.0,False,196,120,196,240,196,340
me-262a-1a,247.0,52.38,3.04,1.85,0.67,0.37,692.0,45.42,1.35,1.61,0.41,0.51,61.0,,5.44,4.93,,,Me_262_A-1a,Me_262_A-1a,Aviation,Germany,7.3,7.0,7.0,3592.0,10233.0,22061.0,False,202,140,202,310,202,480
f-86f-2,764.0,73.9,2.12,2.16,1.72,1.79,4098.0,65.55,1.64,2.45,0.19,0.29,68.0,25.0,1.55,,1.0,,F-86F-2,F-86F-2,Aviation,USA,9.0,9.0,9.0,4181.0,15378.0,18885.0,False,214,140,214,300,214,420
f-86_canadair_german,297.0,62.02,1.34,0.94,2.61,1.82,837.0,60.7,0.91,1.05,0.33,0.38,4.0,,,,,,CL-13A_Mk_5,CL-13A_Mk_5,Aviation,Germany,8.3,9.3,9.0,4168.0,13489.0,16309.0,False,214,120,214,280,214,330
f-84g,178.0,67.61,0.5,0.48,0.91,0.98,616.0,64.1,0.6,0.55,1.03,0.96,3.0,,,0.33,,,F-84G-21-RE,F-84G-21-RE,Aviation,USA,7.7,7.7,8.0,4910.0,12871.0,8830.0,False,202,110,202,250,202,350
la_200_toriy,80.0,47.5,1.9,0.91,,,174.0,50.32,1.42,0.96,0.13,0.07,19.0,,,5.0,,,La-200,La-200,Aviation,USSR,8.0,8.0,8.0,2784.0,10698.0,8894.0,False,202,120,202,290,202,340
md_452_mystere_2c_preproduction,130.0,79.03,1.26,1.56,2.4,3.02,1141.0,61.39,1.12,1.42,0.6,0.76,28.0,100.0,1.56,,1.0,,M.D.452_IIC,M.D.452_IIC,Aviation,France,8.7,8.3,8.7,4749.0,12905.0,14927.0,False,202,110,202,240,202,330
sea_hawk_fga6,131.0,34.57,0.41,0.35,2.02,1.38,181.0,97.74,0.9,0.78,1.47,1.41,54.0,100.0,4.29,4.38,2.17,2.33,sea_hawk_fga6_shop,Sea_Hawk_FGA.6,Aviation,Britain,8.0,8.0,7.3,4147.0,10262.0,17394.0,False,196,100,196,230,196,370
sea_venom_faw20,14.0,,,,,2.0,109.0,82.0,1.58,1.69,1.6,1.24,5.0,,,,,,Sea_Venom_FAW_20,Sea_Venom_FAW_20,Aviation,Britain,8.0,8.0,8.0,6007.0,9366.0,14718.0,False,202,120,202,300,202,340
arado-234,204.0,87.36,,,19.2,6.56,2397.0,64.86,,,2.29,3.51,25.0,100.0,,,0.45,1.0,Ar_234_B-2,Ar_234_B-2,Aviation,Germany,6.3,6.7,6.7,8383.0,10407.0,11923.0,False,190,150,190,250,190,340
fj_4b,381.0,82.13,0.6,0.52,2.92,2.52,1065.0,54.46,0.85,1.05,0.85,1.05,43.0,91.94,4.65,3.85,2.53,1.95,FJ-4B,FJ-4B,Aviation,USA,9.0,8.7,9.0,3777.0,12518.0,19182.0,False,232,110,232,230,232,390
f-84g_france,58.0,57.14,1.43,0.75,,0.63,562.0,65.96,0.99,1.07,1.58,1.68,132.0,,,0.45,,0.09,F-84G-26-RE,F-84G-26-RE_(France),Aviation,France,7.7,7.7,8.0,4094.0,11373.0,6582.0,False,202,110,202,240,202,310
tu_14t,256.0,82.37,0.17,0.07,6.58,3.58,281.0,58.77,0.3,0.31,0.43,0.42,115.0,50.0,0.58,0.85,,0.07,Tu-14T,Tu-14T,Aviation,USSR,8.0,8.0,8.0,5384.0,12785.0,21628.0,False,196,100,196,250,196,360
il_28sh,334.0,69.06,0.39,0.31,5.59,4.55,2085.0,61.64,0.18,0.16,1.13,1.05,597.0,54.41,0.91,0.56,2.06,1.27,IL-28Sh,IL-28Sh,Aviation,USSR,8.0,8.0,8.0,5537.0,7145.0,12377.0,False,196,100,196,170,196,250
mig-15bis_nr23_german,713.0,43.67,2.69,2.71,0.63,0.66,4443.0,63.07,1.17,1.58,0.18,0.24,76.0,100.0,4.85,4.41,,,MiG-15bis,MiG-15bis_(Germany),Aviation,Germany,8.7,8.7,8.7,4447.0,11649.0,13494.0,False,208,140,208,310,208,470
attaker_fb1,177.0,60.88,0.53,0.42,2.5,1.94,362.0,81.58,0.65,0.93,1.47,1.87,,,,,,,Attacker_FB_1,Attacker_FB_1,Aviation,Britain,7.7,7.0,7.3,3839.0,12948.0,17635.0,False,196,110,196,230,196,380
f-86f-25,600.0,68.08,1.25,1.11,1.92,1.74,1132.0,65.04,1.06,1.5,0.45,0.65,,,,,,,F-86F-25,F-86F-25,Aviation,USA,8.0,8.7,8.7,4181.0,12815.0,12491.0,False,208,120,208,300,208,350
me-262a-2a,,,,,,,326.0,63.7,1.05,1.57,1.06,1.55,28.0,100.0,,,0.53,,Me_262_A-2a,Me_262_A-2a,Aviation,Germany,6.3,6.7,6.7,6957.0,14674.0,17710.0,False,196,150,196,250,196,380
fj_4b_agm_12b,164.0,59.49,1.59,1.76,3.35,3.67,3011.0,64.43,0.63,0.66,2.05,2.17,62.0,80.43,1.43,1.64,1.78,1.8,FJ-4B_VMF-232,FJ-4B_VMF-232,Aviation,USA,9.0,8.7,9.0,2630.0,10684.0,12464.0,False,232,130,232,170,232,320
la-15,248.0,51.35,1.52,1.7,0.01,0.01,562.0,50.42,0.69,0.96,0.23,0.28,23.0,,,1.22,,,La-15,La-15,Aviation,USSR,8.0,8.0,8.0,4108.0,9667.0,9921.0,False,202,120,202,260,202,370
he-162a-2,303.0,48.48,2.07,2.59,0.12,0.18,406.0,48.3,2.96,4.49,0.34,0.51,23.0,,3.75,3.89,,,He_162_A-2,He_162_A-2,Aviation,Germany,6.3,6.3,6.7,4658.0,13093.0,15108.0,False,190,140,190,350,190,470
yak-15_early,119.0,,2.8,0.89,,,65.0,54.72,1.2,2.18,0.17,0.28,,,,,,,Yak-15P,Yak-15P,Aviation,USSR,6.0,6.3,6.7,3160.0,11217.0,20660.0,False,190,130,190,350,190,420
me-163b-0,169.0,58.81,4.79,5.0,1.3,1.41,236.0,52.75,1.41,1.98,,,14.0,,,,,,Me_163_B-0,Me_163_B-0,Aviation,Germany,9.0,8.3,8.3,13398.0,18270.0,17052.0,False,196,150,196,350,196,350
f-84b,584.0,61.85,1.75,1.72,1.17,1.07,1438.0,63.72,0.58,0.65,1.0,1.11,37.0,100.0,,0.05,0.4,0.41,F-84B-26,F-84B-26,Aviation,USA,6.7,7.3,8.0,6141.0,13982.0,4950.0,False,196,140,196,280,196,270
f-80a,506.0,47.73,1.05,0.82,1.12,0.95,2034.0,68.9,1.21,1.81,0.78,1.16,149.0,89.86,4.4,4.16,0.93,0.41,F-80A-5,F-80A-5,Aviation,USA,6.7,7.0,7.0,4696.0,20070.0,9767.0,False,190,140,190,330,190,410
kitsuka,72.0,68.75,7.61,11.74,0.43,1.33,1111.0,58.75,1.28,1.52,0.63,0.73,72.0,,,2.15,,0.17,Kikka,Kikka,Aviation,Japan,6.7,6.7,6.7,8628.0,14920.0,14979.0,False,190,150,190,310,190,380
f9f-5,195.0,82.85,0.94,0.87,2.71,2.47,129.0,25.64,2.67,2.27,0.86,0.83,9.0,,,2.5,,,F9F-5,F9F-5,Aviation,USA,8.3,8.3,8.3,5057.0,13326.0,8295.0,False,202,110,202,270,202,350
go229_v3,322.0,46.38,1.46,1.63,0.3,0.34,626.0,44.6,1.25,1.2,0.32,0.32,24.0,,3.0,2.44,,0.89,Ho_229_V3,Ho_229_V3,Aviation,Germany,7.3,7.3,7.7,2947.0,11005.0,22074.0,False,190,130,190,290,190,490
il_28,300.0,87.31,0.34,0.29,5.66,4.8,607.0,45.55,0.3,0.25,0.74,0.6,220.0,55.95,1.26,0.49,2.85,0.77,IL-28,IL-28,Aviation,USSR,8.0,8.0,8.0,5601.0,9825.0,13959.0,False,196,110,196,230,196,270
mig-9_ussr,119.0,24.36,2.91,2.61,,,550.0,61.9,1.34,2.03,0.13,0.16,7.0,,,,,,MiG-9_/L,MiG-9_(l),Aviation,USSR,7.7,7.3,7.7,3545.0,10584.0,10067.0,False,196,130,196,240,196,320
j8m1,105.0,72.67,4.37,2.6,0.2,0.15,394.0,62.96,1.25,2.2,0.05,0.07,25.0,,,,,,Ki-200,Ki-200,Aviation,Japan,8.0,8.0,8.0,6279.0,15618.0,10758.0,False,202,150,202,350,202,270
meteor_fmk3,89.0,75.0,1.55,1.57,2.08,1.71,650.0,68.88,1.45,2.97,1.86,3.79,42.0,100.0,5.47,4.1,,,Meteor_F_Mk_3,Meteor_F_Mk_3,Aviation,Britain,7.3,7.0,7.0,4395.0,22508.0,30452.0,False,190,120,190,330,190,430
meteor_fmk8,73.0,48.39,0.93,0.64,2.33,1.41,373.0,72.87,1.64,1.51,1.21,1.11,,,,,,,Meteor_F_Mk_8_G.41K,Meteor_F_Mk_8_G.41K,Aviation,Britain,8.0,8.0,8.0,4197.0,13240.0,16881.0,False,208,110,208,250,208,350
f2h-2,254.0,87.85,1.28,0.71,2.25,1.27,387.0,54.43,0.96,1.07,0.55,0.62,20.0,100.0,2.0,1.0,1.0,0.13,F2H-2,F2H-2,Aviation,USA,8.0,8.0,8.0,3518.0,7680.0,6970.0,False,190,110,190,270,190,350
fiat_g91_r1,41.0,,,,,,935.0,65.59,0.85,0.88,0.75,0.77,2.0,,,,,,G.91_R/1,G.91_R/1,Aviation,Italy,8.7,8.7,8.7,3102.0,10953.0,12950.0,False,202,140,202,260,202,330
b-57,239.0,91.21,,,11.03,7.22,233.0,54.08,,,0.44,0.36,102.0,100.0,,,0.13,0.15,B-57A,B-57A,Aviation,USA,7.7,7.7,7.7,11222.0,18126.0,56650.0,False,190,150,190,370,190,470
me-262a-1a_u4,77.0,48.55,0.93,0.55,1.2,1.24,5421.0,63.61,0.09,0.09,1.66,1.89,147.0,79.92,0.67,0.3,6.67,3.75,Me_262_A-1/U4,Me_262_A-1/U4,Aviation,Germany,6.3,6.7,6.7,2463.0,7017.0,7623.0,False,190,140,190,190,190,340
f-80,236.0,65.45,1.62,0.87,2.2,1.09,101.0,38.33,0.67,0.32,1.1,1.39,13.0,,,,,,F-80C-10,F-80C-10,Aviation,USA,7.3,7.7,7.7,5579.0,14022.0,11105.0,False,196,120,196,280,196,370
mig-9,162.0,41.99,1.61,1.06,0.22,0.18,534.0,54.05,0.74,0.99,0.12,0.16,60.0,,1.33,1.0,,,MiG-9,MiG-9,Aviation,USSR,7.3,7.3,7.7,3545.0,10584.0,10067.0,False,190,130,190,240,190,320
me-262c-1a,320.0,56.16,1.65,1.56,0.19,0.18,138.0,47.73,1.31,1.24,0.04,0.03,18.0,,,1.0,,,Me_262_C-1a,Me_262_C-1a,Aviation,Germany,8.0,8.0,8.0,2656.0,6704.0,5692.0,False,202,110,202,270,202,300
mig-15_ns23,429.0,52.73,0.94,1.0,1.13,1.19,902.0,48.21,0.54,0.6,0.09,0.1,15.0,,2.0,0.82,,,MiG-15,MiG-15,Aviation,USSR,8.7,8.7,8.3,3235.0,7065.0,7117.0,False,202,120,202,270,202,340
meteor_fmk4_sw,24.0,100.0,,,,,49.0,100.0,,0.03,2.0,1.93,,,,,,,Meteor_F_Mk_4_G.41G,Meteor_F_Mk_4_G.41G,Aviation,Britain,8.0,8.0,8.0,4064.0,8606.0,9003.0,False,202,110,202,280,202,340
meteor_fmk4_lw,53.0,41.67,0.81,0.95,0.42,0.35,118.0,86.61,1.09,1.22,1.0,1.35,15.0,,,,,,Meteor_F_Mk_4_G.41F,Meteor_F_Mk_4_G.41F,Aviation,Britain,8.0,8.0,8.0,4064.0,8606.0,9003.0,False,202,110,202,280,202,340
f-84g_italy,32.0,100.0,0.25,1.05,3.0,2.44,1249.0,66.65,0.63,0.72,1.06,1.22,84.0,84.95,0.21,0.5,1.35,1.93,F-84G-21-RE,F-84G-21-RE_(Italy),Aviation,Italy,7.7,7.7,8.0,3746.0,9446.0,10971.0,False,202,120,202,200,202,320
fiat_g91_ps,32.0,100.0,0.77,1.0,1.08,1.03,639.0,60.86,0.67,0.69,0.52,0.56,36.0,,,1.0,,1.0,G.91_pre-serie,G.91_pre-serie,Aviation,Italy,8.3,8.7,8.3,2778.0,9038.0,11196.0,False,202,150,202,250,202,300
yak-15,125.0,4.84,2.52,2.19,0.03,0.03,105.0,30.0,1.38,1.09,0.9,0.88,67.0,,3.16,3.16,,,Yak-15,Yak-15,Aviation,USSR,6.3,6.7,6.7,4595.0,15322.0,15108.0,False,190,130,190,300,190,400
venom_fb4,158.0,66.17,1.7,1.75,3.05,2.45,381.0,50.16,1.36,1.62,0.57,0.62,21.0,,2.25,2.0,,,Venom_FB.4,Venom_FB.4,Aviation,Britain,8.7,8.7,9.0,4950.0,11386.0,12443.0,False,208,120,208,290,208,350
he-162a-1,,,,,,,11.0,100.0,1.0,,1.0,,,,,,,,He_162_A-1,He_162_A-1,Aviation,Germany,6.3,6.3,6.7,6565.0,14901.0,21505.0,False,190,140,190,300,190,380
arado-234c-3,283.0,72.62,0.23,0.16,16.04,7.65,2117.0,57.15,0.37,0.31,1.93,1.55,78.0,100.0,0.96,0.62,2.26,1.42,Ar_234_C-3,Ar_234_C-3,Aviation,Germany,7.0,7.3,7.3,17626.0,10537.0,12149.0,False,196,150,196,230,196,300
meteor_fmk3_navy,39.0,100.0,0.75,0.69,0.39,0.35,173.0,49.84,1.15,1.45,0.9,0.84,,,,,,,Sea_Meteor_F_Mk_3,Sea_Meteor_F_Mk_3,Aviation,Britain,7.7,7.7,7.7,4342.0,7546.0,10856.0,False,196,120,196,280,196,410
mig-17,541.0,62.01,2.0,2.35,0.61,0.69,3401.0,63.95,1.03,1.5,0.2,0.32,132.0,25.81,1.45,1.15,0.79,0.54,MiG-17,MiG-17,Aviation,USSR,9.0,9.0,9.0,5370.0,14100.0,11759.0,False,214,140,214,290,214,350
b-57b,414.0,86.85,,,4.78,4.35,527.0,51.7,0.18,0.16,1.15,0.9,237.0,100.0,3.0,0.35,9.0,0.63,B-57B,B-57B,Aviation,USA,8.0,8.0,8.0,7149.0,13253.0,19860.0,False,202,110,202,260,202,320
f9f-2,192.0,89.33,2.14,1.31,5.15,3.05,260.0,63.41,1.87,1.81,0.8,0.81,9.0,,,,,,F9F-2,F9F-2,Aviation,USA,8.3,8.3,8.3,4187.0,11105.0,17394.0,False,196,110,196,270,196,390
mig-15,839.0,60.3,2.14,2.43,0.7,0.81,2851.0,62.7,0.98,1.47,0.26,0.39,92.0,17.59,1.49,1.15,,,MiG-15bis,MiG-15bis,Aviation,USSR,8.7,8.7,8.7,5797.0,13356.0,10120.0,False,208,140,208,300,208,370
canberra_bimk6,183.0,65.23,0.17,0.2,4.3,5.07,330.0,57.08,0.62,1.03,1.62,2.79,68.0,100.0,4.23,2.29,2.92,1.61,Canberra_B_(I)_Mk_6,Canberra_B_(I)_Mk_6,Aviation,Britain,8.0,8.0,8.0,10449.0,15019.0,19212.0,False,202,140,202,290,202,360
so_4050_vautour_2b,166.0,88.27,,,7.2,6.88,170.0,12.5,0.13,0.22,1.77,1.19,11.0,,,,,,S.O.4050_Vautour_IIB,S.O.4050_Vautour_IIB,Aviation,France,9.0,9.0,9.0,21296.0,10648.0,34606.0,False,202,150,202,310,202,420
so_4050_vautour_2a,349.0,80.83,0.58,0.48,6.75,5.4,442.0,44.13,0.36,0.38,0.64,0.71,15.0,,,,,,S.O.4050_Vautour_IIA,S.O.4050_Vautour_IIA,Aviation,France,9.0,9.0,9.0,24398.0,11805.0,20355.0,False,202,150,202,240,202,350
md_450b_ouragan,2.0,,,,,,222.0,42.1,0.47,0.6,0.53,0.59,,,,,,,M.D.450B_Ouragan,M.D.450B_Ouragan,Aviation,France,7.7,7.7,7.7,2662.0,8028.0,8830.0,False,202,110,202,270,202,350
la_174,122.0,44.36,1.31,1.98,0.09,0.21,51.0,67.2,0.69,0.8,0.1,0.1,1.0,,,,,,La-174,La-174,Aviation,USSR,8.0,8.0,8.0,6232.0,15658.0,13992.0,False,202,100,202,290,202,340
md_452_mystere_2a,40.0,100.0,1.88,0.63,0.63,0.21,132.0,73.12,1.4,1.82,0.82,1.24,,,,,,,M.D.452_IIA,M.D.452_IIA,Aviation,France,8.3,8.3,8.3,3021.0,6852.0,11736.0,False,202,100,202,280,202,360
vampire_fb5,172.0,58.67,0.87,0.95,1.58,1.82,997.0,69.6,0.85,0.95,1.76,1.9,38.0,100.0,4.0,4.0,,,Vampire_FB_5,Vampire_FB_5,Aviation,Britain,7.7,7.3,7.7,4263.0,18536.0,15543.0,False,196,120,196,250,196,340
j7w1,146.0,51.08,2.0,1.61,0.15,0.12,186.0,75.7,4.28,3.5,0.29,0.14,,,,,,,J7W1,J7W1,Aviation,Japan,5.7,6.0,5.7,6489.0,18421.0,18900.0,False,184,150,184,400,184,440
fw-190d-12,567.0,64.49,1.56,1.47,0.36,0.35,424.0,72.23,2.79,3.98,0.45,0.65,,,,,,,Fw_190_D-12,Fw_190_D-12,Aviation,Germany,6.0,5.3,5.3,4246.0,17906.0,22587.0,False,178,120,178,400,178,450
spitfire_xvi,202.0,52.32,2.13,2.19,0.52,0.55,373.0,66.54,0.85,1.13,0.25,0.32,1.0,,,,,,Spitfire_F_Mk_XVI,Spitfire_F_Mk_XVI,Aviation,Britain,4.7,5.0,5.0,2405.0,7683.0,3640.0,False,160,100,160,320,160,310
p-38k,7.0,,,,,,89.0,41.93,2.04,2.24,2.29,2.57,23.0,100.0,3.83,,,,P-38K,P-38K,Aviation,USA,5.3,5.3,5.3,2030.0,4350.0,9600.0,True,344,200,344,500,344,600
b-17g,57.0,100.0,,,3.9,3.74,72.0,,,,1.82,1.55,17.0,,,,,,B-17G-60-VE,B-17G-60-VE,Aviation,USA,6.0,5.3,6.7,3165.0,9254.0,10571.0,False,172,110,172,380,172,350
wyvern_s4,56.0,100.0,1.0,0.2,8.5,5.59,3041.0,58.21,0.23,0.2,2.06,1.85,297.0,49.84,1.82,0.61,4.66,1.76,Wyvern_S4,Wyvern_S4,Aviation,Britain,4.7,4.7,5.0,1300.0,2100.0,3100.0,True,320,200,320,400,320,520
douglas_ad_4,361.0,60.15,0.95,0.75,3.54,2.8,1531.0,62.91,0.3,0.27,4.87,4.68,139.0,95.17,0.74,0.77,9.41,10.24,AD-4,AD-4,Aviation,USA,6.0,6.0,5.7,3564.0,7944.0,7329.0,False,178,110,178,190,178,260
tu_4,130.0,72.85,0.65,0.43,3.6,2.43,304.0,72.15,1.76,1.87,0.08,0.07,61.0,,,0.23,,,Tu-4,Tu-4,Aviation,USSR,7.3,8.0,7.7,11420.0,33885.0,19013.0,False,190,140,190,410,190,340
n1k2_jko,131.0,94.35,1.81,1.3,0.81,0.57,302.0,82.21,2.47,11.08,1.43,6.65,,,,,,,N1K2-Ja,N1K2-Ja,Aviation,Japan,6.0,6.0,6.3,3840.0,16315.0,17570.0,False,178,120,178,340,178,360
he_219a_7,41.0,68.75,1.52,1.72,,,1868.0,73.92,0.52,0.53,2.07,2.1,,,,,,,He_219_A-7,He_219_A-7,Aviation,Germany,4.7,4.3,4.3,1820.0,3030.0,1580.0,True,320,200,320,360,320,500
sm_91,261.0,61.59,1.73,1.42,2.4,1.98,576.0,83.14,3.24,3.89,2.18,2.44,5.0,,,4.38,,1.75,SM.91,SM.91,Aviation,Italy,3.7,3.7,3.7,3052.0,10290.0,24486.0,False,160,110,160,280,160,440
n1k1_ja,111.0,38.64,4.04,1.8,0.18,0.1,77.0,100.0,3.38,5.12,4.11,5.53,,,,,,,N1K1-Ja,N1K1-Ja,Aviation,Japan,5.3,5.3,5.0,3870.0,14117.0,16445.0,False,166,130,166,410,166,390
g5n1,90.0,73.81,,,3.4,1.92,,,,,,,,,,,,,G5N1,G5N1,Aviation,Japan,4.3,5.0,5.3,4655.0,12422.0,49335.0,False,166,150,166,410,166,510
tu-2_postwar,239.0,53.97,0.19,0.19,6.56,6.16,242.0,69.89,0.17,0.08,4.79,2.43,,,,,,,Tu-2S-44,Tu-2S-44,Aviation,USSR,6.0,6.0,6.0,3599.0,7199.0,21624.0,False,178,100,178,210,178,470
b_24d,62.0,100.0,,,5.8,7.54,39.0,,,0.12,,1.62,,,,,,,B-24D-25-CO,B-24D-25-CO,Aviation,USA,5.7,6.0,6.0,3177.0,10520.0,12660.0,False,178,110,178,410,178,430
