name,ab_battles,ab_win_rate,ab_air_frags_per_battle,ab_air_frags_per_death,ab_ground_frags_per_battle,ab_ground_frags_per_death,rb_battles,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death,sb_battles,sb_win_rate,sb_air_frags_per_battle,sb_air_frags_per_death,sb_ground_frags_per_battle,sb_ground_frags_per_death,alt_name,wk_name,cls,nation,ab_br,rb_br,sb_br,ab_repair,rb_repair,sb_repair,is_premium,ab_rp_rate,ab_sl_rate,rb_rp_rate,rb_sl_rate,sb_rp_rate,sb_sl_rate
uk_stormer_hvm,46.0,50.0,1.0,1.5,0.3,0.5,457.0,23.56,0.3,0.26,0.15,0.08,,,,,,,Stormer_HVM,Stormer_HVM,Ground_vehicles,Britain,10.0,10.0,10.0,8375.0,5903.0,23340.0,False,232,140,232,150,232,170
fr_amx_30_roland,117.0,53.87,1.59,3.77,0.15,0.46,324.0,48.54,0.78,0.94,,,113.0,61.67,1.62,1.75,,,Roland_1,Roland_1,Ground_vehicles,France,10.0,10.0,10.0,20758.0,2875.0,11858.0,False,232,150,232,140,232,180
ussr_t_80u_yt_cup_2019,,,,,,,,,,,,,,,,,,,␙Т-80У,T-80U,Ground_vehicles,USSR,10.3,10.3,10.3,6055.0,10260.0,14297.0,False,232,130,232,150,232,170
uk_challenger_II_yt_cup_2019,,,,,,,,,,,,,,,,,,,␙Challenger_2,Challenger_2,Ground_vehicles,Britain,10.3,10.3,10.3,8954.0,11033.0,15990.0,False,232,150,232,150,232,180
us_m1a1_abrams_yt_cup_2019,,,,,,,,,,,,,,,,,,,␙M1A1,M1A1_Abrams,Ground_vehicles,USA,10.3,10.3,10.3,8112.0,11498.0,13366.0,False,232,130,232,150,232,170
cn_t_62,1127.0,60.59,0.05,0.05,2.97,2.96,3391.0,51.42,,,1.82,1.58,244.0,47.65,,,2.12,1.1,Т-62_№545,T-62_545_(China),Ground_vehicles,China,8.3,8.3,8.3,2800.0,2900.0,3600.0,True,428,200,428,280,428,320
cn_type_65_aa,433.0,40.67,2.49,5.77,0.13,0.34,1038.0,36.42,0.43,0.52,0.09,0.12,84.0,50.0,0.28,0.19,0.86,0.75,Type_65,Type_65_(USSR),Ground_vehicles,USSR,5.3,5.3,5.3,7600.0,2600.0,4000.0,True,332,200,332,220,332,320
germ_flakpanzer_IV_Ostwind_2,1226.0,39.77,3.97,14.89,0.44,1.66,3275.0,44.46,0.59,0.75,0.09,0.09,4.0,,,,,,Ostwind_II,Ostwind_II,Ground_vehicles,Germany,5.7,5.7,5.7,20752.0,2983.0,4928.0,False,172,150,172,140,172,180
cn_t_34_1942,2616.0,63.15,,,3.13,3.63,1495.0,68.04,,,3.73,2.85,32.0,,,,,,Т-34_(1943)_(China),T-34_(1943)_(China),Ground_vehicles,China,3.7,3.7,3.7,1816.0,2357.0,2219.0,False,136,70,136,90,136,140
ussr_object_685,95.0,35.48,,,1.52,1.18,700.0,49.54,,,1.23,1.2,58.0,,,,2.48,1.27,Object_685,Object_685,Ground_vehicles,USSR,9.0,9.0,9.0,4970.0,4970.0,6684.0,False,232,110,232,140,232,140
it_otobreda_sidam_25_mistral,59.0,3.96,1.45,1.59,0.04,0.11,520.0,49.45,0.74,0.83,0.01,0.01,13.0,,,,,,SIDAM_25_(Mistral),SIDAM_25_(Mistral),Ground_vehicles,Italy,10.0,10.0,10.0,16842.0,8593.0,5684.0,False,232,150,232,150,232,180
fr_pzkpfw_V_panther_dauphine,331.0,53.86,0.04,0.04,2.86,3.41,370.0,63.99,,,3.82,2.6,26.0,100.0,,,2.0,1.0,Panther_«Dauphine»,Panther_%C2%ABDauphine%C2%BB,Ground_vehicles,France,5.7,5.7,5.7,2600.0,3500.0,2900.0,True,356,200,356,280,356,320
