name,ab_battles,ab_win_rate,ab_air_frags_per_battle,ab_air_frags_per_death,ab_ground_frags_per_battle,ab_ground_frags_per_death,rb_battles,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death,sb_battles,sb_win_rate,sb_air_frags_per_battle,sb_air_frags_per_death,sb_ground_frags_per_battle,sb_ground_frags_per_death,alt_name,wk_name,nation,cls,ab_br,rb_br,sb_br
etndard_4m,,,,,,,2.0,,,,,,,,,,,,Etendard_IVM,Etendard_IVM,France,Aviation,9.3,9.3,9.3
f-100d,558.0,78.02,1.27,1.19,3.12,2.91,2274.0,50.92,0.52,0.54,0.41,0.42,148.0,80.22,6.67,6.48,0.37,0.41,F-100D,F-100D,USA,Aviation,9.7,10.0,9.7
mig-19pt,595.0,54.78,2.33,2.67,0.08,0.09,2759.0,56.95,0.87,1.16,0.04,0.09,68.0,100.0,13.0,12.0,,,MiG-19PT,MiG-19PT,USSR,Aviation,10.3,10.3,10.3
javelin_fmk9,129.0,72.9,1.53,1.22,,,301.0,51.14,0.86,1.09,,,20.0,,,0.94,,,Javelin_F.(A.W.)_Mk.9,Javelin_F.(A.W.)_Mk.9,Britain,Aviation,8.7,8.7,8.7
f-86k_late,237.0,71.81,3.48,2.3,0.55,0.41,903.0,69.65,1.82,3.03,,,9.0,100.0,3.67,4.0,,,F-86K,F-86K_(France),France,Aviation,9.0,9.0,9.3
hunter_f6,152.0,86.19,4.3,1.67,0.36,0.26,1966.0,61.5,1.79,2.47,0.32,0.43,67.0,,,10.95,,,Hunter_F.6,Hunter_F.6,Britain,Aviation,10.0,10.0,9.7
md_450b_barougan,177.0,50.43,0.69,0.48,0.71,0.54,622.0,54.7,0.43,0.48,0.99,1.1,23.0,100.0,2.0,1.89,3.47,3.37,M.D.450B_Barougan,M.D.450B_Barougan,France,Aviation,7.7,7.7,7.7
me-262c-2b,205.0,80.27,2.87,2.36,0.03,0.02,309.0,67.23,1.99,4.04,0.32,0.69,56.0,50.0,3.25,1.77,0.5,0.1,Me_262_C-2b,Me_262_C-2b,Germany,Aviation,8.0,8.0,8.0
mig-15bis_ish,129.0,88.2,2.54,2.07,3.37,2.82,980.0,64.6,0.55,0.66,0.32,0.39,4.0,,,,,,MiG-15bis_ISH,MiG-15bis_ISH,USSR,Aviation,8.7,8.7,9.0
f-86f-35,53.0,,9.83,1.63,1.5,0.38,2253.0,50.2,0.54,0.57,0.4,0.41,,,,,,,F-86F-35,F-86F-35,USA,Aviation,8.3,9.0,9.0
meteor_fmk8_reaper,80.0,75.93,0.74,0.44,4.36,2.49,1696.0,65.27,0.4,0.42,1.08,1.16,206.0,77.33,1.12,0.42,0.16,0.08,Meteor_F_Mk.8_Reaper,Meteor_F_Mk.8_Reaper,Britain,Aviation,8.0,8.0,8.0
canberra_bmk2,82.0,91.05,,,9.96,6.85,27.0,100.0,,,1.23,,16.0,,,,,1.33,Canberra_B_Mk_2,Canberra_B_Mk_2,Britain,Aviation,7.7,7.7,7.7
yak-17,83.0,47.83,1.52,1.18,0.2,0.08,81.0,,2.0,1.0,,,,,,,,,Yak-17,Yak-17,USSR,Aviation,6.3,6.7,7.0
f-86f-30_japan,102.0,50.0,1.81,1.55,1.86,2.13,672.0,58.63,0.86,0.86,0.48,0.48,115.0,39.03,1.22,1.67,0.16,0.22,F-86F-30_,F-86F-30_(Japan),Japan,Aviation,8.0,9.0,9.0
yak-30d,650.0,51.37,2.71,2.69,0.26,0.24,251.0,74.91,1.04,1.94,0.16,0.37,102.0,100.0,5.6,4.61,,,Yak-30,Yak-30,USSR,Aviation,8.3,8.3,8.0
hunter_f1,21.0,,,3.74,,,1285.0,62.19,1.53,2.06,0.33,0.44,14.0,,,2.0,,,Hunter_F_1,Hunter_F.1,Britain,Aviation,9.0,9.0,9.0
me-163b,255.0,63.46,3.98,3.16,0.24,0.08,676.0,68.35,1.38,1.72,0.09,0.07,100.0,,,2.3,,,Me_163_B,Me_163_B,Germany,Aviation,8.0,8.0,8.0
f-86f-40_japan,84.0,75.0,1.85,1.61,1.71,1.36,474.0,58.78,0.79,1.0,0.31,0.39,44.0,100.0,3.27,3.17,,,F-86F-40_,F-86F-40_(Japan),Japan,Aviation,8.3,9.3,9.3
yak-23,404.0,60.37,2.78,3.62,0.28,0.35,422.0,64.87,1.74,4.08,0.23,0.51,13.0,,,,,,Yak-23,Yak-23,USSR,Aviation,7.7,8.0,7.7
f9f-8,376.0,86.16,0.75,0.75,2.74,2.65,810.0,63.2,1.37,1.74,0.4,0.5,452.0,88.71,17.85,3.17,0.55,0.07,F9F-8,F9F-8,USA,Aviation,8.3,8.3,8.3
f-86a-5,398.0,63.95,1.94,1.24,1.32,0.9,2791.0,48.38,0.84,0.85,0.36,0.39,54.0,,,2.3,,1.0,F-86A-5,F-86A-5,USA,Aviation,8.0,8.7,8.7
f3d_1,88.0,38.34,1.64,1.23,4.55,3.98,702.0,73.84,0.71,0.86,0.94,1.07,77.0,,,3.89,,2.33,F3D-1,F3D-1,USA,Aviation,7.0,7.0,7.0
r2y2_kai,167.0,53.67,1.5,1.25,1.23,1.01,522.0,56.09,2.03,2.14,1.18,1.19,160.0,12.8,5.14,2.18,1.53,0.56,R2Y2_Kai_V3,R2Y2_Kai_V3,Japan,Aviation,7.3,7.3,7.7
r2y2_v1,103.0,65.31,0.87,0.68,1.44,1.34,652.0,58.89,1.0,1.0,0.92,0.9,74.0,,2.88,2.88,2.2,2.2,R2Y2_Kai_V1,R2Y2_Kai_V1,Japan,Aviation,7.7,7.3,7.3
r2y2_v2,114.0,46.38,0.98,0.85,0.86,0.77,233.0,43.42,1.5,1.22,1.9,1.47,68.0,27.27,4.64,3.65,1.09,0.83,R2Y2_Kai_V2,R2Y2_Kai_V2,Japan,Aviation,7.3,7.3,7.3
me-262a-1a,480.0,60.3,2.46,2.34,0.47,0.43,684.0,42.52,1.64,1.92,0.35,0.41,88.0,,7.29,4.03,0.82,0.32,Me_262_A-1a,Me_262_A-1a,Germany,Aviation,7.3,7.0,7.0
f-86f-2,517.0,67.25,1.2,1.39,1.52,1.74,3566.0,60.82,1.4,1.93,0.22,0.28,85.0,34.62,3.58,5.93,0.73,0.93,F-86F-2,F-86F-2,USA,Aviation,9.0,9.0,9.0
f-86_canadair_german,300.0,72.32,1.88,1.56,2.13,1.85,861.0,49.56,0.93,1.04,0.26,0.3,48.0,100.0,2.7,,,,CL-13A_Mk_5,CL-13A_Mk_5,Germany,Aviation,8.3,9.3,9.0
f-84g,95.0,67.58,1.85,1.66,0.61,0.38,562.0,65.08,0.64,0.59,0.49,0.45,29.0,,,2.13,,,F-84G-21-RE,F-84G-21-RE,USA,Aviation,7.7,7.7,8.0
la_200_toriy,203.0,48.68,1.63,1.25,0.11,0.05,221.0,64.84,1.0,0.82,,,4.0,,,,,,La-200,La-200,USSR,Aviation,8.0,8.0,8.0
md_452_mystere_2c_preproduction,132.0,75.91,1.28,1.29,1.43,1.53,1167.0,62.74,1.11,1.47,0.67,0.89,21.0,100.0,2.0,2.0,,,M.D.452_IIC,M.D.452_IIC,France,Aviation,8.7,8.7,8.7
sea_hawk_fga6,9.0,,,0.67,,2.33,296.0,79.33,0.4,0.47,1.26,1.39,52.0,100.0,3.55,3.43,1.8,1.73,sea_hawk_fga6_shop,Sea_Hawk_FGA.6,Britain,Aviation,8.0,8.0,7.3
sea_venom_faw20,3.0,,,1.0,,1.0,8.0,,,,,,25.0,,,,,,Sea_Venom_FAW_20,Sea_Venom_FAW_20,Britain,Aviation,8.0,8.0,8.0
arado-234,198.0,73.66,,,16.3,12.9,2441.0,56.9,,,2.15,2.97,94.0,100.0,,,,1.2,Ar_234_B-2,Ar_234_B-2,Germany,Aviation,6.3,6.7,6.7
fj_4b,480.0,78.04,0.73,0.7,3.55,3.48,1040.0,54.74,0.72,0.85,1.19,1.4,29.0,100.0,5.0,2.57,1.0,0.14,FJ-4B,FJ-4B,USA,Aviation,9.0,8.7,9.0
f-84g_france,141.0,55.73,1.05,0.95,0.56,0.49,361.0,69.8,1.14,0.99,1.83,1.55,39.0,,,0.9,,0.23,F-84G-26-RE,F-84G-26-RE_(France),France,Aviation,7.7,7.7,8.0
tu_14t,343.0,79.08,0.11,0.09,4.8,3.43,286.0,65.32,0.06,0.08,0.18,0.19,219.0,100.0,3.5,1.0,2.7,0.79,Tu-14T,Tu-14T,USSR,Aviation,8.0,8.0,8.0
